aag	ɑː χ
aalbessie	ɑː l b ɛ s i
aalfuik	ɑː l f œ i k
aalfuike	ɑː l f œ i k ə
aalfuikie	ɑː l f œ i k i
aalfuikies	ɑː l f œ i k i s
aalmoes	ɑː l m u s
aanbid	ɑː n b ə t
aandete	ɑː n t ɪ ə̯ t ə
aanveg	ɑː n f ɛ χ
aap	ɑː p
aarde	ɑː r d ə
aardes	ɑː r d ə s
aartappel	ɑː r t a p ə l
adder	a d ə r
adel	ɑː d ə l
adelstand	ɑː d ə l s t a n t
advies	a t f i s
afgaan	a f χ ɑː n
afrikaans	a f r ɪ k ɑ̃ː s
afsaag	a f s ɑː χ
afslaandak	a f s l ɑː n d a k
afstand	a f s t a n t
afwesig	a f v ɪ ə̯ s ə x
afwesigheid	a f v ɪ ə̯ s ə x ɦ ə i̯ t
ag	a χ
agt	a χ t
akkerboom	a k ə r b ʊ ə̯ m
akupunktuur	ɑ k ɨ p œ ŋ k t ɨː r
al	a l
altaar	a l t ɑː r
altyd	a l t ə i̯ t
amerika	a m ɪ ə r ə k a
amper	a m p ə r
andersyds	a n d ə r s ə i̯ t s
anker	a ŋ k ə r
antiek	a n t i k
antwoord	ɐ n t v u ə̯ r t
anys	a n ə i s
ape	ɑː p ə
appel	a p ə l
appelkoos	a p ə l k ʊ ə s
argaïes	a r χ ɑː i s
arriveer	a r i f ɪ ə̯ r
as	a s
asseblief	ɑ s ə b l iː f
asyn	a s ə i n
awb	aː v i ə b i ə
baadjie	b ɑː ɪ̯ k i
baai	b ɑː i̯
baarmoeder	b ɑː r m u d ə r
baie	b a j ə
bak	b a k
bakkie	b a k i
ballon	b a l ɔ n
bamboes	b a m b u s
bandopnemer	b a n t ɔ p n ɪ ə̯ m ə r
bang	b a ŋ
bed	b ɛ t
bedryf	b ə d r ə i f
beer	b ɪ ə r
bees	b ɪ ə s
beet	b i ə̯ t
begrip	b ə χ r ə p
begripsraamwerk	b ə χ r ə p s r ɑː m v ɛ r k
bek	b ɛ k
bekroon	b ə k r ʊ ə̯ n
belangrik	b ə l a ŋ r ə k
belus	b ə l œ s
belydenis	b ə l ə i̯ d ə n ə s
beperking	b ə p ɛ r k ə ŋ
bergwind	b ɛ r χ v ə n t
beroof	b ə r ʊ ə̯ f
besef	b ə s ɛ f
