ᐈ	e
ᑋ	h
ᐶ	h e
ᐷ	h i
ᐉ	i
ᘓ	j a
ᘑ	j e
ᘒ	j i
ᘏ	j o
ᘎ	j u
ᘐ	j ə
ᗴ	k a
ᗲ	k e
ᗳ	k i
ᗰ	k o
ᗯ	k u
ᗱ	k ə
ᘁ	k ʼ
ᘀ	k ʼ a
ᗾ	k ʼ e
ᗿ	k ʼ i
ᗼ	k ʼ o
ᗻ	k ʼ u
ᗽ	k ʼ ə
ᗺ	kʰ a
ᗸ	kʰ e
ᗹ	kʰ i
ᗶ	kʰ o
ᗵ	kʰ u
ᗷ	kʰ ə
ᘧ	l a
ᘥ	l e
ᘦ	l i
ᘣ	l o
ᘢ	l u
ᘤ	l ə
ᘍ	m a
ᘋ	m e
ᘌ	m i
ᘉ	m o
ᘈ	m u
ᘊ	m ə
ᘇ	n a
ᘅ	n e
ᘆ	n i
ᘃ	n o
ᘂ	n u
ᘄ	n ə
ᗮ	p
ᗭ	p a
ᗫ	p e
ᗬ	p i
ᗩ	p o
ᗨ	p u
ᗪ	p ə
ᙓ	s a
ᙑ	s e
ᙒ	s i
ᙏ	s o
ᙎ	s u
ᙐ	s ə
ᑓ	t e
ᑔ	t i
ᗧ	t ʼ a
ᗥ	t ʼ e
ᗦ	t ʼ i
ᗣ	t ʼ o
ᗢ	t ʼ u
ᗤ	t ʼ ə
ᗡ	tʰ a
ᗟ	tʰ e
ᗠ	tʰ i
ᗝ	tʰ o
ᗜ	tʰ u
ᗞ	tʰ ə
ᙍ	t͡s a
ᙋ	t͡s e
ᙌ	t͡s i
ᙉ	t͡s o
ᙈ	t͡s u
ᙊ	t͡s ə
ᙬ	t͡s ʼ a
ᙪ	t͡s ʼ e
ᙫ	t͡s ʼ i
ᙨ	t͡s ʼ o
ᙧ	t͡s ʼ u
ᙩ	t͡s ʼ ə
ᙦ	t͡sʰ a
ᙤ	t͡sʰ e
ᙥ	t͡sʰ i
ᙢ	t͡sʰ o
ᙡ	t͡sʰ u
ᙣ	t͡sʰ ə
ᘛ	t͡ʃ a
ᘭ	t͡ɬ a
ᘘ	t͡ʃ e
ᘫ	t͡ɬ e
ᘙ	t͡ʃ i
ᘬ	t͡ɬ i
ᘖ	t͡ʃ o
ᘩ	t͡ɬ o
ᘔ	t͡ʃ u
ᘨ	t͡ɬ u
ᘗ	t͡ʃ ə
ᘪ	t͡ɬ ə
ᘡ	t͡ʃ ʼ a
ᘿ	t͡ɬ ʼ a
ᘟ	t͡ʃ ʼ e
ᘽ	t͡ɬ ʼ e
ᘠ	t͡ʃ ʼ i
ᘾ	t͡ɬ ʼ i
ᘝ	t͡ʃ ʼ o
ᘻ	t͡ɬ ʼ o
ᘜ	t͡ʃ ʼ u
ᘺ	t͡ɬ ʼ u
ᘞ	t͡ʃ ʼ ə
ᘼ	t͡ɬ ʼ ə
ᘹ	t͡ɬʰ a
ᙠ	t͡ʃʰ a
ᘷ	t͡ɬʰ e
ᙞ	t͡ʃʰ e
ᘸ	t͡ɬʰ i
ᙟ	t͡ʃʰ i
ᘵ	t͡ɬʰ o
ᙜ	t͡ʃʰ o
ᘴ	t͡ɬʰ u
ᙛ	t͡ʃʰ u
ᘶ	t͡ɬʰ ə
ᙝ	t͡ʃʰ ə
ᗕ	w a
ᗓ	w e
ᗔ	w i
ᗑ	w o
ᗐ	w u
ᗒ	w ə
ᗉ	x a
ᗇ	x e
ᗈ	x i
ᗅ	x o
ᗄ	x u
ᗆ	x ə
ᗛ	xʷ a
ᗙ	xʷ e
ᗚ	xʷ i
ᗗ	xʷ o
ᗖ	xʷ u
ᗘ	xʷ ə
ᙆ	z
ᙅ	z a
ᙃ	z e
ᙄ	z i
ᙁ	z o
ᙀ	z u
ᙂ	z ə
ᙇ	z̺
ᓑ	ŋ
ᙚ	ʃ
ᗏ	ɣ a
ᘳ	ɬ a
ᙙ	ʃ a
ᗍ	ɣ e
ᘱ	ɬ e
ᙗ	ʃ e
ᗎ	ɣ i
ᘲ	ɬ i
ᙘ	ʃ i
ᗋ	ɣ o
ᘯ	ɬ o
ᙕ	ʃ o
ᗊ	ɣ u
ᘮ	ɬ u
ᙔ	ʃ u
ᗌ	ɣ ə
ᘰ	ɬ ə
ᙖ	ʃ ə
