abakus	a b a k u s	0
abchazský	a p x a s k iː	1
abcházie	a p x aː z ɪ ɛ	13
abcházský	a p x aː s k iː	0
abcházština	a p x aː s ʃ c ɪ n a	0
abdikace	a b d ɪ k a t͡s ɛ	1
abdikovat	a b d ɪ k o v a t	3
abdiáš	a b ɟ ɪ aː ʃ	0
abdominální	a b d o m ɪ n aː l ɲ iː	1
abdon	a b d o n	0
abeceda	a b ɛ t͡s ɛ d a	12
abecední	a b ɛ t͡s ɛ d ɲ iː	5
abelovský	a b ɛ l o f s k iː	0
abidžan	a b ɪ d ʒ a n	0
abiotický	a b ɪ o c ɪ t͡s k iː	1
ablace	a b l a t͡s ɛ	0
abnormální	a b n o r m aː l ɲ iː	5
abolicionismus	a b o l ɪ t͡s ɪ o ɲ ɪ z m u s	0
abraham	a b r a ɦ a m	89
abrahamův	a b r a ɦ a m uː f	0
abrahám	a b r a ɦ aː m	10
abrakadabra	a b r a k a d a b r a	0
abreakce	a b r ɛ a k t͡s ɛ	0
absces	a p s t͡s ɛ s	0
absence	a p s ɛ n t͡s ɛ	192
absint	a p s ɪ n t	3
absinth	a p s ɪ n t	1
absolutismus	a p s o l u t ɪ z m u s	1
absolutní	a p s o l u t ɲ iː	353
absolvent	a p s o l v ɛ n t	91
absolventský	a p s o l v ɛ n t s k iː	1
absolvovat	a p s o l v o v a t	143
absorbovat	a p s o r b o v a t	16
absorpce	a p s o r p t͡s ɛ	0
abstinent	a p s t ɪ n ɛ n t	5
abstrahovat	a p s t r a ɦ o v a t	2
abstrakce	a p s t r a k t͡s ɛ	15
abstrakt	a p s t r a k t	1
abstraktní	a p s t r a k t ɲ iː	54
abstraktum	a p s t r a k t u m	0
absurdita	a p s u r d ɪ t a	18
absurdnost	a p s u r d n o s t	3
absurdní	a p s u r d ɲ iː	215
absurdně	a p s u r d ɲ ɛ	18
absťák	a p s c aː k	2
aby	a b ɪ	27183
acetaldehyd	a t͡s ɛ t a l d ɛ ɦ ɪ t	0
acetaminofen	a t͡s ɛ t a m ɪ n o f ɛ n	0
acetazolamid	a t͡s ɛ t a z o l a m ɪ t	0
acetylcholin	a t͡s ɛ t ɪ l x o l ɪ n	0
acetylén	a t͡s ɛ t ɪ l ɛː n	1
acetát	a t͡s ɛ t aː t	0
achilles	a x ɪ l ɛ s	6
achillův	a x ɪ l uː f	0
achirální	a x ɪ r aː l ɲ iː	0
achát	a x aː t	2
acidita	a t͡s ɪ d ɪ t a	0
acidóza	a t͡s ɪ d oː z a	0
acinární	a t͡s ɪ n aː r ɲ iː	0
acyklický	a t͡s ɪ k l ɪ t͡s k iː	0
adam	a d a m	148
adamec	a d a m ɛ t͡s	38
adaptovat	a d a p t o v a t	19
adaptér	a d a p t ɛː r	16
adekvátní	a d ɛ k v aː t ɲ iː	116
adenin	a d ɛ n ɪ n	1
adenohypofýza	a d ɛ n o ɦ ɪ p o f iː z a	0
adenokarcinom	a d ɛ n o k a r t͡s ɪ n o m	0
adenom	a d ɛ n o m	0
adenozin	a d ɛ n o z ɪ n	0
adikce	a d ɪ k t͡s ɛ	0
adina	a ɟ ɪ n a	10
aditivum	a d ɪ t ɪ v u m	3
adjektivní	a d j ɛ k t ɪ v ɲ iː	0
adjektivum	a d j ɛ k t ɪ v u m	1
adjuvantní	a d j u v a n t ɲ iː	0
administrativa	a d m ɪ n ɪ s t r a t ɪ v a	261
administrativní	a d m ɪ n ɪ s t r a t ɪ v ɲ iː	313
administrátor	a d m ɪ n ɪ s t r aː t o r	11
admirál	a d m ɪ r aː l	11
adolescence	a d o l ɛ s t͡s ɛ n t͡s ɛ	1
adolescent	a d o l ɛ s t͡s ɛ n t	3
adolescentní	a d o l ɛ s t͡s ɛ n t ɲ iː	0
adolf	a d o l f	82
adolfek	a d o l f ɛ k	0
adopce	a d o p t͡s ɛ	28
adorant	a d o r a n t	0
adrenalin	a d r ɛ n a l ɪ n	25
adrenergní	a d r ɛ n ɛ r ɡ ɲ iː	0
adresovat	a d r ɛ s o v a t	5
adresát	a d r ɛ s aː t	21
adresář	a d r ɛ s aː r̝̊	26
adstringentní	a t s t r ɪ ŋ ɡ ɛ n t ɲ iː	0
advent	a d v ɛ n t	9
adventní	a d v ɛ n t ɲ iː	31
adverbiální	a d v ɛ r b ɪ aː l ɲ iː	0
advokát	a d v o k aː t	302
adámek	a d aː m ɛ k	13
adéla	a d ɛː l a	25
