'k	k	0
'k	ə k	0
'm	ə m	0
'n	ə n	0
'r	ə r	0
's	s	0
't	t	0
't	ə t	0
a	aː	2268
a.u.b.	aː y b eː	0
aa	aː	195
aad	aː t	74
aadje	aː t j ə	2
aafje	aː f j ə	7
aagje	aː x j ə	18
aagt	aː x t	0
aagtappel	aː x t ɑ p ə l	0
aagtje	aː x t j ə	2
aai	aː i̯	7
aaibaar	aː i̯ b aː r	3
aaibaarheid	aː i̯ b aː r ɦ ɛ i̯ t	2
aaibaarheidsfactor	aː i̯ b aː r ɦ ɛ i̯ t s f ɑ k t ɔ r	6
aaien	aː i̯ ə n	31
aaiing	aː i̯ ɪ ŋ	0
aak	aː k	4
aal	aː l	17
aalbert	aː l b ɛ r t	0
aalbes	aː l b ɛ s	0
aalbessengelei	aː l b ɛ s ə n ʒ ə l ɛ i̯	0
aalbessenjam	aː l b ɛ s ə n ʒ ɛ m	0
aalbessenjenever	aː l b ɛ s ə n j ə n eː v ə r	0
aalbessensap	aː l b ɛ s ə n s ɑ p	0
aalbessenstruik	aː l b ɛ s ə n s t r œ y̯ k	0
aalbessesap	aː l b ɛ s ə s ɑ p	0
aalbessestruik	aː l b ɛ s ə s t r œ y̯ k	0
aalbessestruik	aː l b ɛ s ɛ s t r ʉ j k	0
aalbrecht	aː l b r ɛ x t	2
aalderik	aː l d ə r ɪ k	0
aaldert	aː l d ə r t	2
aaldrik	aː l d r ɪ k	0
aalfuik	aː l f œ y̯ k	0
aalgeer	aː l ɣ eː r	0
aalglad	aː l ɣ l ɑ t	0
aalkorf	aː l k ɔ r f	0
aalkuip	aː l k œ y̯ p	0
aalmoes	aː l m u s	4
aalmoezenier	aː l m u z ə n iː r	5
aalmoezenierskamer	aː l m u z ə n iː r s k aː m ə r	0
aaloud	aː l ɑ u̯ t	0
aalpomp	aː l p ɔ m p	0
aalput	aː l p ʏ t	1
aalrik	aː l r ɪ k	0
aalschaar	aː l s x aː r	0
aalscholver	aː l s x ɔ l v ə r	5
aalspeer	aː l s p eː r	0
aalst	aː l s t	86
aalstal	aː l s t ɑ l	0
aalsteker	aː l s t eː k ə r	0
aalstreep	aː l s t r eː p	2
aalsvel	aː l s f ɛ l	0
aalt	aː l t	6
aalten	aː l t ə n	40
aalvlug	aː l v l ʏ x	0
aalvork	aː l v ɔ r k	0
aalvormig	aː l v ɔ r m ə x	0
aam	aː m	5
aambeeld	aː m b eː l t	8
aambeeldsblok	aː m b eː l t s b l ɔ k	0
aambei	aː m b ɛ i̯	0
aamborstig	aː m b ɔ r s t ə x	0
aamborstigheid	aː m b ɔ r s t ə x ɦ ɛ i̯ t	0
aamt	aː m t	1
aan	aː n	96026
aanaarden	aː n aː r d ə n	1
aanaarding	aː n aː r d ɪ ŋ	0
aanaardploeg	aː n aː r t p l u x	0
aanademen	aː n aː d ə m ə n	0
aanbaffen	aː n b ɑ f ə n	0
aanbakken	aː n b ɑ k ə n	1
aanbaksel	aː n b ɑ k s ə l	0
aanbedene	aː n b eː d ə n ə	0
aanbeeld	aː m b eː l t	0
aanbeeldsblok	aː m b eː l t s b l ɔ k	0
aanbegin	aː m b ə ɣ ɪ n	0
aanbegin	aː n b ə ɣ ɪ n	0
aanbehoren	aː n b ə ɦ oː r ə n	0
aanbelanden	aː m b ə l ɑ n d ə n	0
aanbelang	aː n b ə l ɑ ŋ	0
aanbellen	aː n b ɛ l ə n	8
aanberming	aː n b ɛ r m ɪ ŋ	0
aanbesteden	aː n b ə s t eː d ə n	16
aanbesteder	aː n b ə s t eː d ə r	2
aanbesteding	aː n b ə s t eː d ɪ ŋ	80
aanbestedingsbeleid	aː n b ə s t eː d ɪ ŋ s b ə l ɛ i̯ t	1
aanbestedingsprocedure	aː n b ə s t eː d ɪ ŋ s p r oː s ə d yː r ə	13
aanbestedingsregel	aː n b ə s t eː d ɪ ŋ s r eː ɣ ə l	0
aanbestedingsregeling	aː n b ə s t eː d ɪ ŋ s r eː ɣ ə l ɪ ŋ	0
aanbestedingsvoorwaarde	aː n b ə s t eː d ɪ ŋ s f oː r ʋ aː r d ə	0
aanbesterven	aː n b ə s t ɛ r v ə n	0
aanbetalen	aː n b ə t aː l ə n	1
aanbetaling	aː n b ə t aː l ɪ ŋ	72
aanbetreffen	aː n b ə t r ɛ f ə n	0
aanbetrouwen	aː n b ə t r ɑ u̯ ə n	0
aanbevelen	aː m b ə v eː l ə n	67
aanbevelenswaard	aː n b ə v eː l ə n s ʋ aː r t	2
aanbevelenswaardig	aː n b ə v eː l ə n s ʋ aː r d ə x	1
aanbeveler	aː n b ə v eː l ə r	0
aanbeveling	aː m b ə v eː l ɪ ŋ	140
aanbevelingsbrief	aː n b ə v eː l ɪ ŋ s b r i f	3
aanbevelingscomité	aː n b ə v eː l ɪ ŋ s k ɔ m i t eː	0
aanbevolene	aː n b ə v oː l ə n ə	0
aanbiddelijk	aː n b ɪ d ə l ə k	0
aanbidden	aː m b ɪ d ə n	28
aanbidder	aː n b ɪ d ə r	2
aanbidding	aː n b ɪ d ɪ ŋ	40
aanbidster	aː n b ɪ t s t ə r	1
aanbieden	aː m b i d ə n	773
aanbieder	aː n b i d ə r	163
aanbieding	aː n b i d ɪ ŋ	272
aanbiedingsbrief	aː n b i d ɪ ŋ s b r i f	3
aanbiedingsfolder	aː n b i d ɪ ŋ s f ɔ l d ə r	0
aanbiedingsprijs	aː n b i d ɪ ŋ s p r ɛ i̯ s	3
aanblaffen	aː n b l ɑ f ə n	0
aanblazen	aː n b l aː z ə n	2
aanblazing	aː n b l aː z ɪ ŋ	0
