abbadissa	a pː a t ɪ sː a	0
abbi	a pː ɪ	270
aftan	a f t a n	1584
aftan	aʰ tː a n	1584
aftansangur	a f t a n s a ŋ k ʊ ɹ	0
aftaná	a tː a n ɔ a	4280
aftanífrá	a tː a n ɪ f r ɔ a	27
aftrat	a t r ɛ a t	1108
afturat	a t r ɛ a t	3534
afturferð	a tː ʊ r f eː ɹ	0
afturfyri	a tː ʊ f iː r ɪ	337
afturgongd	aʰ tː ʊ r k ɔ ŋ k d	328
aftursvar	a tː ʊ r s v ɛ a r	83
aftursvar	a tː ʊ s v ɛ a r	83
aftursøgn	aʰ tː ʊ r s œ k n	3
agngágga	a k n k ɔ kː a	0
akfar	a k f ɛ a r	190
akker	aʰ t͡ʃː ɪ ɹ	95
aldri	a l d r ɪ	10127
aldur	a l t ʊ ɹ	861
allastaðni	a d l a s t ɛ a n ɪ	580
alt	a l̥ t	63310
altjóða	a l t ʃ ɔ u w a	4247
altjóðagerð	a l̥ t͡ʃ ɔ uː w a t͡ʃ eː ɹ	25
altíð	a l t ʊ iː	7415
altíð	a l̥ t ʊ i	7415
alv	a l v	1114
amboð	a m p oː	1020
amerikanari	a m ɛ r i k aː n a r ɪ	12
andast	a n d a s t	25
andlit	a n l iː t	346
andsøgn	a n s œ k n	107
annaðhvørt	a nː a k v œ ʂ t	622
apotek	a p o t eː k	310
arbeiðari	a r b a i j a r ɪ	13
arbeiði	a r b a i j ɪ	6824
arbeiðnum	a r b a i n ʊ n	350
arbeiðsfólk	a r b a i s f œ l̥ k	153
arbeiðsgevari	a ɹ p a i s t͡ʃ eː v a ɹ ɪ	181
arbeiðskona	a r b a s k oː n a	24
arbeiðsmannafelag	a r b a i s m a n n a f eː l ɛ a	78
arbeiðsmaður	a r b a s m ɛ a v ʊ r	30
armur	a ɹ m ʊ ɹ	33
arvabræv	a ɹ v a p ɹ ɛ aː v	0
arábi	a ɹ ɔ ɑːʰ p ɪ	2
atburður	a pː uː ɹ ʊ ɹ	90
atgongd	ɛ aʰ t k ɔ ŋ k t	1611
atgongumerki	ɛ a t k ɔ ŋ k ʊ m ɛ ɹ̥ t ʃ ɪ	675
atkomandi	ɛ a t k oː m a n d ɪ	14
atsókn	ɛ a t s œ k n	28
avgjald	a u t͡ʃ a l t	316
avreiða	a u r a i j a	74
avsláttur	a f s l ɔ tː ʊ r	224
avsláttur	ɛ a v s l ɔ tː ʊ r	224
aðrastaðni	ɛ a r a s t ɛ a n ɪ	1221
badminton	p a t m ɪ n tʰ ɔ n	1095
bakki	p aʰ t ʃː ɪ	106
bardagaár	p a ɻ ʈ ɛː a ɔ a ɹ	0
bardagi	p a r t ɛ aː j ɪ	51
barn	p a t n	12892
barsil	b a r s ɪ l	38
basalt	p a s a l̥ t	118
baðirúm	p ɛ aː j ɪ ɹ ʉ u m	124
beiggi	p a d͡ʒ̥ː ɪ	150
bein	b a i n	1717
bendingarmynstur	b ɛ n d ɪ ŋ ɡ a m ɪ n s t ʊ r	0
bensin	p ɛ n s iː n	658
bensinstøð	p ɛ n s iː n s t øː	11
berghol	p ɛ ɹ k h oː l	17
bert	p ɛ ɻ̥ ʈ	13153
bitil	b iː t ɪ l	0
bjart	b j a ʃ t	83
bjørk	p j œ ɹ̥ k	869
bjørn	p j œ t n	4715
blað	p l ɛ aː	273
blaðteknari	b l ɛ a t ɛ ɡ n a r ɪ	1
blóma	b l ɔ u m a	126
blýantur	p l ʊ iː j a n̥ t ʊ ɹ	5
bolli	b ɔ d l ɪ	33
bolli	b ɔ lː ɪ	33
boripallur	p oː ɹ ɪ pʰ a t l ʊ ɹ	9
borið	b oː ɹ ɪ	1517
borðoy	b oː r ɔ i	53
boð	b oː	2704
boðsháttur	p oː s h ɔʰ tː ʊ ɹ	13
brandur	b r a n d ʊ r	328
breti	p r eːʰ t ɪ	9
bretskur	b r ɛ s k ʊ r	35
breyð	p ɹ ɛ iː	305
brillur	p ɹ ɪ lː ʊ ɹ	55
brimil	b r iː m ɪ l	208
bringa	b r ɪ ŋ ɡ a	188
bromber	p ɾ ɔ p eː ɹ	1
brotsgerð	b r ɔ t s d ʒ eː r	16
brotsverk	b r ɔ t s v ɛ ɹ̥ k	164
broyting	b r ɔ i t ɪ ŋ ɡ	2000
brádliga	b r ɔ d l i j a	630
bræv	b r ɛ a v	575
bróst	b r œ s t	78
bróðir	p ɹ ɔ uː w ɪ ɹ	132
brúdleyp	b r ɪ d l ɛ i p	190
brúdleyp	b r ɪ d l ʊ p	190
brúgv	p ɹ ɪ k f	198
brúgv	p ɹ ɪ k v a ɹ	198
brúgv	p ɹ ʊ iː j ɹ	198
brúkari	b r ʉ u k a r ɪ	149
brún	p r ʉ u n	31
brúðgómur	b r ʏ k ɔ u m ʊ r	10
buksur	b ʊ k s ʊ r	41
bulgaria	p ʊ l k aː r i a	2777
bundið	b ʊ n d ɪ	390
bylgja	b ɪ l d ʒ a	29
bylgja	p ɪ ʎ t͡ʃ a	29
bátur	p ɔ ɑːʰ t ʊ ɹ	417
bílegging	p ʊ iː j l ɛ t͡ʃː ɪ ŋ k	133
bógfonn	b ɔ u ɡ f ɔ nː	0
bóghvítuhvalur	b ɔ u k v ʊ i t u k v ɛ a l ʊ r	9
bók	p ɔ uː k	1790
bókasavn	b ɔ u k a s a u n	95
bókmentafrøði	b ɔ u k m ɛ n t a f r øː j ɪ	12
bókígða	b ɔ u k ʊ i j a	0
bólkur	b œ l k ʊ r	894
bóltfelag	b œ l t f eː l ɛ a	271
bóltur	b œ l t ʊ r	98
bóndi	b œ n d ɪ	206
bøkur	b øː k ʊ r	3483
bølamyrkur	b ø l a m ɪ ʃ k ʊ r	1
bøn	b øː n	1118
børkur	p œ ɹ̥ k ʊ ɹ	20
børn	p œ t n	16000
bøur	p øː v ʊ ɹ	61
búgva	p ɪ k v a	2891
búskaparfrøði	b ʉ u s k ɛ a p a f r øː j ɪ	37
bústaður	b ʉ u s t ɛ a v ʊ r	181
býarfólk	b ʊ i j a r f œ l k	5
dagblað	t a k p l ɛ aː	1
dalur	t ɛ aː l ʊ ɹ	86
danskt	d a ŋ̊ k s t	527
danskur	t a n̥ s k ʊ ɹ	230
deild	t a iː l t	1977
dekk	t ɛʰ kː	498
depil	t eːʰ p ɪ l	97
deyði	t ɛ iː j ɪ	169
dimma	t ɪ mː a	56
djassur	t͡ʃ a sː ʊ ɹ	0
djór	t͡ʃ ɔ uː r	384
djúpt	t͡ʃ ʏʰ p t	359
doypa	t ɔ iː p a	60
drongur	t ɹ ɔ ŋ k ʊ ɹ	317
drotning	t ɾ ɔʰ t n ɪ ŋ k	195
drýpa	d r ʊ i p a	15
dugi	t uː j ɪ	303
dura	d uː r a	4186
dystur	t ɪ s t ʊ ɹ	1089
dánjal	d ɔ ɑ n j a l	789
dávid	t ɔ ɑː v ɪ t	1117
dávið	d ɔ a v ɪ	37
dávur	t ɔ aː v ʊ ɹ	254
