'tain	t ɛ̃	0
a	a	6169353
a	ɑ	6169353
a	ɔ	6169353
aa	a a	13406
aalénien	a l e n j ɛ̃	0
aaron	a a ʁ ɔ̃	2031
aaronaise	a a ʁ ɔ n ɛ z	0
aastaise	a a s t ɛ z	0
ababouiné	a b a b w i n e	0
abaca	a b a k a	25
abaca	a b ɑ k ɑ	25
abacost	a b a k ɔ s t	1
abactérienne	a b a k t e ʁ j ɛ n	0
abacule	a b a k y l	1
abader	a b a d e	0
abainvilloise	a b ɛ̃ v i j w a z	0
abaissable	a b ɛ s a b l	0
abaissable	a b ɛː s a b	0
abaissable	a b ɛː s a b l	0
abaissables	a b ɛ s a b l	1
abaissables	a b ɛː s a b	1
abaissables	a b ɛː s a b l	1
abaissant	a b ɛ s ɑ̃	19
abaissant	a b ɛː s ã	19
abaissant	a b ɛː s ɑ̃	19
abaissants	a b ɛ s ɑ̃	0
abaissants	a b ɛː s ã	0
abaissants	a b ɛː s ɑ̃	0
abaisse	a b ɛ s	50
abaisse	a b ɛː s	50
abaissement	a b ɛ s m ɑ̃	72
abaissement	a b ɛː s m ã	72
abaissements	a b ɛ s m ɑ̃	5
abaissements	a b ɛː s m ã	5
abaisser	a b e s e	77
abaisser	a b ɛ s e	77
abaisser	a b ɛː s e	77
abaisseur	a b ɛ s œ ʁ	0
abaisseurs	a b ɛ s œ ʁ	0
abaisseurs	a b ɛː s œ ʁ	0
abaissé	a b e s e	173
abajoue	a b a ʒ u	0
abalone	a b a l ɔ n	16
abalourdir	a b a l u ʁ d i ʁ	0
abancourtoise	a b ɑ̃ k u ʁ t w a z	0
abandon	a b ɑ̃ d ɔ̃	669
abandonner	a b ɑ̃ d ɔ n e	345
abandonneur	a b ɑ̃ d ɔ n œ ʁ	0
abaque	a b a k	2
abasie	a b a z i	0
abasourdir	a b a s u ʁ d i ʁ	0
abasourdir	a b a z u ʁ d i ʁ	0
abasourdira	a b a z u ʁ d i ʁ a	0
abasourdirai	a b a z u ʁ d i ʁ e	0
abasourdiraient	a b a z u ʁ d i ʁ ɛ	0
abasourdirais	a b a z u ʁ d i ʁ ɛ	0
abasourdirait	a b a z u ʁ d i ʁ ɛ	0
abasourdiras	a b a z u ʁ d i ʁ ɑ	0
abasourdirent	a b a z u ʁ d i ʁ	0
abasourdirez	a b a z u ʁ d i ʁ e	0
abasourdiriez	a b a z u ʁ d i ʁ j e	0
abasourdirions	a b a z u ʁ d i ʁ j ɔ̃	0
abasourdirons	a b a z u ʁ d i ʁ ɔ̃	0
abasourdiront	a b a z u ʁ d i ʁ ɔ̃	0
abasourdissaient	a b a z u ʁ d i s ɛ	0
abasourdissais	a b a z u ʁ d i s ɛ	0
abasourdissait	a b a z u ʁ d i s ɛ	0
abasourdissant	a b a z u ʁ d i s ɑ̃	0
abasourdisse	a b a z u ʁ d i s	0
abasourdissement	a b a z u ʁ d i s m ɑ̃	0
abasourdissent	a b a z u ʁ d i s	0
abasourdisses	a b a z u ʁ d i s	0
abasourdissez	a b a z u ʁ d i s e	0
abasourdissiez	a b a z u ʁ d i s j e	0
abasourdissions	a b a z u ʁ d i s j ɔ̃	0
abasourdissons	a b a z u ʁ d i s ɔ̃	0
abasourdit	a b a z u ʁ d i	0
abasourdîmes	a b a z u ʁ d i m	0
abasourdît	a b a z u ʁ d i	0
abasourdîtes	a b a z u ʁ d i t	0
abat	a b a	144
abattage	a b a t a ʒ	43
abattement	a b a t m ɑ̃	40
abatteur	a b a t œ ʁ	0
abatteurs	a b a t œ ʁ	3
abatteuse	a b a t ø z	0
abattis	a b a t i	0
abattoir	a b a t w a ʁ	37
abattre	a b a t ʁ	111
abaxial	a b a k s j a l	9
abaya	a b a j a	114
abbaroise	a b a ʁ w a z	0
abbasside	a b a s i d	3
abbatial	a b a s j a l	1
abbaye	a b e i	129
abbaye	a b ɛ i	129
abbecourtoise	a b k u ʁ t w a z	0
abbenanaise	a b e n a n ɛ z	0
abbesse	a b ɛ s	0
abbeville	a b v i l	69
abbeville	b e v i l	69
abbevillois	a b v i l w a	0
abbevilloise	a b v i l w a z	0
abby	a b i	415
abbé	a b e	282
abbécourtoise	a b e k u ʁ t w a z	0
abc	a b e s e	4610
abcès	a p s ɛ	11
abcéder	a p s e d e	0
abdias	a b d j ɑ	8
abdication	a b d i k a s j ɔ̃	5
abdiquer	a b d i k e	14
abdo	a b d o	76
abdomen	a b d ɔ m ɛ n	514
abdominal	a b d ɔ m i n a l	395
abdominale	a b d ɔ m i n a l	92
abdominales	a b d ɔ m i n a l	41
abdominaux	a b d ɔ m i n o	31
abdos	a b d o	8
abdoul	a b d u l	46
abdoulaye	a b d u l a i	415
abdoulla	a b d u l a	0
abducteur	a b d y k t œ ʁ	0
abductif	a b d y k t i f	0
abduction	a b d y k s j ɔ̃	98
abductions	a b d y k s j ɔ̃	19
abeau	a b o	2
abeille	a b ɛ j	41
abeille	a b ɛː j	41
abeilles	a b ɛ j	91
abeillée	a b ɛ j e	0
abel	a b ɛ l	1357
abelin	a b l ɛ̃	6
abelone	a b l ɔ n	13
aberdeen	a b ɛ ʁ d i n	1059
aberra	a b ɛ ʁ a	0
aberrai	a b ɛ ʁ e	0
aberraient	a b ɛ ʁ ɛ	0
aberrais	a b ɛ ʁ ɛ	0
aberrait	a b ɛ ʁ ɛ	0
aberrance	a b ɛ ʁ ɑ̃ s	0
aberrant	a b ɛ ʁ ɑ̃	61
aberrante	a b ɛ ʁ ɑ̃ t	73
aberrantes	a b ɛ ʁ ɑ̃ t	25
aberras	a b ɛ ʁ ɑ	0
aberrasse	a b ɛ ʁ a s	0
aberrassent	a b ɛ ʁ a s	0
aberrasses	a b ɛ ʁ a s	0
aberrassiez	a b ɛ ʁ a s j e	0
aberrassions	a b ɛ ʁ a s j ɔ̃	0
aberration	a b ɛ ʁ a s j ɔ̃	70
aberrations	a b ɛ ʁ a s j ɔ̃	19
aberre	a b ɛ ʁ	0
aberrent	a b ɛ ʁ	0
aberrera	a b ɛ ʁ ə ʁ a	0
aberrerai	a b ɛ ʁ ə ʁ e	0
aberreraient	a b ɛ ʁ ə ʁ ɛ	0
aberrerais	a b ɛ ʁ ə ʁ ɛ	0
aberrerait	a b ɛ ʁ ə ʁ ɛ	0
aberreras	a b ɛ ʁ ə ʁ ɑ	0
aberrerez	a b ɛ ʁ ə ʁ e	0
aberreriez	a b ɛ ʁ ə ʁ j e	0
aberrerions	a b ɛ ʁ ə ʁ j ɔ̃	0
aberrerons	a b ɛ ʁ ə ʁ ɔ̃	0
aberreront	a b ɛ ʁ ə ʁ ɔ̃	0
aberres	a b ɛ ʁ	0
aberrez	a b ɛ ʁ e	0
aberriez	a b ɛ ʁ j e	0
aberrions	a b ɛ ʁ j ɔ̃	0
aberrons	a b ɛ ʁ ɔ̃	0
aberrâmes	a b ɛ ʁ ɑ m	0
aberrât	a b ɛ ʁ ɑ	0
aberrâtes	a b ɛ ʁ ɑ t	0
aberrèrent	a b ɛ ʁ ɛ ʁ	0
aberré	a b ɛ ʁ e	0
abessif	a b e s i f	0
abessif	a b ɛ s i f	0
abeurver	a b œ ʁ v e	0
abhorrer	a b ɔ ʁ e	1
abidjan	a b i d ʒ ɑ̃	286
abies	a b j ɛ s	88
abigéat	a b i ʒ e a	0
abime	a b i m	3
abiétinée	a b j e t i n e	0
abject	a b ʒ ɛ k t	65
abjection	a b ʒ ɛ k s j ɔ̃	3
abjuration	a b ʒ y ʁ a s j ɔ̃	0
abjurer	a b ʒ y ʁ e	0
abkhazie	a p k a z i	20
ablater	a b l a t e	0
ablatif	a b l a t i f	2
ablative	a b l a t i v	3
ableret	a b l ə ʁ ɛ	0
ablette	a b l ɛ t	0
ablier	a b l i j e	0
abnégation	a b n e ɡ a s j ɔ̃	20
aboi	a b w a	1
aboiement	a b w a m ɑ̃	1
aboiteau	a b w a t o	1
aboli	a b ɔ l i	51
abolir	a b ɔ l i ʁ	177
abolissable	a b ɔ l i s a b l	0
abolissables	a b ɔ l i s a b l	0
abolition	a b ɔ l i s j ɔ̃	112
abolitionnisme	a b ɔ l i s j ɔ n i s m	2
abolitionnismes	a b ɔ l i s j ɔ n i s m	0
abolitionniste	a b ɔ l i s j ɔ n i s t	3
abomey	a b ɔ m ɛ	6
abomiffreuse	a b ɔ m i f ʁ ø z	0
abomina	a b ɔ m i n a	18
abominable	a b ɔ m i n a b l	66
abominables	a b ɔ m i n a b l	26
abominai	a b ɔ m i n e	0
abominaient	a b ɔ m i n ɛ	0
abominais	a b ɔ m i n ɛ	0
abominait	a b ɔ m i n ɛ	0
abominant	a b ɔ m i n ɑ̃	2
abominas	a b ɔ m i n ɑ	1
abominasse	a b ɔ m i n a s	0
abominassent	a b ɔ m i n a s	0
abominasses	a b ɔ m i n a s	0
abominassiez	a b ɔ m i n a s j e	0
abominassions	a b ɔ m i n a s j ɔ̃	0
abomination	a b ɔ m i n a s j ɔ̃	35
abomine	a b ɔ m i n	2
abominent	a b ɔ m i n	0
abominer	a b ɔ m i n e	0
abominera	a b ɔ m i n ʁ a	0
abominerai	a b ɔ m i n ʁ e	0
abomineraient	a b ɔ m i n ʁ ɛ	0
abominerais	a b ɔ m i n ʁ ɛ	0
abominerait	a b ɔ m i n ʁ ɛ	0
abomineras	a b ɔ m i n ʁ ɑ	0
abominerez	a b ɔ m i n ʁ e	0
abomineriez	a b ɔ m i n ə ʁ j e	0
abominerions	a b ɔ m i n ə ʁ j ɔ̃	0
abominerons	a b ɔ m i n ʁ ɔ̃	0
abomineront	a b ɔ m i n ʁ ɔ̃	0
abomines	a b ɔ m i n	1
abominez	a b ɔ m i n e	0
abominiez	a b ɔ m i n j e	0
abominions	a b ɔ m i n j ɔ̃	0
abominons	a b ɔ m i n ɔ̃	0
abominâmes	a b ɔ m i n ɑ m	0
abominât	a b ɔ m i n ɑ	0
abominâtes	a b ɔ m i n ɑ t	0
abominèrent	a b ɔ m i n ɛ ʁ	0
abominé	a b ɔ m i n e	0
abondamment	a b ɔ̃ d a m ɑ̃	45
abondance	a b ɔ̃ d ɑ̃ s	78
abondant	a b ɔ̃ d ɑ̃	14
abondement	a b ɔ̃ d m ɑ̃	2
abonder	a b ɔ̃ d e	9
abonnement	a b ɔ n m ɑ̃	1202
abonner	a b ɔ n e	35
abonni	a b ɔ n i	0
abonnira	a b ɔ n i ʁ a	0
abonnirai	a b ɔ n i ʁ e	0
abonniraient	a b ɔ n i ʁ ɛ	0
abonnirais	a b ɔ n i ʁ ɛ	0
abonnirait	a b ɔ n i ʁ ɛ	0
abonniras	a b ɔ n i ʁ ɑ	0
abonnirent	a b ɔ n i ʁ	0
abonnirez	a b ɔ n i ʁ e	0
abonniriez	a b ɔ n i ʁ j e	0
abonnirions	a b ɔ n i ʁ j ɔ̃	0
abonnirons	a b ɔ n i ʁ ɔ̃	0
abonniront	a b ɔ n i ʁ ɔ̃	0
abonnis	a b ɔ n i	0
abonnissaient	a b ɔ n i s ɛ	0
abonnissais	a b ɔ n i s ɛ	0
abonnissait	a b ɔ n i s ɛ	0
abonnissant	a b ɔ n i s ɑ̃	0
abonnisse	a b ɔ n i s	0
abonnissement	a b ɔ n i s m ɑ̃	0
abonnissent	a b ɔ n i s	0
abonnisses	a b ɔ n i s	0
abonnissez	a b ɔ n i s e	0
abonnissiez	a b ɔ n i s j e	0
abonnissions	a b ɔ n i s j ɔ̃	0
abonnissons	a b ɔ n i s ɔ̃	0
abonnit	a b ɔ n i	0
abonné	a b ɔ n e	92
abonnîmes	a b ɔ n i m	0
abonnît	a b ɔ n i	0
abonnîtes	a b ɔ n i t	0
abord	a b ɔ ʁ	1769
abordable	a b ɔ ʁ d a b l	117
abordables	a b ɔ ʁ d a b l	69
aborder	a b ɔ ʁ d e	325
abordeur	a b ɔ ʁ d œ ʁ	0
aborigène	a b ɔ ʁ i ʒ ɛ n	8
aborner	a b ɔ ʁ n e	0
abornerait	a b ɔ ʁ n ə ʁ ɛ	0
abot	a b o	64
aboteau	a b ɔ t o	0
abou	a b u	459
aboudabienne	a b u d a b j ɛ n	0
aboudhabienne	a b u d a b j ɛ n	0
abougrie	a b u ɡ ʁ i	0
abouler	a b u l e	0
aboutir	a b u t i ʁ	299
aboutira	a b u t i ʁ a	35
aboutirai	a b u t i ʁ e	0
aboutiraient	a b u t i ʁ ɛ	6
aboutirais	a b u t i ʁ ɛ	0
aboutirait	a b u t i ʁ ɛ	7
aboutiras	a b u t i ʁ ɑ	0
aboutirent	a b u t i ʁ	0
aboutirez	a b u t i ʁ e	1
aboutiriez	a b u t i ʁ j e	0
aboutirions	a b u t i ʁ j ɔ̃	0
aboutirons	a b u t i ʁ ɔ̃	2
aboutiront	a b u t i ʁ ɔ̃	4
aboutis	a b u t i	12
aboutissaient	a b u t i s ɛ	4
aboutissais	a b u t i s ɛ	0
aboutissait	a b u t i s ɛ	6
aboutissant	a b u t i s ɑ̃	15
aboutisse	a b u t i s	29
aboutissement	a b u t i s m ɑ̃	65
aboutissent	a b u t i s	57
aboutisses	a b u t i s	0
aboutissez	a b u t i s e	0
aboutissiez	a b u t i s j e	0
aboutissions	a b u t i s j ɔ̃	0
aboutissons	a b u t i s ɔ̃	1
aboutit	a b u t i	66
aboutîmes	a b u t i m	0
aboutît	a b u t i	0
aboutîtes	a b u t i t	0
aboyer	a b w a j e	2
abracadabra	a b ʁ a k a d a b ʁ a	41
abracadabrant	a b ʁ a k a d a b ʁ ɑ̃	4
abracadabrantesque	a b ʁ a k a d a b ʁ ɑ̃ t ɛ s k	1
abraham	a b ʁ a a m	2660
abrasa	a b ʁ a z a	21
abrasai	a b ʁ a z e	0
abrasaient	a b ʁ a z ɛ	0
abrasais	a b ʁ a z ɛ	0
abrasait	a b ʁ a z ɛ	0
abrasant	a b ʁ a z ɑ̃	0
abrasas	a b ʁ a z ɑ	0
abrasasse	a b ʁ a z a s	0
abrasassent	a b ʁ a z a s	0
abrasasses	a b ʁ a z a s	0
abrasassiez	a b ʁ a z a s j e	0
abrasassions	a b ʁ a z a s j ɔ̃	0
abrase	a b ʁ a z	0
abrasent	a b ʁ a z	0
abraser	a b ʁ a z e	0
abrasera	a b ʁ a z ʁ a	0
abraserai	a b ʁ a z ʁ e	0
abraseraient	a b ʁ a z ʁ ɛ	0
abraserais	a b ʁ a z ʁ ɛ	0
abraserait	a b ʁ a z ʁ ɛ	0
abraseras	a b ʁ a z ʁ ɑ	0
abraserez	a b ʁ a z ʁ e	0
abraseriez	a b ʁ a z ə ʁ j e	0
abraserions	a b ʁ a z ə ʁ j ɔ̃	0
abraserons	a b ʁ a z ʁ ɔ̃	0
abraseront	a b ʁ a z ʁ ɔ̃	0
abrases	a b ʁ a z	0
abrasez	a b ʁ a z e	0
abrasiez	a b ʁ a z j e	0
abrasif	a b ʁ a z i f	9
abrasons	a b ʁ a z ɔ̃	0
abrasâmes	a b ʁ a z ɑ m	0
abrasât	a b ʁ a z ɑ	0
abrasâtes	a b ʁ a z ɑ t	0
abrasèrent	a b ʁ a z ɛ ʁ	0
abrasé	a b ʁ a z e	0
abreuver	a b ʁ œ v e	8
abreuvoir	a b ʁ œ v w a ʁ	2
abri	a b ʁ i	776
abria	a b ʁ i j a	61
abrias	a b ʁ i j a	0
abribus	a b ʁ i b y s	18
abricot	a b ʁ i k o	5
abricotier	a b ʁ i k ɔ t j e	0
abricotine	a b ʁ i k ɔ t i n	0
abricoté	a b ʁ i k ɔ t e	0
abrier	a b ʁ i j e	1
abris	a b ʁ i	116
abriter	a b ʁ i t e	86
abrivent	a b ʁ i v ɑ̃	0
abriât	a b ʁ i j a	0
abrogation	a b ʁ ɔ ɡ a s j ɔ̃	40
abrogatrice	a b ʁ ɔ ɡ a t ʁ i s	0
abroge	a b ʁ ɔ ʒ	5
abrogea	a b ʁ ɔ ʒ a	0
abrogeable	a b ʁ ɔ ʒ a b l	0
abrogeables	a b ʁ ɔ ʒ a b l	0
abrogeai	a b ʁ ɔ ʒ e	0
abrogeaient	a b ʁ ɔ ʒ ɛ	0
abrogeais	a b ʁ ɔ ʒ ɛ	0
abrogeait	a b ʁ ɔ ʒ ɛ	0
abrogeant	a b ʁ ɔ ʒ ɑ̃	2
abrogeas	a b ʁ ɔ ʒ ɑ	0
abrogeasse	a b ʁ ɔ ʒ a s	0
abrogeassent	a b ʁ ɔ ʒ a s	0
