ananas	z ɑ̃ n ɑ̃ n a	13
ancêtre	ɑ̃ s a e̯ t ʁ̥	38
anniversaire	a n i v ɛ ʁ s a ɛ̯ ʁ	1004
arbre	z a b	237
asteur	a s t œ ɾ	0
astheure	a s t œ ɾ	0
aujourd'hui	a ʒ ɔ ɾ d ɥ i	0
aujourd'hui	o ʒ ɔ ɾ d ɥ ɪ	0
autre	o u̯ t ʁ	12040
autre	ɔ t ɾ	12040
baleine	b a l ã ɪ̯̃ n	69
baleine	b a l ẽ ɪ̯̃ n	69
baleine	b a l æ̃ ɪ̯̃ n	69
baleine	b a l æ̃ ɪ̯̃ n ə̆	69
baleine	b a l ɛ n	69
baptême	b a t a ɛ̯ m	78
baptême	b a t ɛ̃ː m	78
base	b ɑ ʊ̯ z	3407
base	b ɑː z	3407
bellastre	b ɛ l a s t ʁ ə	0
bibitte	b i b ɪ t	1
bonjour	b õ ʒ u ə̯ ʁ	154
bonjour	b ɒ̃ ʊ̯̃ ʒ ʊ u̯ ʁ	154
bonjour	b ɔ̃ ʒ o ɾ	154
bonsoir	b õ s w aː ʁ	10
bonsoir	b ɒ̃ ʊ̯̃ s w ɒː ʁ	10
bonsoir	b ɒ̃ ʊ̯̃ s w ɔː ʁ	10
bonsoir	b ɒ̃ ʊ̯̃ s w ɛː ʁ	10
bonsoir	b ɔ̃ s w ɑː ʁ	10
bonsoir	b ɔ̃ s w ɛː ɾ	10
bougre	b u ɡ	16
bougre	b ʊ ɡ	16
boète	b w a ɛ̯ t	0
boète	b w e i̯ t	0
boîte	b w a ɛ̯ t	448
brin	b ɾ æ̃	192
business	b ɪ z n ɪ s	492
cher	ʃ æ	1289
chose	ʃ o u̯ z	4290
colère	k o l æ ɾ	961
cul	t͡ʃ y	87
diable	d ʒ a b u l	143
diable	d ʒ a w b	143
diable	d ʒ ɔ b	143
dix	d͡ʒ i s	3831
engatse	ɑ̃ ŋ ɡ a t s ə	0
ensemble	ɔ̃ s ɔ̃ m	4244
espace	ɛ s p ɑː s	1681
feutre	f œ t	16
fille	f ɪ j	2177
français	f ɾ ɔ̃ s e	13391
fête	f a ɪ̯ tʰ	1683
fête	f ɑ ɪ̯ tʰ	1683
gars	ɡ ɔ	503
gracias	ɡ ʁ a s j ɑ	2
gracias	ɡ ʁ a s j ɔ	2
grèce	ɡ ʁ a ɛ̯ s	2641
guimbler	ɡ æ̃ b l e	0
guêpe	d͡ʒ ɛ p	11
guêpe	ɡ a ɛ̯ p	11
haja	h a ʒ a	6
haja	h æ ʒ æ	6
hami	ħ æ m i	0
hebs	ħ æ b s	0
hebs	ħ ɛ b s	0
herbe	z æ b	153
hiver	i v a ɛ̯ ʁ	1062
hiver	i v e ɪ̯ ʁ	1062
hiver	i v æ ɾ	1062
hiver	i v ɛː ʁ	1062
honte	h ɔ̃ n	371
jamais	h ɑ̃ m ɛ̃	8152
jamais	ʒ ɑ̃ m e	8152
jamais	ʒ ɔ̃ m ɛ̃	8152
jaune	ʒ o u̯ n	792
jaune	ʒ ɔ n ə	792
je	ʒ ø	38937
joker	d ʒ o ʊ̯ k œ ʁ	110
lézard	l e z ɑ ɔ̯ ʁ	7
macaquerie	m a k a k r i	0
manger	m ɑ̃ː ʒ e	511
manière	m ɔ̃ j æ ɾ	3417
merci	m æ ɾ s i	751
merci	m ɛ ʁ s i	751
mercis	m ɛ r s i	3
moitié	m o t͡ʃ e	1844
même	m a ɛ̯ m	29828
oiseau	z o z o	77
oiseau	z w ɒ z o	77
ostie	ɔ s t͡s i	1
ouvrir	u v æ ɾ	1260
ouvrir	ɾ u v ɾ ɪ ɾ	1260
parapluies	p a ʁ a p l w i	18
petit	p ə t s i	5023
petite	p ə t s ɪ t	3320
point	p w ɛ̃ ɪ̃	7735
poutine	p u t͡s ɪ n	275
pouvoir	p u w ɒ ɾ	6870
powoir	p o w ɒ ɾ	0
powoir	p u w ɒ ɾ	0
pêche	p a ɪ̯ ʃ	728
quinteau	k ɛ̃ t i̯ o	0
quinteau	k ɛ̃ t i̯ ɔ u̯	0
quinteau	k ɛ̃ t o	0
quête	k a ɪ̯ t	528
renard	ə ɾ ə n a ɾ	70
rescousse	ʀ ɛ s k ʊ s	68
reître	ʁ a ɪ̯ t ʁ̥	0
reître	ʁ ɛ ɪ̯ t ʀ̥	0
reître	ʁ ɛː t ʁ̥ ɐ	0
sable	s a b	312
sable	s ɑ ɔ̯ b l	312
saigner	s æ̃ j e	15
seize	s a i z	323
septembre	s ɛ k t ɔ̃ m	5224
septembre	s ɛ p t ɔ̃ m	5224
soccer	s ɔ k a œ̯ ʁ	331
soccer	s ɔ k ɚ	331
soir	s w ɒ ɾ	9513
tard	t ɑː ʁ	3797
tempête	t ã p a ɪ̯ t	705
tempête	t ã p ɛ ɪ̯ t	705
tempête	t ɒ̃ p ɛ t	705
tempête	t ɒ̃ p ɛ̝ː t	705
terre	t a ɛ̯ ʁ	3179
terre	t æ ɛ̯ ʁ̥	3179
terre	t æ ɾ	3179
trois	t ʁ w ɔ	19108
tu	t i	2412
tu	t͡s y	2412
tu	t͡ʃ y	2412
tuque	t s ʏ k	58
témoignage	t ɛ̃ m w ɑ̃ j a ʒ	500
tête	t a ɪ̯ t	7538
tête	t ɛ t	7538
tête	t ɛ ɪ̯ t	7538
tête	t ɛː t	7538
une	ʏ n	196739
vendre	v ɔ̃ n	1232
ville	v ɪ l	7561
voir	v w ɒ ɾ	7465
voyage	v o j a ʒ	1679
voyage	v w ɒ j a ʒ	1679
écureuil	z i k i ɾ œ j	7
étienne	e t s j ɛ n	69
être	a ɛ̯ t χ	29781
