aai	aː j
aai	oː j
aai	ɔː j
aaien	aː j ə n
aaike	aː j k ə
aap	aː p
aapke	aː p k ə
aard	aː t
aarden	aː d ə n
aardsje	aː t s j ə
abt	a p t
abten	a p t ə n
acht	a x t
achten	a x t ə n
achtsje	a x t s j ə
achtste	a k s t ə
achtste	a x s t ə
aike	a i̯ k ə
alfabet	a l f a b ɛ t
alfabet	ɔ l f a b ɛ t
alfabetten	a l f a b ɛ t ə n
alfabetten	ɔ l f a b ɛ t ə n
alligator	a l i ɡ aː t ɔ r
alligators	a l i ɡ aː t ɔ s
amfiby	a m f i b i
amfibyen	a m f i b i ə n
amfibys	a m f i b i s
ananas	a n ə n a s
ananassen	a n ə n a s ə n
angel	a ŋ ə l
angels	a ŋ ə l s
angeltsje	a ŋ ə l t s j ə
antwurd	ɔ n t v ø t
antwurden	ɔ n t v ø d ə n
apel	aː p ə l
apels	aː p ə l s
apeltsje	aː p ə l t s j ə
apen	aː p ə n
appel	a p ə l
appels	a p ə l s
appeltsje	a p ə l t s j ə
april	a p r ɪ l
arbeidster	a r b a i̯ s t ə r
arbeidster	a r b ɛ i̯ s t ə r
arbeidsters	a r b a i̯ s t ə s
ark	a r k
as	a s
as	ɔ s
asjebleaft	a s j ə b l ɪ ə̯ f t
asjebleaft	ɔ s j ə b l ɪ ə̯ f t
aske	ɔ s k ə
asperzje	a s p ɛ r z j ə
asperzjes	a s p ɛ r z j ə s
assen	ɔ s ə n
at	ɔ t
augustus	ɔ u̯ ɡ ø s t ə s
augustussen	ɔ u̯ ɡ ø s t ə s ə n
baarch	b aː r x
baktearje	b a k t ɪ ə̯ r j ə
baktearjen	b a k t ɪ ə̯ r j ə n
baktearjes	b a k t ɪ ə̯ r j ə s
banaan	b a n aː n
banaan	b ə n aː n
banaantsje	b a n aː n t s j ə
banaantsje	b ə n aː n t s j ə
bananen	b a n aː n ə n
bananen	b ə n aː n ə n
bananerepubliken	b a n aː n ə r eː p y b l i k ə n
bananerepubliken	b ə n aː n ə r eː p y b l i k ə n
bananerepublyk	b a n aː n ə r eː p y b l i k
bananerepublyk	b ə n aː n ə r eː p y b l i k
bananerepublykje	b a n aː n ə r eː p y b l i k j ə
bananerepublykje	b ə n aː n ə r eː p y b l i k j ə
banjo	b a n j oː
banjo's	b a n j oː s
barchje	b a r x j ə
bargefleis	b a r ɣ ə f l a i̯ s
bargefleis	b a r ɣ ə f l ɛ i̯ s
bargen	b a r ɣ ə n
bask	b a s k
beaken	b ɪ ə̯ k ə n
beakens	b ɪ ə̯ k ə n s
beakentsje	b ɪ ə̯ k ə n t s j ə
beam	b ɪ ə̯ m
beamke	b j ɛ m k ə
beammen	b j ɛ m ə n
beamte	b j ɛ m t ə
bean	b ɪ ə̯ n
beanen	b ɪ ə̯ n ə n
beanne	b j ɛ n ə
beannen	b j ɛ n ə n
beantsje	b j ɛ n t s j ə
bear	b ɪ ə̯ r
bearen	b ɪ ə̯ r ə n
bearke	b ɪ ə̯ r k ə
bears	b ɪ ə̯ s
beest	b eː s t
beesten	b eː s t ə n
beestje	b eː s j ə
beestke	b eː s k ə
begraafplak	b ə ɡ r aː f p l a k
begraafplakje	b ə ɡ r aː f p l a k j ə
begraafplakken	b ə ɡ r aː f p l a k ə n
begrave	b ə ɡ r aː v ə
begripe	b ə ɡ r i p ə
begroeting	b ə ɡ r u ə̯ t ɪ ŋ
begroetsje	b ə ɡ r u ə̯ t s j ə
bekende	b ə k ɛ n d ə
bekenden	b ə k ɛ n d ə n
bel	b ɛ l
belch	b ɛ l x
bellen	b ɛ l ə n
bels	b ɛ l s
beltsje	b ɛ l t s j ə
belust	b ə l ø s t
beppe	b ɛ p ə
beppesizzer	b ɛ p ə s ɪ z ə r
beppesizzerke	b ɛ p ə s ɪ z ə r k ə
beppesizzers	b ɛ p ə s ɪ z ə s
berch	b ɛ r x
berchgeit	b ɛ r ɣ ɡ a i̯ t
berchgeit	b ɛ r ɣ ɡ ɛ i̯ t
berchgeiten	b ɛ r ɣ ɡ a i̯ t ə n
berchgeiten	b ɛ r ɣ ɡ ɛ i̯ t ə n
berchgeitsje	b ɛ r ɣ ɡ a i̯ t s j ə
berchgeitsje	b ɛ r ɣ ɡ ɛ i̯ t s j ə
bern	b ɛ n
bern	b ɛː n
bernsbern	b ɛː n z b ɛː n
bernsberntsje	b ɛː n z b ɛ n t s j ə
berntsje	b ɛ n t s j ə
berte	b ɛ t ə
berteplak	b ɛ t ə p l a k
berteplakje	b ɛ t ə p l a k j ə
berteplakken	b ɛ t ə p l a k ə n
bestimming	b ə s t ɪ m ɪ ŋ
bestimmingen	b ə s t ɪ m ɪ ŋ ə n
bestimmings	b ə s t ɪ m ɪ ŋ s
bestjoer	b ə s t j u ə̯ r
bestân	b ə s t ɔː n
beswier	b ə s v i ə̯ r
beswieren	b ə s v i ə̯ r ə n
beswierskrift	b ə s v i ə̯ r s k r ɪ f t
beswierskriften	b ə s v i ə̯ r s k r ɪ f t ə n
betsjutte	b ə t s j ø t ə
betsjutting	b ə t s j ø t ɪ ŋ
betterskip	b ɛ t ə r s k ɪ p
beuker	b øː k ə r
bien	b i ə̯ n
biennen	b j ɪ n ə n
bientsje	b j ɪ n t s j ə
bier	b i ə̯ r
bieren	b i ə̯ r ə n
bierke	b i ə̯ r k ə
biezem	b i ə̯ z ə m
biezemke	b i ə̯ z ə m k ə
biezems	b i ə̯ z ə m s
bij	b ɛ i̯
bijen	b ɛ i̯ ə n
bijke	b ɛ i̯ k ə
bile	b i l ə
binnenstedsje	b ɪ n ə n s t ɛ t s j ə
binnenstêd	b ɪ n ə n s t ɛː t
binnenstêden	b ɪ n ə n s t ɛː d ə n
bioskoop	b i ɔ s k oː p
bioskoopke	b i ɔ s k oː p k ə
bioskopen	b i ɔ s k oː p ə n
biskop	b ɪ s k ɔ p
bismut	b ɪ s m ø t
bist	b ɪ s t
bisten	b ɪ s t ə n
bistje	b ɪ s j ə
bistke	b ɪ s k ə
bjist	b j ɪ s t
bjuster	b j ø s t ə r
blau	b l ɔ u̯
blei	b l a i̯
blei	b l ɛ i̯
