aba	a β a̝	71
abada	a β a ð a̝	1
abade	a b a d e	86
abadengo	a β a ð e ŋ ɡ o̝	2
abadía	a b a d i a	75
abafar	a β a f a ɾ	0
abafo	a β a f o̝	0
abaixar	a β a j ʃ a ɾ	0
abalar	a β a l a ɾ	2
abalo	a β a l o̝	11
abaloucar	a β a l o w k a ɾ	0
abanar	a β a n a ɾ	0
abancar	a β a ŋ k a ɾ	0
abanicar	a β a n i k a ɾ	0
abano	a β a n o̝	35
abanqueiro	a β a ŋ k e j ɾ o̝	5
abater	a β a t e ɾ	9
abeaca	a β e a k a̝	0
abeberar	a β e β e ɾ a ɾ	0
abeiro	a β e j ɾ o̝	23
abella	a β e ʎ a̝	39
abellariza	a β e ʎ a ɾ i θ a̝	1
abelleira	a β e ʎ e j ɾ a̝	2
abelleiro	a β e ʎ e j ɾ o̝	4
abelá	a β e l a	12
abeneiro	a β e n e j ɾ o̝	2
abesouro	a β e s o w ɾ o̝	1
abetar	a β e t a ɾ	0
abeto	a β e t o̝	10
abetocar	a β e t ɔ k a ɾ	0
abetouro	a β e t o w ɾ o̝	1
aboar	a β o a ɾ	2
abofé	a β o f ɛ	2
abondar	a β o n d a ɾ	2
abondo	a β o n d o̝	78
abouxar	a β o w ʃ a ɾ	0
abranguer	a β ɾ a ŋ ɡ e ɾ	9
abrazar	a β ɾ a s a ɾ	13
abrazar	a β ɾ a ɵ a ɾ	13
abrente	a β ɾ ɛ n t e̝	13
abrigar	a β ɾ i ɣ a ɾ	6
abrigo	a β ɾ i ɣ o̝	35
abrir	a β r i r	126
abruñeiro	a β ɾ u ɲ e j ɾ o̝	1
abruño	a β ɾ u ɲ o̝	0
abrótea	a β ɾ ɔ t e̯ a̝	0
abrótega	a β ɾ ɔ t e̝ ɣ a̝	0
abur	a β u ɾ	0
acadar	a k a ð a ɾ	338
acaer	a k a e ɾ	0
acaroar	a k a ɾ o a r	0
acañar	a k a ɲ a ɾ	0
acea	a θ e a̝	5
aceda	a θ e ð a̝	8
acedo	a s e ð o̝	22
acedo	a θ e ð o̝	22
aceiro	a s θ e j ɾ o̝	175
aceiro	a θ e j ɾ o̝	175
acender	a s e n d e ɾ	16
acender	a θ e n d e ɾ	16
aceno	a θ e n o̝	5
acereiro	a θ e ɾ e j ɾ o̝	1
aceso	a s e s o̝	20
aceso	a θ e s o̝	20
acevo	a θ e β o	0
acha	a t͡ʃ a	30
achar	a t͡ʃ a ɾ	27
achegar	a t͡ʃ e ɣ a ɾ	54
acibeche	a s i β ɛ t͡ʃ e̝	2
acibeche	a θ i β ɛ t͡ʃ e̝	2
acibecheiro	a s i β ɛ t͡ʃ e i ɾ o̝	0
acibecheiro	a θ i β ɛ t͡ʃ e i ɾ o̝	0
acio	a θ i o̝	17
acio	a θ j o̝	17
acivro	a θ i β ɾ o̝	6
aciñeira	a θ i ɲ e j ɾ a̝	4
acorar	a k o ɾ a ɾ	2
acoro	a k o ɾ o̝	0
acotío	a k o t i o̝	39
acougar	a k o w ɣ a ɾ	5
acubillar	a k u β i ʎ a ɾ	1
acubillo	a k u β i ʎ o̝	16
acá	a k a	3
adala	a ð a l a̝	0
adega	a ð ɛ ɣ a	21
adiviñar	a ð i β i ɲ a ɾ	5
adobar	a ð o β a ɾ	0
adobe	a ð ɔ β e̝	19
adobo	a ð o β o̝	2
adoito	a ð o j t o̝	31
adormentar	a ð o ɾ m e n t a ɾ	0
adormentar	a ð o ɾ m ɛ n t a ɾ	0
adra	a ð ɾ a̝	4
adrede	a ð ɾ e ð e̝	0
adro	a ð ɾ o̝	62
aduanada	a ð w a n a ð a̝	0
adubo	a ð u β o̝	4
advento	a d b e n t o̝	7
afagar	a f a ɣ a ɾ	2
afalar	a f a l a ɾ	0
afastar	a f a s t a ɾ	20
aferventar	a f e ɾ β e n t a ɾ	0
afi	a f i	3
afogar	a f o ɣ a ɾ	9
afouto	a f o w t o̝	5
afreitas	a f ɾ e j t a̝ s	0
afuar	a f u a ɾ	0
afungar	a f u ŋ ɡ a ɾ	0
agaitar	a ɣ a j t a ɾ	0
agarimar	a ɣ a ɾ i m a ɾ	0
agarimo	a ɣ a ɾ i m o̝	5
agasallar	a ɣ a s a ʎ a ɾ	1
agochar	a ɣ o t͡ʃ a ɾ	20
agoireiro	a ɣ o j ɾ e j ɾ o̝	1
agoiro	a ɣ o j ɾ o̝	14
agra	a ɣ ɾ a̝	11
agre	a ɣ ɾ e̝	16
agro	a ɣ ɾ o̝	24
agromar	a ɣ ɾ o m a ɾ	7
agruñeiro	a ɣ ɾ u ɲ e j ɾ o̝	0
agruño	a ɣ ɾ u ɲ o̝	0
agua	a ɡ w a	58
aguacil	a ɡ w a θ i l	0
aguacil	a ɰ w a s i l	0
agudo	a ɣ u ð o̝	72
aguia	a ɣ j a̝	82
aguillada	a ɡ i ʎ a ð a̝	1
aguillar	a ɣ i ʎ a ɾ	0
aguilloar	a ɣ i ʎ o a ɾ	0
aguillón	a ɡ i ʎ o ŋ	12
aguisar	a ɣ i s a ɾ	0
agulla	a ɣ u ʎ a̝	53
aire	a j ɾ e̝	713
aixada	a j ʃ a ð a̝	0
aixola	a j ʃ ɔ l a̝	0
alabarar	a l a β a ɾ a ɾ	0
alalá	a l a l a	5
albacora	a l β a k ɔ ɾ a̝	0
albar	a l β a ɾ	9
albarda	a l β a ɾ ð a̝	0
albaroque	a l β a ɾ ɔ k e̝	1
albedro	a l β e ð ɾ o̝	0
albergue	a l β ɛ ɾ ɣ e̝	24
albiscar	a l β i s k a ɾ	5
alboio	a l β o j o	1
alboio	a l β ɔ j o	1
albor	a l β o ɾ	6
alborada	a l β o ɾ a ð a̝	10
albó	a l β o̝	0
alcalde	a l k a l ð e̝	649
alcobre	a l k ɔ β ɾ e̝	1
alcouce	a l k o w θ e̝	0
alcrique	a l k ɾ i k e̝	0
alcácer	a l k a s ɛ ɾ	3
aldara	a l d a ɾ a̝	5
aldea	a l d e a̝	384
aldobrén	a l d o β ɾ ɛ ŋ	0
aldraxe	a l ð ɾ a ʃ e̝	3
alemparte	a l ɛ m p a ɾ t e̝	1
alfaiate	a l f a j a t̪ ɪ	1
alfar	a l f a ɾ	2
alfiestra	a l f i ɛ s t ɾ a̝	0
algodón	a l ɣ o ð o ŋ	68
algunha	a l ɣ u ŋ a̝	455
algures	a l ɡ u ɾ e s	3
algún	a l ɣ u ŋ	645
