abone	ɑː b oː n ɛ
aborî	ɑː b oː ɾ iː
aborînas	ɑː b oː ɾ iː n ɑː s
aborînasî	ɑː b oː ɾ iː n ɑː s iː
absans	ɑː b s ɑː n s
adaptasyon	ɑː d ɑː p t ɑː s j oː n
adar	ɑː d ɑː ɾ
ade	ɑː d ɛ
adilî	ɑː d ɪ l iː
adrenalîn	ɑː d ɾ ɛ n ɑː l iː n
afirand	ɑː f ɪ ɾ ɑː n d
afirandibe	ɑː f ɪ ɾ ɑː n d ɪ b ɛ
afirandibim	ɑː f ɪ ɾ ɑː n d ɪ b ɪ m
afirandibin	ɑː f ɪ ɾ ɑː n d ɪ b ɪ n
afirandibî	ɑː f ɪ ɾ ɑː n d ɪ b iː
afirandibû	ɑː f ɪ ɾ ɑː n d ɪ b uː
afirandibûya	ɑː f ɪ ɾ ɑː n d ɪ b uː j ɑː
afirandibûye	ɑː f ɪ ɾ ɑː n d ɪ b uː j ɛ
afirandin	ɑː f ɪ ɾ ɑː n d ɪ n
afirandiye	ɑː f ɪ ɾ ɑː n d ɪ j ɛ
afirmend	ɑː f ɪ ɾ m ɛ n d
afirîner	ɑː f ɪ ɾ iː n ɛ ɾ
afret	ɑː f ɾ ɛ t
afrîkansî	ɑː f ɾ iː k ɑː n s iː
agahî	ɑː ɡ ɑː h iː
agir	ɑː ɡ ɪ ɾ
agirbest	ɑː ɡ ɪ ɾ b ɛ s t
agonîzm	ɑː ɡ oː n iː z m
ahengsazî	ɑː h ɛ ŋ ɡ s ɑː z iː
ajalnasî	ɑː ʒ ɑː l n ɑː s iː
ajanda	ɑː ʒ ɑː n d ɑː
ajans	ɑː ʒ ɑː n s
ajoname	ɑː ʒ oː n ɑː m ɛ
ajotin	ɑː ʒ oː t ɪ n
ajovan	ɑː ʒ oː v ɑː n
akronîm	ɑː k ɾ oː n iː m
aksiyon	ɑː k s ɪ j oː n
aktîvîzm	ɑː k t iː v iː z m
alandibe	ɑː l ɑː n d ɪ b ɛ
alandibim	ɑː l ɑː n d ɪ b ɪ m
alandibin	ɑː l ɑː n d ɪ b ɪ n
alandibî	ɑː l ɑː n d ɪ b iː
alandibû	ɑː l ɑː n d ɪ b uː
alandibûya	ɑː l ɑː n d ɪ b uː j ɑː
alandin	ɑː l ɑː n d ɪ n
alandiye	ɑː l ɑː n d ɪ j ɛ
alanîn	ɑː l ɑː n iː n
alegorî	ɑː l ɛ ɡ oː ɾ iː
alek	ɑː l ɛ k
almanî	ɑː l m ɑː n iː
alternatîv	ɑː l t ɛ ɾ n ɑː t iː v
alîgir	ɑː l iː ɡ ɪ ɾ
alîkar	ɑː l iː k ɑː ɾ
alîkarî	ɑː l iː k ɑː ɾ iː
alîstin	ɑː l iː s t ɪ n
amade	ɑː m ɑː d ɛ
amadekarî	ɑː m ɑː d ɛ k ɑː ɾ iː
ambasad	ɑː m b ɑː s ɑː d
ambûlans	ɑː m b uː l ɑː n s
amerîka	ɑː m ɛ ɾ iː k ɑː
amfetamîn	ɑː m f ɛ t ɑː m iː n
amûr	ɑː m uː ɾ
analojî	ɑː n ɑː l oː ʒ iː
anatoksîn	ɑː n ɑː t oː k s iː n
anatomî	ɑː n ɑː t oː m iː
androlojî	ɑː n d ɾ oː l oː ʒ iː
androtomî	ɑː n d ɾ oː t oː m iː
antagonîzm	ɑː n t ɑː ɡ oː n iː z m
antonîm	ɑː n t oː n iː m
antrenor	ɑː n t ɾ ɛ n oː ɾ
antîhîstamîn	ɑː n t iː h iː s t ɑː m iː n
anîlîn	ɑː n iː l iː n
anîmasyon	ɑː n iː m ɑː s j oː n
anîn	ɑː n iː n
aram	ɑː ɾ ɑː m
ardî	ɑː ɾ d iː
arjîn	ɑː ɾ ʒ iː n
arkeolojî	ɑː ɾ k ɛ oː l oː ʒ iː
armanc	ɑː ɾ m ɑː n d͡ʒ
armanc	ɑː ɾ m ɑː n d͡ʒ
artêş	ɑː ɾ t eː ʃ
