*abanteō	a b a n̪ t̪ e oː
*abanteō	a β a n tʲ o
*abbatuō	a b b a tʷ o
*abbatuō	a b b a t̪ ʊ oː
*abbatō	a b b a d o
*abbatō	a b b a t̪ oː
*abbiberō	a b b e β e r o
*abbiberō	a b b ɪ b ɛ r oː
*absedium	a p s ɛ dʲ o õ
*absedium	a p s ɛ d̪ i ʊ̃ˑ
*absediī	a p s ɛ d̪ i iː
*absediī	a p s ɛ ð e i
*abyssimus	a b ʏ s s ɪ m ʊ s
*abyssimus	a β e s s e m o s
*accaptiō	a k k a p tʲ o
*accaptiō	a k k a p t̪ i oː
*accaptō	a k k a p t o
*accaptō	a k k a p t̪ oː
*accapō	a k k a b o
*accognitō	a k k ɔ ŋ n̪ ɪ t̪ oː
*accognitō	a k k ɔ ɡ n e d o
*accolligō	a k k ɔ l l e ɣ o
*accolligō	a k k ɔ l lʲ ɪ ɡ oː
*accollō	a k k ɔ l l o
*accollō	a k k ɔ l lʲ oː
*accomplēscō	a k k o m p l e s k o
*accomplēscō	a k k ɔ m p l eː s k oː
*accomplīre	a k k o m p l i r e
*accomplīre	a k k ɔ m p lʲ iː r ɛ
*accordāre	a k k o r d a r e
*accordāre	a k k ɔ r d̪ aː r ɛ
*accordō	a k k ɔ r d o
*accordō	a k k ɔ r d̪ oː
*accum	a k k õ
*accum	a k k ʊ̃ˑ
*acquaeriō	a k kʷ e rʲ o
*acquaerīre	a k kʷ a e̯ r iː r ɛ
*acquaerīre	a k kʷ e r i r e
*acūcla	a k uː k ɫ̪ a
*acūcla	a ɡ u k l a
*acūclae	a k uː k ɫ̪ a e̯
*acūclae	a ɡ u k l e
*acūtiāre	a k uː t̪ i aː r ɛ
*acūtiāre	a ɡ u tʲ a r e
*acūtiō	a k uː t̪ i oː
*acūtiō	a ɡ u tʲ o
*adbassiāre	a d β a s sʲ a r e
*adbassiāre	a d̪ b a s s i aː r ɛ
*adbassiō	a b b a s sʲ o
*adbellēscō	a d β e l l e s k o
*adbellēscō	a d̪ b ɛ l lʲ eː s k oː
*adbracchiō	a d β r a k kʰʲ o
*adbracchiō	a d̪ b r a k kʰ i oː
*adiuxtāre	a d j o s t a r e
*adiuxtāre	a d̪ j ʊ k s t̪ aː r ɛ
*adiuxtō	a d j o s t o
*adiuxtō	a d̪ j ʊ k s t̪ oː
*admināciāre	a d m e n a kʲ a r e
*admināciāre	a d̪ m ɪ n̪ aː k i aː r ɛ
*admināciō	a d m e n a kʲ o
*admināciō	a d̪ m ɪ n̪ aː k i oː
*admortēscō	a d m o r t e s k o
*admortēscō	a d̪ m ɔ r t̪ eː s k oː
*admortīre	a d m o r t i r e
*admortīre	a d̪ m ɔ r t̪ iː r ɛ
*adnecāre	a d n e ɡ a r e
*adnecāre	a d̪ n̪ ɛ k aː r ɛ
*adnecātu	a d n e ɡ a d u
*adnecātu	a d̪ n̪ ɛ k aː t̪ ʊ
*adnecāī	a d n e ɡ a i
*adnecāī	a d̪ n̪ ɛ k aː iː
*adnecō	a d n e ɡ o
*adnecō	a d̪ n̪ ɛ k oː
*adoclāre	a d̪ ɔ k ɫ̪ aː r ɛ
*adoclāre	a ð o k l a r e
*adoclō	a d̪ ɔ k ɫ̪ oː
*adoclō	a ð o k l o
*adpressum	a p p r ɛ s s õ
*adpressum	a p p r ɛ s s ʊ̃ˑ
*adpācāre	a t p a ɡ a r e
*adpācāre	a t̪ p aː k aː r ɛ
*adventūra	a d β e n t u r a
*adventūra	a d̪ w ɛ n̪ t̪ uː r a
*advitiāre	a d β e tʲ a r e
*advitiāre	a d̪ w ɪ t̪ i aː r ɛ
*advitiō	a d β e tʲ o
*advitiō	a d̪ w ɪ t̪ i oː
*advērāre	a d β e r a r e
*advērāre	a d̪ w eː r aː r ɛ
*advērō	a d β e r o
*advērō	a d̪ w eː r oː
*aetāticum	a e̯ t̪ aː t̪ ɪ k ʊ̃ˑ
*aetāticum	e d a d e ɡ õ
*aetāticī	a e̯ t̪ aː t̪ ɪ k iː
*aetāticī	e d a d e ɡ i
*affundāre	a f f o n d a r e
*affundāre	a f f ʊ n̪ d̪ aː r ɛ
*affundō	a f f o n d o
*affundō	a f f ʊ n̪ d̪ oː
*affūmāre	a f f u m a r e
*affūmāre	a f f uː m aː r ɛ
*affūmō	a f f u m o
*agēscō	a ɣ e s k o
*aiūnus	a j j u n o s
*aiūnus	a j j uː n̪ ʊ s
*alemosynē	a l e m ɔ s e n e
*alemosynē	a l ɛ m ɔ s ʏ n̪ eː
*alicūnus	a l e ɡ u n o s
*alicūnus	a lʲ ɪ k uː n̪ ʊ s
*alima	a l e m a
*alima	a lʲ ɪ m a
*alisna	a l e s n a
*alisna	a lʲ ɪ s n̪ a
*allactāre	a l l a k t a r e
*allactāre	a l lʲ a k t̪ aː r ɛ
*allactō	a l l a k t o
*allactō	a l lʲ a k t̪ oː
*allō	a l l o
*allō	a l lʲ oː
*allūmināre	a l l u m e n a r e
*allūmināre	a l lʲ uː m ɪ n̪ aː r ɛ
*allūminō	a l l u m e n o
*allūminō	a l lʲ uː m ɪ n̪ oː
*altiāre	a l tʲ a r e
*altiāre	a ɫ̪ t̪ i aː r ɛ
*altiō	a l tʲ o
*altiō	a ɫ̪ t̪ i oː
*alēmosyna	a l e m ɔ s e n a
*alēmosyna	a l eː m ɔ s ʏ n̪ a
*ambitō	a m b ɪ t̪ oː
*ambitō	a m β e d o
*ambosta	a m b ɔ s t̪ a
*amicitātis	a m e ɡ e d a d e s
*amicitātis	a m ɪ k ɪ t̪ aː t̪ ɪ s
*amāricus	a m a r e ɡ o s
*amāricus	a m aː r ɪ k ʊ s
*amīcitās	a m i ɡ e d a s
*amīcitās	a m iː k ɪ t̪ aː s
*anteānus	a n tʲ a n o s
*anteānus	a n̪ t̪ e aː n̪ ʊ s
*apicla	a b e k l a
*apicla	a p ɪ k ɫ̪ a
*appariculāre	a p p a r e ɡ o l a r e
*appariculāre	a p p a r ɪ k ʊ ɫ̪ aː r ɛ
*appariculō	a p p a r e ɡ o l o
