aa	ɐ aː	73
aa	ɐ ɐ	73
abatas	ɐ b aː t ɐ s	16
abatija	ɐ b aː tʲ ɪ j ɐ	7
abatijai	ɐ b aː tʲ ɪ j ɐ ɪ̯	0
abatijas	ɐ b aː tʲ ɪ j ɐ s	1
abatijos	ɐ b aː tʲ ɪ j oː s	9
abatė	ɐ b aː tʲ eː	0
abažūras	ɐ b ɐ ʒ uː r ɐ s	0
abchazas	ɐ p x aː z ɐ s	0
abchazija	ɐ p x aː z ɪ j ɐ	3
abchazijai	ɐ p x aː z ɪ j ɐ ɪ̯	1
abchazijoje	ɐ p x aː z ɪ j oː j ɛ	6
abchazijos	ɐ p x aː z ɪ j oː s	12
abchaziją	ɐ p x aː z ɪ j aː	4
abchazė	ɐ p x aː zʲ eː	0
abejaip	ɐ bʲ ɛ j ɐ ɪ̯ ˑ p	1
abu	ɐ b ʊ	1514
abėcėlė	ɐ bʲ eː t͡sʲ eː lʲ eː	30
aidas	a ɪ d ɐ s	191
aidas	ɐ ɪ d ɐ s	191
aikštė	ɐ ɪ k ɕ tʲ eː	180
aiškus	a͡ɪ ʂ k ʊ s	244
aiškus	ɐ͡ɪ ʂ k ʊ s	244
aklavietė	a k ɫ ɑː vʲ ɪ ɛ tʲ eː	4
amerika	ɐ mʲ ɛ rʲ ɪ k ɐ	133
ankštas	ɐ ŋ k ʃ t ɐ s	3
apsišaukėlis	a p sʲ ɪ ʃ a u ˑ kʲ eː lʲ ɪ s	3
apuokas	ɐ p u ə k ɐ s	7
apynys	ɐ pʲ iː nʲ ǐː s	5
apyvarta	a pʲ iː v a r t a	217
aras	ǎː r ɐ s̪	32
arklas	a r k l ɐ s	4
arkliukas	ɐ r k lʲ ʊ k ɐ s	33
arklys	ɐ r k lʲ iː s	75
armuo	a r m u ə	0
arti	a r tʲ ɪ	567
arti	ɐ r tʲ ɪ	567
atnešti	a t nʲ ɛ ʃʲ tʲ ɪ	159
atsiprašau	ɐ t s ɪ p r ɐ ʃ ɔ w	150
auka	a u ˑ k a	439
auksas	a͡ʊ k s ɐ s	112
aumuo	ɐ ʊ m ʊ ɔ	0
aviža	a vʲ ɪ ʒ a	0
aviža	ɑː vʲ ɪ ʒ a	0
aš	ɐ ʂ	13982
barnis	b ɐ r nʲ ɪ s	4
bernelis	bʲ ɛ r nʲ æ̌ː lʲ ɪ s	3
bet	bʲ ɛ t	52344
botagas	b oː t ɑː ɡ a s	9
brakonierius	b r a k oː nʲ ɪ æː rʲ u s	20
brakonierius	b r a k oː nʲ ɪ ɛ rʲ u s	20
brasta	b r a s t a	12
brasta	b r ɑː s t a	12
braškė	b r ɑː ʃ kʲ eː	3
brinkti	bʲ rʲ ɪ ŋ kʲ tʲ ɪ	4
bruožas	b r u ɔ ʒ a s	177
buksyras	b ʊ kʲ sʲ ǐː r ɐ s	1
bėgti	bʲ eː k tʲ ɪ	236
daboklė	d a b oː k lʲ eː	1
dagilis	d a ɡʲ ɪ lʲ ɪ s	9
dangus	d ɐ ŋ ɡ ʊ s	270
dar	d a r	33728
dažai	d ɐ ʐ ɐ ɪ	248
degti	dʲ ɛ k tʲ ɪ	48
deja	d ɛ j ɐ	2374
delnas	d ɛ l n ɐ s	17
delno	d ɛ l n oː	76
delčia	d ɛ l t͡ʃ ɛ	3
denis	dʲ æː nʲ ɪ s	34
dialogas	dʲ i ɐ l o ɡ ɐ s	205
dialogo	dʲ i ɐ l o ɡ o	204
diemedis	dʲ ɪ ə mʲ ɛ dʲ ɪ s	7
diena	dʲ i ə n ɐ	4062
dievas	d ɪ͡ə ʋ ɐ s	3503
dieveris	dʲ ɪ ɛ vʲ ɛ rʲ ɪ s	0
dingo	dʲ ɪ ŋ ɡ oː	363
dingti	dʲ ɪ ŋ k tʲ ɪ	45
dirva	dʲ ɪ r v ɐ	77
dobti	d ôː pʲ tʲ ɪ	1
dovana	d oː v ɐ n ɐ	979
dovana	d ôː v ɐ n ɐ	979
driskius	d rʲ ɪ s kʲ u s	2
drybsoti	d rʲ ɪ ˑ p s oː tʲ ɪ	3
dukra	d u k r a	475
dušas	d u ʃ a s	91
dėti	dʲ eː tʲ ɪ	496
estafetė	ɛ s t a fʲ ɛ tʲ eː	6
ešerys	ɛ ʃʲ ɛ rʲ iː s	19
gaižus	ɡ a ɪ ʒ u s	1
galabyti	ɡ ɐ ɫ ä̌ː bʲ iː tʲ ɪ	0
gedėti	ɡʲ ɛ dʲ eː tʲ ɪ	10
geluonis	ɡʲ æː l u ɔ nʲ ɪ s	9
geluonis	ɡʲ ɛ l u ɔ nʲ ɪ s	9
gera	ɡʲ ɛ r a	2574
geras	ɡʲ æ ɾ ɐ s	2287
gesti	ɡʲ ɛ sʲ tʲ ɪ	19
giedra	ɡʲ ɪ æː d r a	40
giedra	ɡʲ ɪ ɛ d r a	40
gimti	ɡ ɪ m t ɪ	118
gimti	ɡʲ ɪ mʲ tʲ ɪ	118
gižti	ɡʲ ɪ ʃʲ tʲ ɪ	0
glamonėti	ɡ ɫ ɐ m oː nʲ êː tʲ ɪ	5
gluosnis	ɡ ɫ u ɔ sʲ nʲ ɪ s	7
gobti	ɡ oː pʲ tʲ ɪ	0
grafa	ɡ r a f a	0
griežlė	ɡ r i e ʒ l eː	2
gurklys	ɡ ʊ r k l ǐː s	2
gėda	ɡʲ eː d a	234
hidratas	h ɪ d r aː t ɐ s	2
i	ɪ	4435
inkstas	ɪ ŋ k s t a s	18
išlepėlis	ɪ ʃ lʲ æː pʲ eː lʲ ɪ s	0
išprotėti	ɪ ʃ p r oː tʲ eː tʲ ɪ	8
išsigimėlis	ɪ ʃ sʲ ɪ ɡʲ ɪ mʲ eː lʲ ɪ s	1
išsižiojėlis	ɪ ʃ sʲ ɪ ʒʲ oː j eː lʲ ɪ s	0
jazminas	j ɛ zʲ mʲ ɪ n a s	10
jie	j æ	20989
jis	j ɪ s	33620
jos	j oː s	22176
juodas	j û ə d ɐ s	234
kablys	k ɐ b lʲ iː s	22
kada	k ɐ d ɐ	4307
kai	k ɐ ɪ	33932
kai	k ɐ ɪ ˑ	33932
kailiniai	k a ɪ lʲ ɪ nʲ e ɪ ˑ	11
kaina	k a j n ɐ	3925
kaip	k a ɪ ˑ p	71395
kalk	k a l k	0
kalti	k a lʲ tʲ ɪ	200
kalė	k ɐ lʲ eː	36
kalė	k ɑː lʲ eː	36
kampas	k ɐ m p ɐ s	115
kankinti	k ɐ ŋ kʲ ɪ n tʲ ɪ	50
karklas	k a r ˑ k ɫ a s	2
karūna	k a r uː n a	44
kekše	kʲ æː k ʃʲ ɛ	5
kekše	kʲ ɛ k ʃʲ ɛ	5
kekšė	kʲ æː k ʃʲ eː	5
kelis	kʲ æ̌ː lʲ ɪ s	2230
kenkti	kʲ ɛ ŋ kʲ tʲ ɪ	38
kerėpla	kʲ ɛ rʲ eː p ɫ a	2
kiemas	kʲ i ə m ɐ s	146
kirvis	k ɪ r v ɪ s	19
klaidingas	k l ɐ ɪ̯ ˑ dʲ ɪ n ɡ ɐ s	90
klėtis	kʲ lʲ êː tʲ ɪ s	11
knygnešys	kʲ nʲ iː ɡʲ nʲ ɛ ʃʲ iː s	23
kol	k oː l	6928
krioklys	k rʲ oː k lʲ iː s	21
kryžius	k r iː ʒ j u s	232
kunigas	k ʊ nʲ ɪ ɡ ɐ s	1044
laikas	l ɐ͡ɪ k ɐ s	3739
laikyti	ɫ a ɪ kʲ iː tʲ ɪ	1502
lapė	l aː pʲ eː	46
laukas	l ɒ ʊ k ɐ s	158
liesas	l î ə s ɐ s	23
lietuva	l i ɛ t u v ɑ	4393
liga	lʲ ɪ ɡ ɐ	1790
linija	lʲ ɪ nʲ ɪ j ɛ	639
linkėjimas	lʲ ɪ ŋ kʲ eː j ɪ m a s	16
loti	ɫ oː tʲ ɪ	10
lova	l oː ʋ ɐ	193
lydeka	lʲ iː dʲ æː k ɑ	55
lydeka	lʲ iː dʲ ɛ k a	55
lyti	lʲ iː tʲ ɪ	22
lėšos	lʲ eː ʃ oː s	655
maišyti	m a ɪ ʃʲ iː tʲ ɪ	119
makleris	m ɑː k lʲ ɛ rʲ ɪ s	3
malti	m a l t ɪ	25
mano	m ɐ n ɔ	13888
markas	m a r k a s	84
melas	mʲ æː ɫ a s	153
menas	mʲ æː n a s	865
menkas	mʲ ɛ ŋ k ɐ s	107
mes	mʲ æː s	13341
miežis	mʲ ɪ æː ʒʲ ɪ s	15
migdyti	mʲ ɪ ɡ dʲ iː tʲ ɪ	11
migla	mʲ ɪ ɡ ɫ a	25
miksėti	mʲ ɪ kʲ sʲ êː tʲ ɪ	0
minti	mʲ ɪ nʲ tʲ ɪ	61
mokslas	m oː k s ɫ a s	630
namas	n aː m ɐ s	904
narvas	n ɐ r v ɐ s	18
