а	a
и	i
ѝ	i
у	u
ц	ǀ
би	b i
да	d aː
ич	i t͡ʃ
ја	j a
ко	k ɔ
па	pʰ a
во	u
во	v ɔ
ем	ɛ m
го	ɡ ɔ
еж	ɛ ʃ
аба	a b a
ако	a k ɔ
ама	a m a
ала	a ɫ a
баш	b a ʃ
бои	b ɔ i
бог	b ɔ k
ќос	c ɔ s
ѕид	d͡z i t
џип	d͡ʒ i p
џем	d͡ʒ ɛ m
или	i l i
јаз	j a s
јас	j a s
јад	j a t
јок	j ɔ k
јон	j ɔ n
јер	j ɛ r
коа	k ɔ a
код	k ɔ t
наш	n a ʃ
роб	r ɔ p
’рж	r̩ ʃ
сот	s ɔ t
том	t ɔ m
чим	t͡ʃ i m
ваш	v a ʃ
вие	v i j ɛ
век	v ɛ k
вон	v ɔ n
вез	v ɛ s
хит	x i t
зев	z ɛ f
жиг	ʒ i k
грб	ɡ r̩ p
ѓум	ɟ u m
ѓоа	ɟ ɔ a
гои	ɡ ɔ i
лом	ɫ ɔ m
ѓон	ɟ ɔ n
шот	ʃ ɔ t
еже	ɛ ʒ ɛ
ццц	ǀ ǀ ǀ
ајде	a j d ɛ
акал	a k a ɫ
аман	a m a n
амин	a m i n
алат	a ɫ a t
баба	b a b a
бран	b r a n
брои	b r ɔ i
брод	b r ɔ t
брош	b r ɔ ʃ
бргу	b r̩ ɡ u
беља	b ɛ l a
блуз	b ɫ u s
блуе	b ɫ u ɛ
дали	d a l i
дата	d a t a
дума	d u m a
дува	d u v a
дури	d u ɾ i
дваж	d v a ʃ
дека	d ɛ k a
доле	d ɔ l ɛ
дома	d ɔ m a
дени	d ɛ n i
дете	d ɛ t ɛ
дожд	d ɔ ʃ t
долу	d ɔ ɫ u
дење	d ɛ ɲ ɛ
ѕида	d͡z i d a
ѕури	d͡z u ɾ i
ѕвек	d͡z v ɛ k
ѕвер	d͡z v ɛ r
џабе	d͡ʒ a b ɛ
впие	f p i j ɛ
иако	i j a k ɔ
ишка	i ʃ k a
ишне	i ʃ n ɛ
јаде	j a d ɛ
јава	j a v a
јави	j a v i
јаве	j a v ɛ
јаже	j a ʒ ɛ
како	k a k ɔ
камо	k a m ɔ
кара	k a ɾ a
клен	k l ɛ n
клер	k l ɛ r
крај	k r a j
крап	k r a p
крои	k r ɔ i
крој	k r ɔ j
куре	k u ɾ ɛ
лема	l ɛ m a
лете	l ɛ t ɛ
маса	m a s a
