aaet	ɑ e tˠ
aaet	ɑː e tˠ
aba	ɑ bˠ ɑ
abba	ɑ p pˠ ɑ
abbain	ɑ p pˠ ɑ ɯ nʲ
abōļ	ɑ bˠ ʌ lˠ
abōļin	ɑ bˠ ʌ lˠ i nʲ
addi	ɑ r rʲ i
aej	ɑ e tʲ
aejin	ɑ e zʲ i nʲ
aejkudiim	ɑ e zʲ u ɡʷ u rʲ iː mʲ
aejkudiimin	ɑ e zʲ u ɡʷ u rʲ iː mʲ i nʲ
aejkudiim̧	ɑ e zʲ u ɡʷ u rʲ iː mˠ
aejkudiim̧in	ɑ e zʲ u ɡʷ u rʲ iː mˠ i nʲ
aelok	ɑ e lʲ o kʷ
aelōn̄	ɑ e lʲ ɤ ŋ
aelōn̄in	ɑ e lʲ ɤ ŋ i nʲ
aelōn̄inae	ɑ e lʲ ɤ ŋ i nʲ ɑː ɛ
aelōn̄ļapļap	ɑ e lʲ ɤ ŋ ɤ lˠ ɑ bʲ ɛ lˠ ɑ pʲ
aen	ɑ ɛ nʲ
aet	ɑ e tˠ
aet	ɑː e tˠ
aij	ɑ i tʲ
aijin	ɑ i zʲ i nʲ
aijkudiim	ɑ i zʲ u ɡʷ u rʲ iː mʲ
aijkudiimin	ɑ i zʲ u ɡʷ u rʲ iː mʲ i nʲ
aijkudiim̧	ɑ i zʲ u ɡʷ u rʲ iː mˠ
aijkudiim̧in	ɑ i zʲ u ɡʷ u rʲ iː mˠ i nʲ
aj	ɑ tʲ
aje	ɑ zʲ e
ajein	ɑ zʲ e i nʲ
akwāāl	ɑ ɡʷ æ æ lʲ
akwāāl	ɑ ɡʷ æː lʲ
allōn̄	ɑ l lʲ ɤ ŋ
amedka	ɑ mʲ ɛ rʲ ɛ ɡ ɑ
am̧bo	ɑ m bˠ o
anij	ɑ nʲ i tʲ
an̄	ɑ ŋ
aolep	ɑ ɔ lʲ ɛ pʲ
aoļōt	ɑ o lˠ ɤ tˠ
arņo	ɑ n nˠ ɔ
atļaņtiik	ɑ dˠ ʌ lˠ ɑ n dˠ iː k
aujpitōļ	ɑ u zʲ i bʲ i dˠ ʌ lˠ
aujtōrōlia	ɑ u t tˠ ʌ rˠ ʌ lʲ i ɑ
aur	ɑ u rˠ
awai	ɑ w ɑː i
aļ	ɑ lˠ
aļajka	ɑ lˠ ɑ zʲ ɛ ɡ ɑ
aļap	ɑ lˠ ɑ pʲ
aļaļ	ɑ lˠ ɑː lˠ
aļbapeet	ɑ lˠ ʌ bˠ ɑː bʲ ɛː tˠ
baajikōļ	pˠ ɑ ɑ zʲ i ɡ ʌ lˠ
baajikōļ	pˠ ɑː zʲ i ɡ ʌ lˠ
baajkōļ	pˠ ɑː zʲ ɛ ɡ ʌ lˠ
baam̧	pˠ ɑ ɑ mˠ
baam̧	pˠ ɑː mˠ
baam̧in	pˠ ɑ ɑ mˠ i nʲ
baam̧in	pˠ ɑː mˠ i nʲ
baam̧le	pˠ ɑː mˠ ɤ lʲ e
baan̄ke	pˠ ɑː ŋ ɡ e
baba	pˠ ɑː bˠ ɑ
babbūb	pˠ ɑ p pˠ ɯ pˠ
bae	pˠ ɑː ɛ
baeoliin	pˠ ɑː ɛ̯ ɔː lʲ iː nʲ
baeoliinin	pˠ ɑː ɛ̯ ɔː lʲ iː nʲ i nʲ
baeļ	pˠ ɑː ɛ lˠ
baibōļ	pˠ ɑː i bˠ ʌ lˠ
baijin	pˠ ɑː i zʲ i nʲ
baiklaaj	pˠ ɑː i ɡ i lʲ ɑː tʲ
baiļat	pˠ ɑː i lˠ ɑ tˠ
bajinjea	pˠ ɑː zʲ i n zʲ ɛ ɑ
bajjipiik	pˠ ɑ t tʲ iː bʲ iː k
bajjipik	pˠ ɑ t tʲ iː bʲ i k
bao	pˠ ɑː ɔ
barulep	pˠ ɑ rˠ uː lʲ ɛ pʲ
bata	pˠ ɑː dˠ ɑ
baļebo̧o̧ļ	pˠ ɑː lˠ eː bˠ ɒː lˠ
baļuun	pˠ ɑ lˠ u u nʲ
baļuun	pˠ ɑ lˠ uː nʲ
baļwūn	pˠ ɑ lˠ u w ɯ nʲ
boea	pˠ ɔː ɛ̯ ɑ
bojin	pˠ oː zʲ i nʲ
bok	pˠ o kʷ
bok	pˠ ɔ kʷ
bokaak	pˠ ɔ ɡʷ ɑː k
bon̄	pˠ o ŋʷ
boonpe	pˠ oː nʲ e bʲ e
boraan̄	pˠ oː rˠ ɑː ŋ
bou	pˠ o u
boub	pˠ o u pˠ
bouk	pˠ o u k
bo̧kutan̄	pˠ ɒ ɡʷ u dˠ ɑ ŋ
bujeen̄	pˠ uː zʲ ɛː ŋ
bujentōm̧a	pˠ uː zʲ ɛ n dˠ ʌ mˠ ɑ
bukun	pˠ u ɡʷ u nʲ
bukwabok	pˠ u ɡʷ ɑ bˠ ɔ kʷ
bukwi	pˠ u ɡʷ i
buoj	pˠ u o tʲ
buum̧	pˠ u u mˠ
buum̧	pˠ uː mˠ
buwae	pˠ u w ɑː e
buwaj	pˠ u w ɑ tʲ
bwe	pˠ e
bwe	pˠ ɛ
bwiin	pˠ i i nʲ
bwiin	pˠ iː nʲ
bwij	pˠ i tʲ
bwijuwe	pˠ i zʲ uː w e
bwilijmāāņ	pˠ i lʲ i zʲ i mʲ æː nˠ
bwiro	pˠ iː rˠ o
bāibōļ	pˠ æ i bˠ ʌ lˠ
bōjin	pˠ ɤː zʲ i nʲ
bōkāro	pˠ ʌ ɡ æː rˠ ɔ
bōraide	pˠ ʌ rˠ ɑː i rʲ ɛ
bōta	pˠ ʌ dˠ ɑ
bōļaide	pˠ ʌ lˠ ɑː i rʲ ɛ
bōļao	pˠ ʌ lˠ ɑː ɔ
bōļau	pˠ ʌ lˠ ɑː u
bōļeak	pˠ ʌ lˠ ɛ̯ ɑ k
bōļāāk	pˠ ʌ lˠ æ æ k
bōļāāk	pˠ ʌ lˠ æː k
būranij	pˠ ɯ rˠ ɑː nʲ i tʲ
būrawūn	pˠ ɯ rˠ ɑː w ɯ nʲ
būreej	pˠ ɯ rˠ ɛ ɛ tʲ
būreej	pˠ ɯ rˠ ɛː tʲ
būrotijen	pˠ ɯ rˠ ɔː dˠ iː zʲ ɛ nʲ
būro̧k	pˠ ɯ rˠ ɒ kʷ
būrōrō	pˠ ɯ rˠ ʌː rˠ ʌ
būton̄	pˠ ɯ dˠ ɔ ŋʷ
būton̄in	pˠ ɯ dˠ ɔ ŋʷ ɯ nʲ
būton̄ton̄	pˠ ɯ dˠ ɔ ŋʷ ɔ dˠ ɔ ŋʷ
būļajtiik	pˠ ɯ lˠ ɑ t tˠ iː k
būļan̄kōj	pˠ ɯ lˠ ɑ ŋ ɡ ʌ tʲ
būļu	pˠ ɯ lˠ u
būļāide	pˠ ɯ lˠ æ i rʲ ɛ
būļāwūt	pˠ ɯ lˠ æː w ɯ tˠ
da	rʲ ɑ
dak	rʲ ɑ k
debweiu	rʲ ɛ bˠ e i̯ u
deo̧	rʲ ɛ ɒ
diaka	rʲ i æ ɡ ɑ
diin̄ko	rʲ iː ŋ ɡ o
dik	rʲ i k
ditōb	rʲ i dˠ ɤ pˠ
diwōj	rʲ iː w ɤ tʲ
duoj	rʲ u o tʲ
dān	rʲ æ nʲ
dānnin	rʲ æ n nʲ i nʲ
dāp	rʲ æ pʲ
eakeak	æ ɡ ɛ̯ ɑ k
eakeake	æ ɡ æː ɡ ɛ
eakto	æ ɡ ɤ dˠ o
eaktuwe	æ ɡ ɯ dˠ u w ɛ
ean̄	ɛ̯ ɑ ŋ
ean̄in	æ ŋ i nʲ
eaļ	ɛ̯ ɑ lˠ
ebeje	ɛ bʲ ɛ zʲ æ
