aba	a b a	6
aba	a b ə	6
abah	a b a h	19
abakus	a b a k o s	0
abakus	a b a k ʊ s	0
abang	a b a ŋ	342
abdomen	a b d o m ə n	28
abduktor	a b d u k t o r	0
abiad	a b i a t	0
abjad	a b d͡ʒ a t	5
abomasum	a b o m a s u m	0
absorptif	a p s ɔ r p t e f	0
absorptif	a p s ɔ r p t ɪ f	0
abu	a b u	1115
abyad	a b i a t	4
abyad	a b j a t	4
acara	a t͡ʃ a r a	2112
acara	a t͡ʃ a r ə	2112
aceh	a t͡ʃ e h	201
acuan	a t͡ʃ u a n	95
ada	a d a	15061
ada	a d ə	15061
adalah	a d a l a h	19392
adalah	a d ə l a h	19392
adat	a d a t	406
adelfogami	a d e l f o ɡ a m i	0
adem	a d ə m	0
adi	a d i	82
adik	a d e ʔ	294
adik	a d ɪ ʔ	294
adil	a d e l	380
adil	a d ɪ l	380
adinda	a d i n d a	22
adinda	a d i n d ə	22
ading	a d e ŋ	0
ading	a d ɪ ŋ	0
adoi	a d o i̯	0
adoi	a d ʊ i̯	0
aduh	a d o h	3
aduh	a d ʊ h	3
aduktor	a d u k t o r	0
aerologi	e r o l o ɡ i	0
afrika	a f r i k a	402
afrika	a f r i k ə	402
afrikaans	a f r i k a n s	0
agak	a ɡ a ʔ	1628
agama	a ɡ a m a	2753
agama	a ɡ a m ə	2753
agar	a ɡ a r	2875
agas	a ɡ a s	4
agus	a ɡ o s	9
agus	a ɡ ʊ s	9
ahad	a h a t	701
ahmak	a h m a c	0
aikido	a i k i d o	0
ain	a e n	91
ain	a ɪ n	91
ainu	a i̯ n u	1
air	a e r	6029
air	a ɪ r	6029
ais	a e s	180
ais	a ɪ s	180
ajaib	a d͡ʒ a e p	34
ajaib	a d͡ʒ a ɪ p	34
ajak	a d͡ʒ a ʔ	25
akak	a k a ʔ	6
akan	a k a n	30672
akang	a k a ŋ	0
akar	a k a r	334
aklan	a k l a n	0
akromion	a k r o m i o n	0
aksi	a k s i	1300
akta	a k t ɐ	1399
aktif	a k t e f	804
aktif	a k t ɪ f	804
aku	a k u	465
albania	a l b a n i a	24
albania	a l b a n i ə	24
alfabet	a l f a b e t	0
alih	a l e h	557
alih	a l ɪ h	557
alir	a l e r	3
alir	a l ɪ r	3
allah	a l l a h	3721
alpa	a l p a	29
alpa	a l p ə	29
alu	a l u	4
aluminium	a l u m i n i o m	43
alur	a l o r	24
alur	a l ʊ r	24
aman	a m a n	793
ambang	a m b a ŋ	56
ampat	a m p a t	13
amuk	a m o ʔ	9
amuk	a m ʊ ʔ	9
ana	a n a	32
ana	a n ə	32
anak	a n a ʔ	5762
anam	a n a m	38
anda	a n d a	2070
aneh	a n e h	113
aneh	a n ɪ h	113
anggap	a ŋ ɡ a p	140
angin	a ŋ e n	595
angin	a ŋ ɪ n	595
angka	a ŋ k a	387
angka	a ŋ k ə	387
angkat	a ŋ k a t	304
angsa	a ŋ s a	5
angsa	a ŋ s ə	5
anoa	a n o a	2
anoa	a n o ə	2
antarabangsa	a n t a r a b a ŋ s a	3278
antarabangsa	a n t a r a b a ŋ s ə	3278
antelop	a n t ə l o p	1
anu	a n u	23
anugerah	a n u ɡ ə r a h	1519
apa	a p a	5532
apa	a p ə	5532
apabila	a p a b i l a	9575
apabila	a p ə b i l ə	9575
ara	a r a	40
ara	a r ə	40
arab	a r a p	1333
arah	a r a h	1491
arau	a r a u̯	82
arbaa	a r b a ʔ a	0
arbaa	a r b a ʔ ə	0
ardi	a r d i	1
ardvark	a r t v a r k	0
argon	a r ɡ ɔ n	0
ari	a r i	9
arkib	a r k e p	47
arkib	a r k ɪ p	47
armadillo	a r m a d i l o	1
armenia	a r m e n i a	10
armenia	a r m e n i ə	10
arnab	a r n a p	74
arus	a r o s	385
arus	a r ʊ s	385
asa	a s a	194
asa	a s ə	194
asap	a s a p	198
asin	a s e n	1
asin	a s ɪ n	1
asing	a s e ŋ	2222
asing	a s ɪ ŋ	2222
asta	a s t ə	0
astă	a s t ə	0
atap	a t a p	42
atas	a t a s	6582
atau	a t a u̯	16376
atom	a t o m	22
atuk	a t o ʔ	4
atuk	a t ʊ ʔ	4
atur	a t o r	57
atur	a t ʊ r	57
aur	a o r	10
aur	a ʊ r	10
australia	a u̯ s t r a l i a	1067
australia	a u̯ s t r a l i ə	1067
automatik	a u̯ t o m a t e k	225
automatik	a u̯ t o m a t ɪ k	225
awak	a w a ʔ	59
awan	a w a n	140
aya	a j ə	0
ayah	a j a h	302
ayahanda	a j a h a n d a	23
ayahanda	a j a h a n d ə	23
ayam	a j a m	571
ayan	a j a n	1
ayu	a j u	53
ayuk	a j o ʔ	0
ayuk	a j ʊ ʔ	0
