a	ä	742
a	e	742
a	ɐ	742
a	ə	742
abad	a b a t	272
abaka	a b a k ə	0
abalone	a b a l o n e	0
akhdar	a x d a r	0
aktinium	a k t i n i o m	0
aktinium	a k t i n i ə m	0
aktinium	ɛ k t i n i ə m	0
allah	a ɫ ɫ a h	3721
allah	ɔ ɫ ɫ ɔ h	3721
amerisium	a m ɛ r i s i o m	0
amerisium	a m ɛ r i s i ə m	0
amerisium	ə m ɛ r i s i ə m	0
anjing	a n d͡ʒ e ŋ	150
antimoni	a n t i m o n i	0
antimoni	ɛ n t i m o n i	0
antologi	a n t o l o ɡ i	18
antologi	ɛ n t ɔ l ə d͡ʒ i	18
api	a p i	1203
april	a p r e l	1624
argentum	a r d͡ʒ ɛ n t ə m	0
argentum	a r ɡ ɛ n t o m	0
argentum	a r ɡ ɛ n t ə m	0
arsenik	a r s ə n e k	7
artikel	a r t i k ə l	202
astatin	a s t a t e n	0
astatin	ɛ s t e t e n	0
asu	a s u	1
aswad	a s u a t	10
aswad	a s w a t	10
aurum	a u r o m	0
aurum	a u r ə m	0
aurum	ɔ r ə m	0
autopsi	a u̯ t ɔ p s i	4
autopsi	o t ɔ p s i	4
b	b	407
b	b i	407
b	p̚	407
banyak	b a n j a k	6808
banyak	b a ɲ a ʔ	6808
barat	b a r a t	1346
barium	b a r i o m	1
barium	b a r i ə m	1
barium	b ɛ r i ə m	1
bateri	b e t ə r i	190
belau	b ə l a u̯	1
benturung	b ə n t u r o ŋ	0
berkelium	b ɛ r k e l i o m	0
berkelium	b ɛ r k e l i ə m	0
berlau	b ə r l a u̯	0
besi	b ə s i	438
binatang	b i n a t a ŋ	187
biru	b i r u	312
bismut	b i s m o t	0
bismut	b i s m ə t	0
bolong	b o l o ŋ	4
bromin	b r o m a e n	0
bromin	b r o m e n	0
bulan	b u l a n	4505
c	s i	209
c	t͡ʃ	209
citah	t͡ʃ i t a h	0
d	d	185
d	d i	185
d	t̚	185
darmstadtium	d a r m s t a t t i o m	0
darmstadtium	d a r m s t a t t i ə m	0
detik	d ə t e ʔ	234
deuterium	d e u t ə r i o m	0
deuterium	d e u t ə r i ə m	0
deuterium	d i u t ə r i ə m	0
dingo	d i ŋ o	0
dingo	d i ŋ ɡ o	0
disember	d i s ɛ m b ə r	1978
disprosium	d i s p r o s i o m	0
disprosium	d i s p r o s i ə m	0
e	e	76
e	i	76
e	ə	76
e	ɛ	76
einsteinium	a i n s t a e n i ə m	0
einsteinium	e i n s t e i n i o m	0
einsteinium	e i n s t e i n i ə m	0
erbium	ə r b i o m	0
erbium	ə r b i ə m	0
europium	e u r o p i o m	0
europium	e u r o p i ə m	0
europium	j u r o p i ə m	0
f	f	43
f	ɛ f	43
fantasi	f a n t a s i	30
februari	f ɛ b r u a r i	695
fermium	f ə r m i o m	0
fermium	f ə r m i ə m	0
ferum	f ɛ r o m	2
ferum	f ɛ r ə m	2
fidah	f i d a h	0
fidzah	f i d a h	0
fransium	f r a n s i o m	0
fransium	f r a n s i ə m	0
g	d͡ʒ i	40
g	k̚	40
g	ɡ	40
gading	ɡ a d e ŋ	79
gadolinium	ɡ a d o l i n i o m	0
gadolinium	ɡ a d o l i n i ə m	0
