аав	aː w	178
ааг	aː ɡ	1
аадар	aː d ə r	10
аалз	aː ɮ t s	15
ааруул	aː r ʊː ɮ	2
ав	a w	25
авга	a w ə ɢ	79
авдар	a w t ə r	10
авс	a w s	7
австрали	a f s tʰ r a ɮ	95
австри	a w̜ s tʰ r	41
автобус	a f tʰ ʊː s	24
автомашин	a f tʰ ə m a ʃ i ŋ	130
авьяас	a w j a s	40
агаар	a ɢ aː r	188
агшин	a ɡ ʃ i ŋ	24
ад	a t	42
адал	a t ə ɮ	53
адил	a tʲ ə ɮ	663
аз	a t͡s	62
айл	a i ɮ	82
айлчлах	a i ɮ t͡ɕʰ ɮ ə x	4
айраг	a i r a ɡ	66
академич	a k d e m t͜ɕ	20
алба	a ɮ p	224
албадах	a ɮ p ə t ə x	3
албадлага	a ɮ p ə t ɮ ə ɢ	3
албани	a ɮ p a n	16
алга	a ɮ ə ɢ	132
алжир	a ɮ t͡ʃ i r	12
алим	a ɮ i m	10
аллах	a ɮ ɮ a x	8
алт	a ɮ tʰ	168
алтан	a ɮ tʰ ə ŋ	827
алтгана	a ɮ tʰ ɢ ə n	1
алх	a ɮ x	9
аль	a ɮʲ	871
ам	a m	661
амжилт	a m t͡ʃ i ɮ tʰ	564
амжих	a m t͡ɕ ə x	0
амь	a mʲ	276
амьдрал	a mʲ t r a ɮ	334
амьсгалах	a mʲ s ɢ ə ɮ ə x	6
анги	a ŋ ɡ	223
англи	a ŋ ɡ i ɮ	423
анекдот	ɔ n i ɡ ɔː	1
анх	a ŋ x	1634
анхилга	a ŋʲ xʲ ə ɮ ə ɢ	0
анчин	a n t͡ʃʰ i ŋ	27
аппарат	a pʰ r a tʰ	33
аптек	a pʰ tʰ e kʰ	0
арвай	a r w a i	6
арга	a r ə ɢ	1255
аргентин	a r ɡ e n tʰ i ŋ	38
архи	a rʲ x	59
арьс	a rʲ s	119
асуух	a s ʊ x	6
атаа	a tʰ a	5
атаархах	a tʰ a r x ə x	1
афганистан	a f ɡ a n i s tʰ a ŋ	15
ах	a x	316
ац	a t͡sʰ	4
баатар	p aː tʰ ə r	297
баах	p aː x	0
баг	p a ɡ	1023
бага	p a ɢ	1667
багаж	p a ɢ t͡ɕ	140
багс	p a ɡ s	1
багш	p a ɡ ʃ	328
байгаль	p a i ɡ a ɮʲ	255
байна	p a i n	10025
байх	p a i x	2540
байц	p a i t͡sʰ	7
байцаа	p a i t͡s aː	1
бангладеш	p a ŋ ɡ ɮ a t e ʃ	11
бар	p a r	59
барамнас	p a r a m n a s	0
барих	p a rʲ ə x	197
баруун	p a r ʊː ŋ	1580
бассейн	p a s e j ŋ	1
баялаг	b a j ă l a ɢ	145
баяр	p a j r	146
баярлалаа	p a j ə r ɮ a	4
баяртай	p a j a r tʰ a i	7
беларусь	p e ɮ a r ʊ sʲ	13
би	p i	469
бид	p i t	585
бийр	p iː r	5
битлз	p i tʰ ə ɮ t͡s	25
богино	p ɔ ɡʲ ə n	419
бойжих	p ɔ i t͡ɕ ə x	1
бол	p ɔ ɮ	4264
болгар	p ɔ ɮ ɡ a r	40
болор	p ɔ ɮ ə r	23
болох	p ɔ ɮ ə x	2816
больниц	p ɔ ɮʲ nʲ ə t͡sʰ	0
боов	p ɔː w	15
боол	p ɔː ɮ	28
боомт	p ɔː m t	215
боорцог	p ɔː r t͡sʰ ə ɡ	6
боошиг	p ɔː ʃ i ɡ	1
борной	p ɔ r n ɔ i	1
бороо	p ɔ r ɔː	60
бослого	p ɔ s ɮ ə ɢ	190
босох	p ɔ s ə x	8
бохь	p ɔ xʲ	3
бразил	p r a t͡s i ɮ	46
будда	p ʊ t t a	28
буйдан	p ʊ i t a ŋ	1
буйл	p ʊ i ɮ	1
булаацалдах	p ʊ ɮ aː t͡s a ɮ t a x	0
булга	p ʊ ɮ ə ɢ	12
булчирхай	p ʊ ɮ t͡ɕʰ ə r x a i	29
бурхан	p ʊ r x a ŋ	213
буу	p ʊː	124
буудал	p ʊː t a ɮ	126
бууз	p ʊː t͡s	5
бууралтах	p ʊː r ə ɮ tʰ ə x	0
бух	p ʊ x	35
буян	p ʊ j a ŋ	27
бэрс	p e r s	8
бэх	p e x	35
бээжин	p eː t͡ʃ i ŋ	76
бяруу	pʲ a r ʊ	5
бясалгал	pʲ a s ə ɮ ɢ ə ɮ	21
