'i	i
'nu	n u
'u	u
a	a
abbascio	a b b a ʃ ʃ ə
abbiccià	a b b i t͡ʃ t͡ʃ a
accattà	a k k a t̪ t̪ a
accavallà	a k k u m a n n a
accio	a t t͡ʃ ɐ
accio	a t t͡ʃ ə
acqua	a k k w ɐ
addivinà	a d d i v i n a
addorme	a d d o r m ə
ajere	a j e r ə
alluccà	a l l u k k a
ammore	a m m o r ə
arape	a r a p ɐ
arapì	a r a p i
arvulo	a r v u l ə
ascì	a ʃ ʃ i
aspettà	a ʃ p e t t a
assaje	a s s a ĩ j ə
auciello	a w ʃ j e l l ə
auto	a w t̪ ɐ
avé	a v e
bolle	b o l l ɐ
ca	k a
caiorda	k a j ɔ r d ə
cannarone	k a n n a r o n ə
capa	k a p ɐ
cape	k k a p ə
capello	k a p e l l ɐ
cappiello	k a p p j e l l ɐ
carrià	k a r r j a
caré	k a r e
cchiummo	k k j u m m ə
ce	t ʃ e
cerasa	t͡ʃ ə r a s ɐ
chesta	k e s t a
chesta	k e s t ɐ
chiazza	k j a t t s ɐ
chiummo	k j u m m ə
chiù	k j u
ciucciaria	t͡ʃ u t t͡ʃ a r i ə
ciuccio	t͡ʃ u t t͡ʃ ə
ciume	t͡ʃ u m ə
ciume	t͡ʃ u mː ə
craje	k r a j
crapa	k r a p ə
crisce	k r i ʃ ə
criscia	k r i ʃ ə
criscio	k r i ʃ ə
cuccà	k u kː a
cumannà	k u m a n n a
cummà	k u mː a
cumpà	k u m b a
cumpà	k u m p a
cunto	k u n t ə
cuntà	k u n t a
curreja	k u rː e j ɐ
curtiello	k u r t j e l l ə
curto	k u r t ə
demierto	d ə m j e r t ə
dente	d ɛ n t ɐ
e	e
eine	e i n ɐ
essa	e s s ə
essa	e sː ə
esse	ɛ s s ɐ
evera	ɛː v ə ɾ ɐ
faggie	f a d d͡ʒ ɐ
faggio	f a d d͡ʒ ɐ
fasulo	f a z u l ə
fessa	f e sː ə
fete	f ɛ t ə
ffierro	fː j e r ə
fierre	f j e r r ə
fierro	f j e r ə
frate	f r a t ɐ
fuochi	f w o k ɐ
fuoco	f w o k ə
ggelo	d d͡ʒ ɛ l ə
gruosso	ɡ r w o s s ə
guagliona	w a ʝː oː n ə
guagliona	ɡ w a ʎː o n ə
guaglione	w a ʝː oː n ə
guaglione	ɡ w a ʎː o n ə
guagliune	w a ʝː uː n ə
guagliune	ɡ w a ʎː uː n ə
guagliuni	w a ʝː uː n i
guagliuni	ɡ w a ʎː uː n i
guallecchia	ɡ w a l l e kː j ə
into	i n d̪ ɐ
isse	i s s ə
isse	i sː ə
isso	i s s ə
isso	i sː ə
j'	i
j'	j
juann	j u a n n
juorno	j o r n ə
juorno	j u w o r n ə
lapa	l a p ə
latte	l a tː ə
lavoro	l a v o r ɐ
le	l e
legge	l ɛ d d ʒ ə
lengua	l e ŋ ɡ w a
lente	l ɛ n t ə
li	i
lloro	l o r ə
lu	l u
luna	l uː n a
mammana	m a m m a n ə
mannaggia	m a n n a d d ʒ ə
mare	m a r ɐ
me	m e
mee	m e ə
meje	m e j ə
mene	m e n ə
mette	m e tː ɐ
mia	m i ə
mieje	m i ə j ə
mio	m i ə
monnezza	m m o n n e t t s ə
morte	m ɔ r t ɐ
mulignana	m u l i ɲ ɲ a n ə
muntagna	m u n d a ɲː ɐ
muzzarella	m u t t͡s a r ɛ l l ə
napule	n aː p ə l ə
napulitano	n a p u l i t a n ə
nemmicculo	n e m m i kː ə l ə
nenna	n e n n a
ngoppe	ŋ ɡ ɔ p p ɐ
nisciuno	n i ʃ ʃ u n ə
nosta	n ɔ s t ə
noste	n ɔ s t ə
notte	n ɔ t t ɐ
ntufato	n t u f a t ə
ntufà	n t u f a
nu	n u
nuje	n u j ə
nuoste	n u o s t ə
nuosto	n u o s t ə
o	oː
ommo	ɔ m m ə
osemà	o s ə m a
pane	p a n ə
pastiera	p a s t j eː r ə
pe	p e
pe	p ə
pecché	p e k k e
pelo	p e l ɐ
perzeca	p ɛ r t͡s ə k ə
perzone	p e r t͡s o n ɐ
pesce	p e ʃ ʃ ɐ
piccerillo	p i t t ʃ ə ɾ i l l ə
piglià	p i ʎ ʎ a
pili	p i l ɐ
pisce	p i ʃ ʃ ɐ
piste	p i s t ɐ
pisto	p i s t ɐ
pizza	p i t t͡s ə
portalettere	p ɔ r t a l e tː ə r ə
pressa	p r e s s ɐ
preta	p r ɛ t a
priato	p r i ɑː t ə
priezza	p r i e t t s ə
pummarola	p u m m a r ɔ l ə
quanno	k w a nː ə
quartino	k w a r t i n ə
rapillo	r a p i lː ə
sacco	s a k k ə
sartanio	s a r t a n j ɐ
scella	ʃ e l l ə
scerià	ʃ ʃ ə r j a
scetavajasse	ʃ e t ə v a j a s s ə
sciancato	ʃ a n k a t ɐ
scigna	ʃ i ɲ ə
sciore	ʃ j oː r ə
sciorenza	ʃ j o r ɛ n t s ə
scrivì	s k r i v i
se	s e
sentì	s e n t i
sine	s i n ɐ
sine	s i n ɛ
smercià	s m e r t ʃ a
soja	s ɔ j ə
soje	s ɔ j ə
sole	s o l ə
sora	s ɔ r ɐ
sordi	s ɔ r d ɐ
sparte	ʃ p a r t ɐ
spartì	ʃ p a r t̪ i
staggione	s t a d d͡ʒ o n ə
stordo	s t ɔ r d ɑ
strinto	s t r i n t ə
stu	s t u
sujo	s u j ə
suoje	s u ə̯ j ə
suonni	s w o n n ɐ
suonno	s w o n n ɐ
surriento	s u r r j e n d ə
tauto	t̪ a u t̪ ɐ
te	t e
tene	t e n ə
tene	t ə n e
tené	t e n e
terra	t e r ə
toja	t ɔ j ə
toje	t ɔ j ə
trase	t r a s ə
tu	t̪ u
tujo	t u j ə
tuoje	t u ə̯ j ə
tuppo	t u pː ɐ
turmiento	t u r m j ɛ n t ə
ue	w e
ue	w e w e
