aacatlah	aʔaːkat͡ɬ
acalmaitl	aːkaɬmaːit͡ɬ
acalyacatl	aːkaɬjakat͡ɬ
acatl	áːkat͡ɬ
acatlah	aːkat͡ɬaʔ
acaxitl	aːkaʃit͡ɬ
acayotl	aːkájoːtɬ
acelloh	aseːlːoʔ
achcocolli	aːt͡ʃkoːkóːlːi
acilloh	asiːlːi
acoatl	aːkoːaːt͡ɬ
acoatl	aːkoːwaːt͡ɬ
acpatl	aːkpat͡ɬ
acuetzpalin	aːkʷet͡spalin
aehecatl	aːeʔeːkat͡ɬ
ahahuacuauhtlah	aʔaːwakʷaʍt͡ɬaʔ
ahahuatlah	aʔaːwat͡ɬaʔ
ahaztontli	aʔastoːnt͡ɬi
ahcuallahtolli	aʔkʷalːaʔtóːlːi
ahhuachchoh	aʔwatt͡ʃoʔ
ahhuachtli	aʔwat͡ʃt͡ɬi
ahhuechchoh	aʔwett͡ʃoʔ
ahhuechtli	aʔwet͡ʃt͡ɬi
ahmicqui	aʔmikki
ahmo	áʔmoː
ahmolli	aʔmóːlːi
ahpohualiztli	aʔpoːwalist͡ɬi
ahtlatl	áʔtɬatɬ
ahuacamilli	aːwakamilːi
ahuacamolli	aːwakamóːlːi
ahuacatl	aːwákat͡ɬ
ahuacuahuitl	aːwakʷawit͡ɬ
ahuacuauhtlah	aːwakʷaʍt͡ɬaʔ
ahuacuauhtomatl	aːwakʷaʍtomat͡ɬ
ahuatecolotl	aːwaːtekoloːt͡ɬ
ahuatl	aːwat͡ɬ
ahuatl	aːwaːt͡ɬ
ahuatlah	aːwat͡ɬaʔ
ahuatomatl	aːwatomat͡ɬ
aihtectli	aːiʔtekt͡ɬi
alcalde	aɬkáːɬteʔ
alcaldeyotl	aɬkaːɬteʔjoːt͡ɬ
alo	álo
alomeh	alomeʔ
altepecuaxochtli	aːɬtepeːkʷaːʃoːt͡ʃt͡ɬi
altepehuah	aːɬtepeːwaʔ
altepemaitl	aːɬtepeːmaːit͡ɬ
altepemeh	aːɬtepéːmeʔ
altepenanyotl	aːɬtepeːnaːnjoːt͡ɬ
altepetepantli	aːɬtepeːtepaːnt͡ɬi
altepetl	aːɬtépeːt͡ɬ
altepetlahcuiloh	aːɬtepeːt͡ɬaʔkʷíloʔ
altepetlahcuilohqueh	aːɬtepeːt͡ɬaʔkʷilóʔkeʔ
altepetlalli	aːɬtepeːt͡ɬaːlːi
amacal	amáːkaɬ
amachcocol	amaːt͡ʃkóːkoːɬ
amachcocolhuan	amaːt͡ʃkoːkóːɬwaːn
amaitl	aːmaːit͡ɬ
amapatolli	aːmapatoːlːi
amatlahcuilolli	aːmat͡ɬaʔkʷiloːlːi
amauh	ámaːʍ
amaxayacatl	aːmaʃaːjakat͡ɬ
ameyalatl	aːmeːjalaːt͡ɬ
ameyallah	aːmeːjalːaʔ
ameyalli	aːmeːjalːi
ameyaltontli	aːmeːjaɬtoːnt͡ɬi
amilli	aːmiːlːi
amiquiliztli	aːmikilist͡ɬi
amiquiztli	aːmikist͡ɬi
amocal	amokaɬ
amochan	amót͡ʃaːn
amochil	amót͡ʃiːɬ
amochimal	amot͡ʃíːmaɬ
amocihhuan	amosíʔwaːn̥
amocuitl	amókʷit͡ɬ
amomazahuan	amomasáːwaːn
amomiquiz	amomíkis
amonacayo	amonakájo
amonahuatlahtol	amonaːwat͡ɬáʔtoːɬ
amonan	amonaːn
amonoch	amónoːt͡ʃ
amotecon	amotékon
amoteouh	amóteʍ
amotepeuh	amotépeːʍ
amotiyanquiz	amotijáːŋkis
amotlacahuan	amot͡ɬaːkáwaːn
amotlacauh	amot͡ɬáːkaʍ
amotlahtol	amot͡ɬáʔtoːɬ
amoxcalli	aːmoʃkalːi
amoxnamacac	aːmoʃnamákak
amoxtepiton	aːmoʃtepitoːn
amoxtlahcuiloh	aːmoʃt͡ɬakʷiloʔ
amoxtli	aːmóʃt͡ɬi
amoxtocaitl	aːmoʃtoːkaːiːt͡ɬ
amoxtontli	aːmoʃtoːnt͡ɬi
anantli	aːnaːnt͡ɬi
anqui	aŋki
apachtli	aːpat͡ʃt͡ɬi
apizzotl	aːpiːsːoːt͡ɬ
apoctli	aːpoːkt͡ɬi
apozonallotl	aːposoːnalːoːt͡ɬ
atenyoh	atenjoʔ
atepocatl	atepokat͡ɬ
atetl	aːtet͡ɬ
atl	áːt͡ɬ
atlacomolatl	aːt͡ɬakomóːlaːt͡ɬ
atlacomolli	aːt͡ɬakomoːlːi
atlacuezonan	aːt͡ɬaːkʷesónan̥
atlauhyoh	aːt͡ɬaʍjoʔ
atonalittaloni	aːtoːnalittalóːni
atonalmachiyotl	aːtoːnaɬmat͡ʃíjoːt͡ɬ
atotonilli	aːtotonilːi
atoyapitzactli	aːtoːjaːpit͡sakt͡ɬi
atoyapitzactontli	aːtoːjaːpit͡saktoːnt͡ɬi
atoyatetl	aːtoːjaːtet͡ɬ
atoyatl	aːtoːjaːt͡ɬ
atoyatontli	aːtoːjaːtoːnt͡ɬi
axayacatl	aːʃaːjákat͡ɬ
axcan	áːʃkaːn̥
axcancayotl	àːʃkaːŋkáːjoːt͡ɬ
axittontli	aːʃittont͡ɬi
axnoh	aʃnoʔ
axolomeh	aːʃoːlóːmeʔ
axolotl	aːʃóːloːt͡ɬ
ayahuitl	aːyawit͡ɬ
