abbedverdighet	ɑ b ə d ʋ æ r d ɪ h eː t	0
ablegøyer	ɑ b l ə ² ɡ œ ʏ ə r	13
abnormitet	ɑ b n ɔ r m ɪ t eː t	1
abonnement	ɑ b ɔ n ə m ɑ ŋ	428
abonnent	ɑ b ɔ n ɛ n t	20
abonner	ɑ b ɔ n eː r	3
abonnere	ɑ b ɔ n eː r ə	12
abonnerende	ɑ b ɔ n eː r ə n ə	1
abonnerer	ɑ b ɔ n eː r ə r	16
abonneres	ɑ b ɔ n eː r ə s	0
abonnert	ɑ b ɔ n eː ʈ	1
abonnerte	ɑ b ɔ n eː ʈ ə	16
abortere	ɑ b ɔ ʈ eː r ə	2
absint	ɑ b s ɪ n t	6
absolutisme	ɑ b s ʊ l ʉ t ɪ s m ə	10
absolutistisk	ɑ b s u l ʉ t ɪ s t ɪ s k	1
absorbering	ɑ b s ɔ r b eː r ɪ ŋ	2
adept	ɑ d ɛ p t	58
administrasjon	ɑ d m ɪ n ɪ s t r ɑ ʃ uː n	846
affektere	ɑ f ə k t eː r ə	1
ageleg	² ɑː ɡ ə l ɛ	3
agg	ɑ ɡː	13
aksel	² ɑ k s ɛ l	338
aksel	ɑ k s ɛ l	338
aksla	² ɑ k s l ɑ	72
aksla	ɑ k s l ɑ	72
aldri	² ɑ l d r ɪ	9155
algerie	ɑ l ʃ ə ɾ ɪː	289
alke	² ɑ l k ə	6
alle	² ɑ lː ə	69801
alle	ɑ l ə	69801
allegori	ɑ l ə ɡ u r iː	41
alltid	ɑ l t ɪ	5525
allting	ɑ l t ɪ ŋ	35
allvitande	² ɑ lː ʋ iː t ɑ n d ə	6
allvitande	² ɑ lː ʋ iː t ɑ n ə	6
alm	ɑ l m	87
almen	ɑ l m ə n	55
almen	ɑ l m ɛ n	55
alt	ɑ l t	18733
ambisjon	ɑ m b ɪ ʃ uː n	109
anda	² ɑ n d ɑ	2698
anda	ɑ n d ɑ	2698
anden	ɑ n d n	88
annleis	ɑ n l æ ɪ s	1309
ansikt	² ɑ n s ɪ k t	189
apal	² ɑː p ɑ l	12
april	ɑ p r iː l	19752
arbeid	² ɑ r b æ ɪ	7859
arbeide	² ɑ r b æ ɪ ə	1975
arbeidsmann	² ɑ r b æ ɪ s m ɑ nː	25
arming	² ɑ r m ɪ ŋ	33
arr	ɑ rː	130
arrdelfin	² ɑ r d ɛ l f iː n	0
arv	ɑ r ʋ	722
askim	ɑ ʃ ɪ m	102
atomkrig	ɑ t òː m k ɾ iː ɡ	20
att	ɑ tː	10269
attantil	² ɑ tː ɑ n t ɪ l	2
attende	ɑ t ² ɛ n d ɛ	3155
atter	ɑ t ə r	747
atter	ɑ tː ɛ r	747
attmed	² ɑ t m eː	341
attpåtil	ɑ p ɔ t ɪ l	85
attpåtil	ɑ t p ɔ t ɪ l	85
au	æ ʉ	947
aud	æ ʉ	312
aure	² æ ʉ r ə	337
austmarkmus	² æ ʉ s t m ɑ r k m ʉ s	0
austre	² æ ʉ s t r ə	265
automat	a ʉ t u m aː t	20
automat	æ ʉ t ʊ m ɑː t	20
avgjerd	² ɑː ʋ j eː r	417
avgjerd	² ɑː ʋ j æː r	417
avslag	ɑː ʋ ʃ l ɑː ɡ	232
avund	² ɑː ʋ ʉ n	0
avund	² ɑː ʋ ʉ n d	0
b	b	5415
b	b eː	5415
bad	b ɑː	5788
bag	b æ ɡ	914
bak	b ɑː k	9675
bakhall	² b ɑː k h ɑ l	0
bakke	² b ɑ kː ə	827
bal	b ɑː l	1924
balje	² b ɑ l j ə	11
band	b æ n d	8965
band	b ɑ n d	8965
bankkvelv	b ɑ ŋ k k ʋ ɛ l ʋ	1
bar	b ɑː r	8343
bard	b ɑ r d	64
bard	b ɑː r	64
barm	b ɑ r m	17
barn	b ɑː r n	10065
barnsleg	² b ɑː r n s l ɛ	21
bavian	b ɑ ʋ ɪ ɑː n	3
bavianen	b ɑ ʋ ɪ ɑː n̩ː	8
bede	² b eː ə	198
begynne	b j ʏ nː ə	825
begynne	b ɛ j ʏ nː ə	825
bein	b æ ɪ n	1358
beina	b æ ɪ n ɑ	1602
beina	² b æ ɪ n ɑ	1602
beine	² b æ ɪ n ə	25
bekk	b ɛ kː	196
bera	² b eː r ɑ	364
bere	² b eː r ə	270
berg	b ɛ r ɡ	2352
bergvegg	² b ɛ r ɡ ʋ ɛ ɡː	17
berre	² b ɛ rː ə	27960
bestandig	b ə s t ɑ n d ɪ	40
betale	b ɛ t ɑː l ə	1087
bikkje	² b ɪ çː ə	10
bil	b iː l	2924
billeg	² b ɪ lː ɛ	159
billeg	² b ɪ lː ɛ ɡ	159
bindande	² b ɪ n d ɑ n d ə	112
biskop	b ɪ s k ʊ p	2292
biskop	² b ɪ s k ɔ p	2292
bisp	b ɪ s p	68
