abakha	a ɓ a kʰ a
abale	a ɓ a ɽ é
abambo	a ɓ aᵐ b o
abathwa	a ɓ a tʷʰ á
abulu	a ɓ u ɽ ú
abusa	a ɓ ú s a
abwana	a ɓʷ á n a
abwanamkubwa	a ɓʷ a n a m k ú ɓʷ a
achewa	a t͡ʃ e w ⁽ᵝ ⁾ á
adokotala	a d ó k o t a ɽ a
adotolo	a d ó t o ɽ o
adyo	á ɗʲ o
afirika	á f i ɽ i k a
afisi	a f í s i
afisi	a f i s i
afiti	a f í t i
agalu	a ɡ a ɽ ú
agogo	a ɡ ó ɡ o
agogo	a ɡ o ɡ o
agondwa	a ɡ óⁿ dʷ a
akalaliki	a k a ɽ á ɽ i k i
akaloti	a k á ɽ o t i
akalulu	a k a ɽ u ɽ ú
akanungu	a k á n uᵑ ɡ u
akatekisima	a k a t e k í s i m a
akatundu	a k a t úⁿ d u
akavalo	a k a v á ɽ o
akazi	a k á z i
akuluakulu	a k ú ɽ ú a k ú ɽ u
alendo	a ɽ eⁿ d ó
aloma	a ɽ ó m a
amalawi	a m a ɽ á w ⁽ᵝ ⁾ i
amayi	a m á j i
ambulera	aᵐ b ú ɽ e ɽ a
amphaka	aᵐ pʰ a k á
amwenye	a mʷ e ɲ e
ana	a n á
angelo	aᵑ ɡ é ɽ o
anthu	aⁿ tʰ u
anyamata	a ɲ a m a t á
anyamata	a ɲ á m a t a
anyani	a ɲ a n í
anyezi	á ɲ e z i
aphunzitsi	a pʰ uⁿ z i t͡s i
ashehe	a ʃ é h e
asilikali	a s i ɽ i k á ɽ i
asing'anga	a s í ŋ aᵑ ɡ a
asirikali	a s i ɽ i k á ɽ i
atambala	a t aᵐ b a ɽ a
atate	a t a t é
ayi	a j í
azibambo	a z i ɓ aᵐ b o
azimayi	a z i m á j i
azungu	a z uᵑ ɡ u
ba	ɓ a
badwa	ɓ a ɗʷ a
bafa	b á f a
baibulo	b á i b u ɽ o
bakha	ɓ a kʰ a
bala	ɓ á ɽ a
bala	b á ɽ a
bala	ɓ a ɽ a
balaka	ɓ a ɽ á k a
balala	ɓ á ɽ á ɽ á
balalika	ɓ a ɽ a ɽ i k á
bambo	ɓ aᵐ b o
banda	ɓ áⁿ d a
bandawe	ɓ aⁿ d á w e
banga	ɓ aᵑ ɡ a
bango	ɓ aᵑ ɡ ó
bango	ɓ áᵑ ɡ o
bangula	ɓ aᵑ ɡ u ɽ á
bangula	ɓ aᵑ ɡ ú ɽ a
bangwe	ɓ aᵑ ɡʷ e
banja	ɓ áⁿ d͡ʒ a
banki	b áᵑ k i
basi	ɓ a s i
basi	b á s i
basi	ɓ a s i
bata	ɓ á t a
batchi	ɓ á t͡ʃʰ i
batiza	ɓ a t i z a
batiza	ɓ a t i z á
bavu	ɓ a v u
bedi	ɓ é ɗ i
benthuka	ɓ eⁿ tʰ u k á
benthula	ɓ eⁿ tʰ u ɽ a
bere	ɓ é ɽ e
beseni	b é s e n i
beza	ɓ é z a
bingu	ɓ iᵑ ɡ u
bira	ɓ i ɽ á
bode	ɓ ó ɗ e
bodza	ɓ ó d͡z a
boma	ɓ o m a
bondo	ɓ óⁿ d o
bowa	ɓ o w a
bukhu	ɓ ú kʰ u
buku	ɓ ú k u
buledi	b u ɽ é d i
bulu	ɓ u ɽ ú
bvumbwe	b͡v úᵐ bʷ e
bvuto	b͡v ú t o
bwana	ɓʷ á n a
bwanali	ɓʷ a n á ɽ i
bwanamkubwa	ɓʷ a n a m k ú ɓʷ a
chadza	t͡ʃ a d͡z a
chaka	t͡ʃ a k á
chakudya	t͡ʃ á k ú ɗʲ á
chala	t͡ʃ a ɽ á
chalera	t͡ʃ a ɽ e ɽ a
chani	t͡ʃ á n i
chavula	t͡ʃ a v ú ɽ a
chibwana	t͡ʃ i ɓʷ á n a
chichewa	t͡ʃ i t͡ʃ e w ⁽ᵝ ⁾ á
chichiri	t͡ʃ i t͡ʃ í ɽ i
chidindo	t͡ʃ i d iⁿ d o
chifu	t͡ʃ i f ú
chifukwa	t͡ʃ i f u kʷ á
chifuwa	t͡ʃ i f ú w a
chigama	t͡ʃ i ɡ á m a
chiganizo	t͡ʃ i ɡ a n i z o
chihana	t͡ʃ i h á n a
chikaonda	t͡ʃ i k a oⁿ d a
chikato	t͡ʃ i k á t o
chikope	t͡ʃ i k ó p e
chikwawa	t͡ʃ i kʷ á w a
chikwi	t͡ʃ i kʷ í
chileka	t͡ʃ i ɽ é k a
chilembwe	t͡ʃ i ɽ eᵐ bʷ e
chilima	t͡ʃ i ɽ i m a
chilipaine	t͡ʃ i ɽ i p á i n e
chilomwe	t͡ʃ i ɽ o mʷ é
chilumpha	t͡ʃ í ɽ uᵐ pʰ a
chimanga	t͡ʃ í m aᵑ ɡ a
chimangafisi	t͡ʃ i m aᵑ ɡ a f i s i
chimenya	t͡ʃ i m e ɲ a
chindoko	t͡ʃ iⁿ d o k ó
chingancheke	t͡ʃ iᵑ ɡ áⁿ t͡ʃ e k e
chingerezi	t͡ʃ iᵑ ɡ e ɽ é z i
chingoni	t͡ʃ iᵑ ɡ o n í
chinji	t͡ʃ íⁿ d͡ʒ i
chinkhonde	t͡ʃ iᵑ kʰ óⁿ d e
chinkhwe	t͡ʃ iᵑ kʷʰ é
chintheche	t͡ʃ iⁿ tʰ é t͡ʃ e
chinthu	t͡ʃ iⁿ tʰ u
chinyanja	t͡ʃ i ɲ aⁿ d͡ʒ á
chinziri	t͡ʃ iⁿ z i ɽ í
chipala	t͡ʃ i p a ɽ a
chipata	t͡ʃ i p á t a
chipatala	t͡ʃ i p a t a ɽ a
chipatso	t͡ʃ i p á t͡s o
chipfu	t͡ʃ i p͡f ú
chipwitikizi	t͡ʃ i pʷ i t i k í z i
chiradzulu	t͡ʃ i ɽ á d͡z u ɽ u
chirambo	t͡ʃ i ɽ áᵐ b o
chirwa	t͡ʃ í ɽʷ a
chisale	t͡ʃ i s a ɽ e
chisale	t͡ʃ i s á ɽ e
chisena	t͡ʃ i s é n a
chishango	t͡ʃ i ʃ aᵑ ɡ o
chishango	t͡ʃ í ʃ aᵑ ɡ o
chisi	t͡ʃ í s i
chisutu	t͡ʃ i s ú t u
chiswahili	t͡ʃ i sʷ a h í ɽ i
chiswankhono	t͡ʃ i sʷ aᵑ kʰ ó n o
chitamba	t͡ʃ i t áᵐ b a
chithunzi	t͡ʃ i tʰ úⁿ z i
chithunzithunzi	t͡ʃ i tʰ úⁿ z í tʰ uⁿ z í
chitipa	t͡ʃ i t í p a
chitonga	t͡ʃ i t óᵑ ɡ a
chitseko	t͡ʃ i t͡s e k o
chitseko	t͡ʃ í t͡s e k o
chitsiru	t͡ʃ i t͡s í ɽ u
chitumbuka	t͡ʃ i t úᵐ b u k a
chiuno	t͡ʃ i ú n o
chiwala	t͡ʃ i w a ɽ a
chiwemba	t͡ʃ i w ⁽ᵝ ⁾ eᵐ b á
chiwengo	t͡ʃ i w ⁽ᵝ ⁾ éᵑ ɡ o
chiwindi	t͡ʃ í w ⁽ᵝ ⁾ iⁿ d i
chiyani	t͡ʃ i j á n i
chiyao	t͡ʃ i j á o
chizulu	t͡ʃ i z ú ɽ u
chizumulu	t͡ʃ i z ú m u ɽ u
chizungu	t͡ʃ i z uᵑ ɡ u
chomera	t͡ʃ ó m e ɽ a
chomveka	t͡ʃ óᶬ v é k á
chule	t͡ʃ u ɽ é
chuma	t͡ʃ u m á
dedza	ɗ e d͡z á
dembo	ɗ eᵐ b o
dinda	d iⁿ d a
disembala	d i s éᵐ b a ɽ a
diso	ɗ í s o
doko	ɗ o k o
dokotala	d ó k o t a ɽ a
domasi	ɗ o m a s i
dothi	ɗ o tʰ i
dotolo	d ó t o ɽ o
dowa	ɗ o w a
dula	d u ɽ a
dula	ɗ u ɽ a
duwa	ɗ u w a
dwangwa	ɗʷ áᵑ ɡʷ a
dya	ɗʲ a
dzalanyama	d͡z a ɽ a ɲ a m a
dzanja	d͡z aⁿ d͡ʒ a
dzaye	d͡z a j e
dziko	d͡z í k o
dzina	d͡z í n a
dzino	d͡z í n o
dzira	d͡z i ɽ a
dziwe	d͡z i w ⁽ᵝ ⁾ e
