abak	áː b a k
abeceda	a b ɛ t͡s éː d a
abstrakten	a p s t r áː k t ə n
abstraktno	a p s t r áː k t n ɔ
absurden	a p s úː r d ə n
absurdnejši	a p s úː r d n ɛ j ʃ i
aceton	a t͡s ɛ t óː n
adijo	a d íː j ɔ
adjektiven	a d j ɛ k t íː ʋ ə n
adut	a d úː t
aerodinamika	a ɛ́ː r ɔ d i n àː m i k a
aerodinamika	áː ɛ r ɔ d i n àː m i k a
aerolit	a ɛ r ɔ l íː t
afganistan	a ʋ ɡ áː n i s t a n
afna	àː f n a
afrika	áː f r i k a
aglomeracija	a ɡ l ɔ m ɛ r àː t͡s i j a
agrumi	a ɡ r úː m i
ahil	a x íː l
ahoj	a x óː j
ajd	àː j t
ajd	á j t
ajnštajnij	áː j n ʃ t a j n i j
aksiom	a k s i j óː m
aktinij	a k t ìː n i j
aktualizacija	a k t u a l i z àː t͡s i j a
aktualizirati	a k t u a l i z íː r a t i
akuzativ	áː k u z a t i ʋ
akvarij	a k ʋ àː r i j
albanec	a l b áː n ə t͡s
albanija	a l b àː n i j a
albanka	a l b áː n k a
albanski	a l b áː n s k i
albansko	a l b áː n s k ɔ
albanščina	a l b áː n ʃ t͡ʃ i n a
aleksander	a l ɛ k s àː n d ə r
ali	a l i
ali	á l i
ali	áː l i
aligator	a l i ɡ áː t ɔ r
aljaska	a l j áː s k a
alkohol	a l k ɔ x óː l
alpaka	a l p áː k a
aluminij	a l u m ìː n i j
alžirija	a l ʒ íː r i j a
aman	áː m a n
amarant	a m a r àː n t
amarant	a m a r áː n t
ambasador	a m b a s áː d ɔ r
ambrozija	a m b r òː z i j a
americij	a m ɛ r ìː t͡s i j
amerika	a m ɛ́ː r i k a
ameriški	a m ɛ́ː r i ʃ k i
amfiteater	a m f i t ɛ àː t ə r
ampak	á m p a k
amper	a m p ɛ́ː r
amputirati	a m p u t íː r a t i
amulet	a m u l éː t
ana	àː n a
anakonda	a n a k óː n d a
analen	a n áː l ə n
analogija	a n a l ɔ ɡ íː j a
ananas	áː n a n a s
anarhist	a n a r x íː s t
anarhizem	a n a r x ìː z ə m
anatomija	a n a t ɔ m íː j a
andaluzija	a n d a l ùː z i j a
andora	a n d óː r a
andreaš	a n d r ɛ àː ʃ
andrej	a n d r ɛ̀ː j
angel	àː n ɡ ɛ l
angleški	a n ɡ l éː ʃ k i
angleško	a n ɡ l éː ʃ k ɔ
angleščina	a n ɡ l éː ʃ t͡ʃ i n a
anglež	a n ɡ l éː ʃ
angležinja	a n ɡ l éː ʒ i n j a
anglija	áː n ɡ l i j a
anomalija	a n ɔ m a l íː j a
antarktika	a n t àː r k t i k a
antilopa	a n t i l óː p a
antimon	a n t i m óː n
anton	a n t óː n
antonim	a n t ɔ n íː m
apartma	a p a r t m áː
apnenec	a p n èː n ə t͡s
apnenec	a p n éː n ə t͡s
apokalipsa	a p ɔ k a l íː p s a
apostrof	a p ɔ s t r óː f
april	a p r íː l
arabski	a r áː p s k i
aragonit	a r a ɡ ɔ n íː t
arašid	a r a ʃ íː t
argon	a r ɡ óː n
argon	áː r ɡ ɔ n
arh	áː r x
arhitektura	a r x i t ɛ k t úː r a
arhivar	a r x i ʋ àː r
aristotel	a r i s t óː t ɛ l
armada	a r m áː d a
armenija	a r m èː n i j a
artefakt	a r t ɛ f áː k t
arterija	a r t ɛ̀ː r i j a
arzen	a r z éː n
as	áː s
asimetrija	á s i m ɛ t r íː j a
asklepij	a s k l èː p i j
astat	a s t áː t
asteroid	a s t ɛ r ɔ íː t
astrofizika	áː s t r ɔ f ìː z i k a
astrologija	a s t r ɔ l ɔ ɡ íː j a
astronomija	a s t r ɔ n ɔ m íː j a
ateizem	a t ɛ ìː z ə m
atena	a t éː n a
atene	a t éː n ɛ
atol	a t óː l
atomski	a t óː m s k i
atonalen	á t ɔ n áː l ə n
atrij	àː t r i j
avgust	a ʋ ɡ úː s t
avstralija	a ʋ s t r àː l i j a
avstrija	áː ʋ s t r i j a
avstrijec	a ʋ s t r íː j ə t͡s
avstrijka	a ʋ s t r íː j k a
avstrijski	a ʋ s t r íː j s k i
avto	áː ʋ t ɔ
avtobus	áː ʋ t ɔ b u s
avtosugestija	áː ʋ t ɔ s u ɡ ɛ s t íː j a
azerbajdžan	a z ɛ r b a j d͡ʒ áː n
azija	àː z i j a
azil	a z íː l
b	b éː
b	b ə́
baba	b àː b a
babica	b àː b i t͡s a
bager	b àː ɡ ə r
bagrist	b a ɡ r íː s t
bahami	b a x áː m i
bahrajn	b a x r áː j n
bajonet	b a j ɔ n éː t
bajta	b áː j t a
baker	b àː k ə r
bakla	b áː k l a
balet	b a l éː t
bambus	b áː m b u s
banja	b àː n j a
banka	b áː n k a
barantati	b a r a n t àː t i
barij	b àː r i j
barion	b a r i j óː n
barion	b áː r i j ɔ n
barka	b áː r k a
barva	b áː r ʋ a
bas	b áː s
basati	b àː s a t i
bask	b áː s k
baskovski	b áː s k ɔ ʋ s k i
baskovščina	b áː s k ɔ ʋ ʃ t͡ʃ i n a
baterija	b a t ɛ r íː j a
bati	b àː t i
batiskaf	b a t i s k áː f
baza	b àː z a
baza	b áː z a
bazalt	b a z áː l t
be	b éː
beda	b èː d a
bedak	b ɛ d àː k
beden	b èː d ə n
bednejši	b èː d n ɛ j ʃ i
bedro	b ɛ̀ː d r ɔ
beg	b éː k
begunec	b ɛ ɡ úː n ə t͡s
bel	b èː ʋ
belejši	b ɛ l ɛ́ː j ʃ i
belgija	b èː l ɡ i j a
belgijski	b èː l ɡ i j s k i
belina	b ɛ l ìː n a
beljak	b ɛ l j àː k
belorusija	b ɛ l ɔ r úː s i j a
beloruski	b ɛ l ɔ r úː s k i
beloruščina	b ɛ l ɔ r úː ʃ t͡ʃ i n a
benetke	b ɛ n éː t k ɛ
benzen	b ɛ n z éː n
beograd	b éː ɔ ɡ r a t
bergla	b éː r ɡ l a
berilij	b ɛ r ìː l i j
berkelij	b ɛ r k èː l i j
beseda	b ɛ s éː d a
beseden	b ɛ s éː d ə n
besedilo	b ɛ s ɛ d ìː l ɔ
besedotvoren	b ɛ s ɛ d ɔ t ʋ òː r ə n
besedotvoren	b ɛ s ɛ d ɔ t ʋ óː r ə n
besedotvorje	b ɛ s ɛ d ɔ t ʋ óː r j ɛ
betežen	b ɛ t èː ʒ ə n
betežnejši	b ɛ t èː ʒ n ɛ j ʃ i
betlehem	b éː t l ɛ x ɛ m
beton	b ɛ t óː n
bezeg	b ə z ə́ k
bezeg	b ə̀ z ə k
bezjak	b ɛ z j áː k
bežati	b ɛ ʒ àː t i
bik	b í k
binom	b i n óː m
biokemija	b íː j ɔ k ɛ m íː j a
biološki	b i ɔ l óː ʃ k i
birtija	b i r t íː j a
bisaga	b i s àː ɡ a
bisaga	b i s áː ɡ a
biseksualnost	b íː s ɛ k s u áː l n ɔ s t
biser	b íː s ɛ r
bistvo	b íː s t ʋ ɔ
biti	b ìː t i
bitje	b ìː t j ɛ
bitje	b íː t j ɛ
bivol	b íː ʋ ɔ l
bivši	b íː ʋ ʃ i
bizantinski	b i z a n t íː n s k i
bizgec	b íː z ɡ ə t͡s
bizmut	b íː z m u t
bizon	b íː z ɔ n
bič	b ìː t͡ʃ
bič	b í t͡ʃ
bič	b íː t͡ʃ
blag	b l áː k
blagajna	b l a ɡ áː j n a
blago	b l a ɡ óː
blagosloviti	b l a ɡ ɔ s l ɔ ʋ ìː t i
blagosloviti	b l a ɡ ɔ s l ɔ ʋ íː t i
blatnik	b l áː t n i k
blato	b l àː t ɔ
blazen	b l àː z ə n
blaznik	b l áː z n i k
blesteti	b l ɛ s t èː t i
blesti	b l ɛ̀ː s t i
blizu	b l ìː z u
bliže	b l íː ʒ ɛ
bližje	b l íː ʒ j ɛ
bližnjica	b l íː ʒ n j i t͡s a
bo	b óː
boben	b óː b ə n
bober	b òː b ə r
bober	b ɔ̀ː b ə r
bodi	b òː d i
bodimo	b òː d i m ɔ
bodimo	b ɔ d íː m ɔ
bodita	b òː d i t a
bodita	b ɔ d íː t a
bodite	b òː d i t ɛ
bodite	b ɔ d íː t ɛ
bodiva	b òː d i ʋ a
bodiva	b ɔ d íː ʋ a
bodo	b óː d ɔ
bog	b óː k
bogastvo	b ɔ ɡ áː s t ʋ ɔ
bogat	b ɔ ɡ á t
bogat	b ɔ̀ː ɡ a t
bogatejši	b ɔ ɡ a t ɛ́ː j ʃ i
boginja	b ɔ ɡ ìː n j a
bogomolka	b ɔ ɡ ɔ m óː l k a
boja	b óː j a
bojazen	b ɔ j áː z ə n
bojo	b óː j ɔ
bokal	b ɔ k áː l
bokal	b ɔ k áː ʋ
bolan	b ɔ l áː n
boleti	b ɔ l èː t i
bolezen	b ɔ l éː z ə n
bolečina	b ɔ l ɛ t͡ʃ ìː n a
bolgar	b ɔ l ɡ áː r
bolgarija	b ɔ l ɡ àː r i j a
bolgarka	b ɔ l ɡ áː r k a
bolgarski	b ɔ l ɡ àː r s k i
bolgarski	b ɔ l ɡ áː r s k i
bolgarsko	b ɔ l ɡ àː r s k ɔ
bolgarsko	b ɔ l ɡ áː r s k ɔ
bolgarščina	b ɔ l ɡ àː r ʃ t͡ʃ i n a
bolgarščina	b ɔ l ɡ áː r ʃ t͡ʃ i n a
bolha	b ɔ̀ː ʋ x a
bolj	b ɔ́ l
bolje	b óː l j ɛ
boljše	b óː l ʃ ɛ
boljši	b óː l ʃ i
bolnica	b óː l n i t͡s a
bolnik	b ɔ ʋ n ìː k
bolnišnica	b ɔ ʋ n íː ʃ n i t͡s a
bom	b óː m
bomba	b óː m b a
bombardirati	b ɔ m b a r d íː r a t i
bombaž	b ɔ m b áː ʃ
bombnik	b óː m b n i k
bomo	b óː m ɔ
bon	b óː n
bor	b óː r
bor	b ɔ́ r
borba	b óː r b a
borec	b óː r ə t͡s
boriti	b ɔ r ìː t i
boriti	b ɔ r íː t i
borka	b òː r k a
borka	b óː r k a
borovnica	b ɔ r ɔ ʋ n ìː t͡s a
borza	b óː r z a
borša	b óː r ʃ a
bos	b óː s
bos	b ɔ́ s
bosanski	b ɔ s àː n s k i
bosanski	b ɔ s áː n s k i
bosanščina	b ɔ s àː n ʃ t͡ʃ i n a
bosanščina	b ɔ s áː n ʃ t͡ʃ i n a
bosenski	b óː s ə n s k i
bosna	b óː s n a
bosta	b óː s t a
boste	b óː s t ɛ
bosti	b ɔ̀ː s t i
bova	b óː ʋ a
bozon	b ɔ z óː n
boš	b óː ʃ
božanski	b ɔ ʒ áː n s k i
božanstvo	b ɔ ʒ áː n s t ʋ ɔ
božati	b óː ʒ a t i
božič	b ɔ̀ː ʒ i t͡ʃ
božur	b ɔ ʒ ùː r
božur	b ɔ ʒ úː r
brada	b r àː d a
bradat	b r a d á t
bradatejši	b r a d àː t ɛ j ʃ i
bradavica	b r a d a ʋ ìː t͡s a
bralnik	b r áː l n i k
bran	b r áː n
brana	b r àː n a
branik	b r a n ìː k
braniti	b r a n ìː t i
braniti	b r a n íː t i
braniti	b r àː n i t i
brat	b r á t
brati	b r àː t i
bratranec	b r a t r áː n ə t͡s
bratranec	b r àː t r a n ə t͡s
brazda	b r àː z d a
brazgotina	b r a z ɡ ɔ t ìː n a
brazilija	b r a z ìː l i j a
brazilski	b r a z íː l s k i
brca	b ə́ r t͡s a
brcniti	b ə̀ r t͡s n i t i
brdavs	b ə r d áː ʋ s
brdo	b ə̀ r d ɔ
breg	b r éː k
breskev	b r éː s k ə ʋ
brest	b r èː s t
brest	b r éː s t
brest	b r ɛ́ s t
bresti	b r ɛ̀ː s t i
bretanja	b r ɛ t àː n j a
bretonec	b r ɛ t óː n ə t͡s
bretonka	b r ɛ t óː n k a
bretonski	b r ɛ t óː n s k i
bretonsko	b r ɛ t óː n s k ɔ
bretonščina	b r ɛ t óː n ʃ t͡ʃ i n a
brez	b r ɛ s
breza	b r èː z a
brezoseben	b r ɛ z ɔ s éː b ə n
brezčustven	b r ɛ s t͡ʃ úː s t ʋ ɛ n
briga	b r íː ɡ a
brihten	b r ìː x t ə n
brihtnejši	b r ìː x t n ɛ j ʃ i
brin	b r í n
britanija	b r i t àː n i j a
britanski	b r i t áː n s k i
briti	b r ìː t i
britof	b r íː t ɔ f
brivec	b r íː ʋ ə t͡s
brki	b ə́ r k i
brlog	b ə r l ɔ́ k
brod	b r óː t
brom	b r óː m
brom	b r ɔ́ m
bron	b r ɔ́ n
bruc	b r úː t͡s
bruselj	b r ùː s ə l
brusnica	b r úː s n i t͡s a
bruto	b r úː t ɔ
brv	b ə́ r ʋ
buda	b úː d a
budalo	b u d àː l ɔ
buden	b ùː d ə n
budimpešta	b úː d i m p ɛ ʃ t a
budist	b u d íː s t
budnejši	b ùː d n ɛ j ʃ i
bukarešta	b u k a r éː ʃ t a
bukev	b úː k ə ʋ
bukselj	b ùː k s ə l
bukva	b úː k ʋ a
buldog	b úː l d ɔ k
bunda	b úː n d a
burek	b úː r ɛ k
butan	b u t áː n
butara	b ùː t a r a
buteljka	b u t éː l k a
buča	b ùː t͡ʃ a
car	t͡s àː r
car	t͡s áː r
carica	t͡s a r ìː t͡s a
carstvo	t͡s áː r s t ʋ ɔ
ceh	t͡s éː x
cekin	t͡s ɛ k íː n
cel	t͡s éː ʋ
celina	t͡s ɛ l ìː n a
celo	t͡s ɛ l óː
celota	t͡s ɛ l ɔ̀ː t a
cena	t͡s èː n a
cenzura	t͡s ɛ n z úː r a
cerij	t͡s ɛ̀ː r i j
cerkev	t͡s èː r k ə ʋ
cesar	t͡s ɛ̀ː s a r
cesarica	t͡s ɛ s a r ìː t͡s a
cesarstvo	t͡s ɛ s áː r s t ʋ ɔ
cesta	t͡s èː s t a
cev	t͡s éː ʋ
cezij	t͡s èː z i j
cigara	t͡s i ɡ àː r a
cigara	t͡s i ɡ áː r a
cigareta	t͡s i ɡ a r éː t a
ciklon	t͡s i k l óː n
cilj	t͡s íː l
cimet	t͡s ìː m ɛ t
