abasia	a β̞ a z iː a
abe	aː β̞ ɛ
andare	a ɳ ɖ a r ɛ
bator	b a t t ɔ ɾ ɔ̯
batòrdighi	b a t o r d i ɣ i
biancu	b i a ŋ k u
bìdere	b iː ð̞ ɛ ɾ ɛ
bìdrigu	b iː d̪ ɾ i ɣ u
bìndighi	b i n d i ɣ i
cando	k a ɳ ɖ ɔ
chentu	k e n t u
chenàbura	k ɛ n aː β̞ u ɾ a
corpus	k o ɾ p u z ŭ
cungedare	k u n̙ d͡ʒ ɛ ð aː ɾ ɛ
cungedu	k u n̙ d͡ʒ eː ð u
deghe	d ɛː ɣ ɛ
deghennoe	d ɛ ɣ ɛ n n ɔː ɛ
degheoto	d ɛ ɣ ɛ ɔː t ɔ
deghessete	d ɛ ɣ ɛ s s ɛ t t ɛ
deledda	d̪ ɛ l ɛ ɖː ä
domo	d ɔː m ɔ
duos	d u ɔ z ɔ̯
dòighi	d o i ɣ i
faeddare	f a e ɖ ɖ a r e
formiga	f o ɾ m iː ɣ a
fusile	f u z i l e
fàghere	f aː ɣ ɛ ɾ ɛ
ghenugru	ɡ e n uː ɣ ɾ u
granada	ɡ ɾ a n aː ð a
grogu	ɡ r oː ɣ u
gurteddu	ɡ u ɾ t e ɖ ɖ u
impreare	i m p ɾ ɛ aː ɾ ɛ
ispìritu	i s p iː ɾ i t u
isteddu	i s t e ɖ ɖ u
isteddu	i ɬ ɬ e ɖ ɖ u
istratzare	i s t r a t t͡s a ɾ e
istratzare	i ɬ ɬ r̥ a t t͡s a ɾ e
istratzu	i s t r a t t͡s u
istratzu	i ɬ ɬ r̥ a t t͡s u
mègius	m e d d͡ʒ u z ŭ
nieddu	n i e ɖ ɖ u
noghimentu	n o ɣ i m e n t u
nuraghe	n u r a ɣ e
nàrrere	n a r ɾ ɛ ɾ ɛ
nòghere	n ɔː ɣ ɛ ɾ ɛ
nùmene	n uː m ɛ n ɛ
peus	p e u z ŭ
pronùmene	p ɾ o n uː m ɛ n ɛ
pòdere	p ɔː ð̞ ɛ ɾ ɛ
ruju	r u j j u
semper	s ɛ m p ɛ ɾ ɛ̯
sorrastra	s ɔ r ɾ a s t̪ ɾ a
sorre	s ɔ r ɾ ɛ
sèighi	s eː i ɣ i
sìndria	s i n̪ d̪ ɾ i a
tres	t r ɛ z ɛ̆
trèighi	t r eː i ɣ i
vacàntzia	v a k a n t s i a
ànima	aː n i m a
àteru	a t t e r u
òmine	o m i n ɛ
ùndighi	u n d i ɣ i
