ࢳ	ŋ a
ࢳ	ŋ
ࢴ	ɡ a
ࢴ	ɡ
அஃகம்	ʔ a ɡ a m
அகங்காரம்	ʔ a ɡ a ŋ ɡ aː ɾ̪ a m
அகங்கை	ʔ a ɡ a ŋ ɡ a ɪ̯
அகதி	ʔ a ɡ a d̪ i
அகத்தாழம்	ʔ a ɡ a t̪ː aː ɻ a m
அகத்துக்காரர்	ʔ a ɡ a t̪ː u kː aː ɾ̪ a ɾ̪
அகத்துக்காரி	ʔ a ɡ a t̪ː u kː aː ɾ̪ i
அகந்தை	ʔ a ɡ a n̪ d̪ a ɪ̯
அகப்பு	ʔ a ɡ a pː u
அகப்பை	ʔ a ɡ a pː a ɪ̯
அகம்	ʔ a ɡ a m
அகரமுதலி	ʔ a ɡ a ɾ̪ a m u d̪ a l̪ i
அகரம்	ʔ a ɡ a ɾ̪ a m
அகரவரிசை	ʔ a ɡ a ɾ̪ a ʋ a ɾ̪ i s a ɪ̯
அகராதி	ʔ a ɡ a ɾ̪ aː d̪ i
அகற்று	ʔ a ɡ a ʈː ɾ u
அகலம்	ʔ a ɡ a l̪ a m
அகழி	ʔ a ɡ a ɻ i
அகவன்மகள்	ʔ a ɡ a ʋ a n m a ɡ a ɭ
அக்கச்சி	ʔ a kː a t͡ʃː i
அக்கா	ʔ a kː aː
அக்காமார்	ʔ a kː aː m aː ɾ̪
அக்காள்	ʔ a kː aː ɭ
அக்கினி	ʔ a kː i n i
அக்கினிகர்ப்பம்	ʔ a kː i n i ɡ a ɾ̪ pː a m
அக்கினிகுண்டம்	ʔ a kː i n i ɡ u ɳ ɖ a m
அக்கினிகோத்திரம்	ʔ a kː i n i ɡ oː t̪ː i ɾ̪ a m
அக்கினிச்சுவாலை	ʔ a kː i n i t͡ʃː u ʋ aː l̪ a ɪ̯
அக்கினித்தம்பம்	ʔ a kː i n i t̪ː a m b a m
அக்கினியாஸ்திரம்	ʔ a kː i n i j aː s t̪ i ɾ̪ a m
அக்கு	ʔ a kː u
அக்குள்	ʔ a kː u ɭ
அக்கை	ʔ a kː a ɪ̯
அக்கைச்சி	ʔ a kː a ɪ̯ t͡ʃː i
அங்கம்	ʔ a ŋ ɡ a m
அங்குலி	ʔ a ŋ ɡ u l̪ i
அஞ்ஞை	ʔ a ɲː a ɪ̯
அடங்கு	ʔ a ɖ a ŋ ɡ u
அடவி	ʔ a ɖ a ʋ i
அடி	ʔ a ɖ i
அடிகேயா	ʔ a ɖ i ɡ eː j aː
