บ	b ɔː ˧
บ	b ɔː ˧ b a j ˧ m a j ˦˥
ฎ	d ɔː ˧
ด	d ɔː ˧
ด	d ɔː ˧ d e k̚ ˨˩
ฎ	d ɔː ˧ t͡ɕʰ a ˦˥ d aː ˧
ฟ	f ɔː ˧
ฟ	f ɔː ˧ f a n ˧
ฝ	f ɔː ˩˩˦
ฝ	f ɔː ˩˩˦ f aː ˩˩˦
ฮ	h ɔː ˧
ฮ	h ɔː ˧ n o k̚ ˦˥ h uː k̚ ˥˩
ห	h ɔː ˩˩˦
ห	h ɔː ˩˩˦ h iː p̚ ˨˩
ญ	j ɔː ˧
ย	j ɔː ˧
ย	j ɔː ˧ j a k̚ ˦˥
ญ	j ɔː ˧ j i ŋ ˩˩˦
ก	k ɔː ˧
ก	k ɔː ˧ k a j ˨˩
๛	kʰ oː ˧ m uː t̚ ˥˩
ค	kʰ ɔː ˧
ฅ	kʰ ɔː ˧
ฆ	kʰ ɔː ˧
ฅ	kʰ ɔː ˧ kʰ o n ˧
ค	kʰ ɔː ˧ kʰ w aː j ˧
ฆ	kʰ ɔː ˧ r a ˦˥ kʰ a ŋ ˧
ข	kʰ ɔː ˩˩˦
ฃ	kʰ ɔː ˩˩˦
ข	kʰ ɔː ˩˩˦ kʰ a j ˨˩
ฃ	kʰ ɔː ˩˩˦ kʰ u a̯ t̚ ˨˩
ฦ	l ɯ ʔ ˦˥
ล	l ɔː ˧
ฬ	l ɔː ˧
ล	l ɔː ˧ l i ŋ ˧
ฬ	l ɔː ˧ t͡ɕ u ˨˩ l aː ˧
ม	m ɔː ˧
ม	m ɔː ˧ m aː ˦˥
ณ	n a ʔ ˦˥
ณ	n ɔː ˧
น	n ɔː ˧
ณ	n ɔː ˧ n eː n ˧
น	n ɔː ˧ n uː ˩˩˦
ป	p ɔː ˧
ป	p ɔː ˧ p l aː ˧
พ	pʰ ɔː ˧
ภ	pʰ ɔː ˧
พ	pʰ ɔː ˧ pʰ aː n ˧
ภ	pʰ ɔː ˧ s a m ˩˩˦ pʰ a w ˧
ผ	pʰ ɔː ˩˩˦
