aek	ʔ a k ˥
aemq	ʔ a m ˧˥
aen	ʔ a n ˨˦
aj	ʔ a ˥
angq	ʔ aː ŋ ˧˥
bae	p a i ˨˦
baed	p a t ˧
baih	p aː i ˧
bak	p aː k ˧˥
bat	p aː t ˧˥
baux	p aː u ˦˨
beg	p eː k ˧
beix	p e i ˦˨
beng	p eː ŋ ˨˦
bengz	p eː ŋ ˧˩
bet	p eː t ˧˥
bi	p i ˨˦
bing	p i ŋ ˨˦
bingz	p i ŋ ˧˩
bit	p i t ˥
biuj	p i u ˥
biz	p i ˧˩
boemx	p o m ˦˨
boh	p o ˧
boi	p oː i ˨˦
boux	p o u ˦˨
buh	p u ˧
bwn	p ɯ n ˨˦
bwt	p ɯ t ˥
bya	pʲ a ˨˦
byaek	pʲ a k ˥
byoem	pʲ o m ˨˦
caem	ɕ a m ˨˦
caet	ɕ a t ˥
caeuq	ɕ a u ˧˥
cag	ɕ aː k ˧
cam	ɕ aː m ˨˦
cangh	ɕ aː ŋ ˧
cangz	ɕ aː ŋ ˧˩
cauj	ɕ aː u ˥
caux	ɕ aː u ˦˨
cax	ɕ a ˦˨
caz	ɕ a ˧˩
ceih	ɕ e i ˧
ceij	ɕ e i ˥
cej	ɕ e ˥
cenh	ɕ eː n ˧
ci	ɕ i ˨˦
cib	ɕ i p ˧
cien	ɕ iː n ˨˦
cieng	ɕ iː ŋ ˨˦
ciengh	ɕ iː ŋ ˧
cienh	ɕ iː n ˧
cih	ɕ i ˧
cij	ɕ i ˥
ciq	ɕ i ˧˥
coemx	ɕ o m ˦˨
coenz	ɕ o n ˧˩
congh	ɕ oː ŋ ˧
cou	ɕ o u ˨˦
couh	ɕ o u ˧
couj	ɕ o u ˥
cuengh	ɕ uː ŋ ˧
cung	ɕ u ŋ ˨˦
cwz	ɕ ɯ ˧˩
da	t a ˨˦
daek	t a k ˥
daemz	t a m ˧˩
daengq	t a ŋ ˧˥
daengz	t a ŋ ˧˩
daep	t a p ˥
daeuj	t a u ˥
dah	t a ˧
dai	t aː i ˨˦
daih	t aː i ˧
dangq	t aː ŋ ˧˥
dangz	t aː ŋ ˧˩
dawh	t a ɯ ˧
de	t e ˨˦
demh	t eː m ˧
diemz	t iː m ˧˩
dienh	t iː n ˧
diet	t iː t ˧˥
din	t i n ˨˦
doeg	t o k ˧
doek	t o k ˥
doeng	t o ŋ ˨˦
doengj	t o ŋ ˥
doengz	t o ŋ ˧˩
doj	t o ˥
dou	t o u ˨˦
duh	t u ˧
duix	t uː i ˦˨
duz	t u ˧˩
dwg	t ɯ k ˧
eij	ʔ e i ˥
ep	ʔ eː p ˧˥
faenz	f a n ˧˩
faex	f a i ˦˨
faiq	f aː i ˧˥
fangz	f aː ŋ ˧˩
fanh	f aː n ˧
fanx	f aː n ˦˨
fax	f a ˦˨
feih	f e i ˧
feiz	f e i ˧˩
fouz	f o u ˧˩
fuengz	f uː ŋ ˧˩
fwed	f ɯː t ˧
fwen	f ɯː n ˨˦
fwj	f ɯ ˥
fwn	f ɯ n ˨˦
fwngz	f ɯ ŋ ˧˩
ga	k a ˨˦
gaej	k a i ˥
gaeng	k a ŋ ˨˦
gaeq	k a i ˧˥
gag	k aː k ˧
gai	k aː i ˨˦
gaiq	k aː i ˧˥
gaj	k a ˥
gangj	k aː ŋ ˥
gawq	k a ɯ ˧˥
geiz	k e i ˧˩
gemj	k eː m ˥
gen	k eː n ˨˦
geuz	k eː u ˧˩
gienz	k iː n ˧˩
gij	k i ˥
gim	k i m ˨˦
gingj	k i ŋ ˥
giuz	k i u ˧˩
goemz	k o m ˧˩
goeng	k o ŋ ˨˦
goep	k o p ˥
got	k oː t ˧˥
gou	k o u ˨˦
gouh	k o u ˧
gouj	k o u ˥
guek	k uː k ˧˥
guh	k u ˧
guk	k u k ˥
gun	k u n ˨˦
gvaz	kʷ a ˧˩
gwh	k ɯ ˧
gwih	k ɯː i ˧
gwn	k ɯ n ˨˦
gwz	k ɯ ˧˩
gyaeq	kʲ a i ˧˥
gyaeu	kʲ a u ˨˦
gyaeuj	kʲ a u ˥
gyaez	kʲ a i ˧˩
gyaq	kʲ a ˧˥
gyoengq	kʲ o ŋ ˧˥
gyoij	kʲ oː i ˥
gyong	kʲ oː ŋ ˨˦
gyu	kʲ u ˨˦
haemh	h a m ˧
haemz	h a m ˧˩
haeuj	h a u ˥
haeux	h a u ˦˨
haex	h a i ˦˨
hai	h aː i ˨˦
haih	h aː i ˧
haij	h aː i ˥
haiz	h aː i ˧˩
haj	h a ˥
hangh	h aː ŋ ˧
hanq	h aː n ˧˥
hau	h aː u ˨˦
hauh	h aː u ˧
hawj	h a ɯ ˥
hek	h eː k ˧˥
heu	h eː u ˨˦
heuj	h eː u ˥
hix	h i ˦˨
ho	h o ˨˦
hoengq	h o ŋ ˧˥
hoengz	h o ŋ ˧˩
hoiq	h oː i ˧˥
hong	h oː ŋ ˨˦
hoz	h o ˧˩
hung	h u ŋ ˨˦
huz	h u ˧˩
hwnj	h ɯ n ˥
hwnz	h ɯ n ˧˩
ien	ʔ iː n ˨˦
iq	ʔ i ˧˥
it	ʔ i t ˥
laeg	l a k ˧
laep	l a p ˥
laeuj	l a u ˥
lai	l aː i ˨˦
lan	l aː n ˨˦
lauz	l aː u ˧˩
lieng	l iː ŋ ˨˦
liengz	l iː ŋ ˧˩
lienh	l iː n ˧
lij	l i ˥
lingz	l i ŋ ˧˩
linh	l i n ˧
linx	l i n ˦˨
loeg	l o k ˧
loek	l o k ˥
loengx	l o ŋ ˦˨
loh	l o ˧
loq	l o ˧˥
lueg	l uː k ˧
lumj	l u m ˥
lumz	l u m ˧˩
lungz	l u ŋ ˧˩
lwed	l ɯː t ˧
lwg	l ɯ k ˧
ma	m a ˨˦
maenz	m a n ˧˩
maet	m a t ˥
maiq	m aː i ˧˥
mak	m aː k ˧˥
manh	m aː n ˧
maux	m aː u ˦˨
max	m a ˦˨
maz	m a ˧˩
mbaengq	ɓ a ŋ ˧˥
mbaeu	ɓ a u ˨˦
mbaj	ɓ a ˥
mbanj	ɓ aː n ˥
mbaq	ɓ a ˧˥
mbin	ɓ i n ˨˦
mbinj	ɓ i n ˥
mbonq	ɓ oː n ˧˥
mboq	ɓ o ˧˥
mbouj	ɓ o u ˥
mbwk	ɓ ɯ k ˥
mbwn	ɓ ɯ n ˨˦
meh	m e ˧
meiq	m e i ˧˥
mengz	m eː ŋ ˧˩
meuz	m eː u ˧˩
miz	m i ˧˩
moed	m o t ˧
mok	m oː k ˧˥
moq	m o ˧˥
mou	m o u ˨˦
moz	m o ˧˩
mui	m uː i ˨˦
mumh	m u m ˧
mwngz	m ɯ ŋ ˧˩
mwz	m ɯ ˧˩
nae	n a i ˨˦
naek	n a k ˥
naemj	n a m ˥
naeng	n a ŋ ˨˦
naengh	n a ŋ ˧
naeuz	n a u ˧˩
nag	n aː k ˧
naj	n a ˥
naz	n a ˧˩
ndaej	ɗ a i ˥
ndaem	ɗ a m ˨˦
ndaeng	ɗ a ŋ ˨˦
ndaengq	ɗ a ŋ ˧˥
ndaep	ɗ a p ˥
ndaij	ɗ aː i ˥
ndaw	ɗ a ɯ ˨˦
ndei	ɗ e i ˨˦
ndeu	ɗ eː u ˨˦
nding	ɗ i ŋ ˨˦
ndoeng	ɗ o ŋ ˨˦
ndok	ɗ oː k ˧˥
ndwen	ɗ ɯː n ˨˦
neix	n e i ˦˨
nengz	n eː ŋ ˧˩
neq	n e ˧˥
ngaenz	ŋ a n ˧˩
ngeih	ŋ e i ˧
ngoenz	ŋ o n ˧˩
ngoh	ŋ o ˧
ngux	ŋ u ˦˨
ngwnz	ŋ ɯ n ˧˩
ngwz	ŋ ɯ ˧˩
nienz	n iː n ˧˩
ninz	n i n ˧˩
noh	n o ˧
nou	n o u ˨˦
nuengx	n uː ŋ ˦˨
nyaen	ɲ a n ˨˦
nyaengq	ɲ a ŋ ˧˥
nyamx	ɲ aː m ˦˨
nyib	ɲ i p ˧
nyied	ɲ iː t ˧
nyued	ɲ uː t ˧
nyungz	ɲ u ŋ ˧˩
nywj	ɲ ɯ ˥
raemx	h a m ⁴
raemx	l a m ⁴
raemx	n a m ⁴
raemx	n oː m ⁴
raemx	r a m ⁴
raemx	s a m ⁴
raemx	z a m ⁴
raemx	ɣ a m ³
raemx	ɣ a m ˦˨
raemx	ɣ a m ⁴
raen	ɣ a n ˨˦
raeuz	ɣ a u ˧˩
ranz	ɣ aː n ˧˩
reih	ɣ e i ˧
rengx	ɣ eː ŋ ˦˨
rib	ɣ i p ˧
riuj	ɣ i u ˥
roeg	ɣ o k ˧
roek	ɣ o k ˥
roen	ɣ o n ˨˦
roengq	ɣ o ŋ ˧˥
rongh	ɣ oː ŋ ˧
rox	ɣ o ˦˨
ruenz	ɣ uː n ˧˩
rumz	ɣ u m ˧˩
ruz	ɣ u ˧˩
rwed	ɣ ɯː t ˧
rwi	ɣ ɯː i ˨˦
rwz	ɣ ɯ ˧˩
sa	θ a ˨˦
sae	θ a i ˨˦
saen	θ a n ˨˦
saenz	θ a n ˧˩
sai	θ aː i ˨˦
sam	θ aː m ˨˦
sap	θ aː p ˧˥
sau	θ aː u ˨˦
saw	θ a ɯ ˨˦
seiq	θ e i ˧˥
seng	θ eː ŋ ˨˦
sengj	θ eː ŋ ˥
sien	θ iː n ˨˦
siengj	θ iː ŋ ˥
siet	θ iː t ˧˥
sim	θ i m ˨˦
singz	θ i ŋ ˧˩
soemj	θ o m ˥
sok	θ oː k ˧˥
son	θ oː n ˨˦
song	θ oː ŋ ˨˦
sou	θ o u ˨˦
suen	θ uː n ˨˦
swiz	θ ɯː i ˧˩
swngj	θ ɯ ŋ ˥
swt	θ ɯ t ˥
va	β a ˨˦
vah	β a ˧
vaiz	β aː i ˧˩
viz	β i ˧˩
vuengz	β uː ŋ ˧˩
vunz	β u n ˧˩
w	ʔ ɯ ˨˦
yaem	j a m ˨˦
yaeuh	j a u ˧
yaeuj	j a u ˥
yah	j a ˧
yawj	j a ɯ ˥
yieb	j iː p ˧
yiengz	j iː ŋ ˧˩
yinz	j i n ˧˩
youx	j o u ˦˨
youz	j o u ˧˩
yungh	j u ŋ ˧
yw	j ɯ ˨˦
