abantu	a ɓ áː n t u	5874
amabele	a m á ɓ eː l é	29
amabele	á m a ɓ éː l e	29
amafutha	á m a f ûː tʰ a	41
amahloni	á m a ɬ ôː n i	13
amakha	á m aː kʰ á	0
amakhaza	á m a kʰ âː z a	28
amakhosi	á m áꜜ kʰ óː s í	168
amakhwezikhwezi	á m a kʰ w e z i kʰ w êː z i	0
amala	a m áː l a	0
amandla	a m áː n ɮ a	871
amanga	a m áː n ɡ a	131
amanzi	á m áː n z i	707
bona	ɓ oː n á	404
c	ǀ	82
cha	ǀʰ á	269
futhi	f uː tʰ i	7678
futhi	f úː tʰ i	7678
ibala	îː ɓ âː l a	26
ibele	îː ɓ éː l e	12
ibhala	îː b áː l a	2
ibhasi	îː b áː s i	54
ibhayibheli	îː b a j í b eː l i	135
ibhayisikili	îː b a j i s í k iː l i	14
ibhayisikobho	îː b a j í s i k óː b o	0
ibhaza	îː b a z âː	0
ibhentshi	îː b éː ɲ t ʃ i	15
ibhimbi	îː b îː m b i	0
ibhodlo	íː b oː ɮ o	0
ibhodwe	íː b oː d w é	3
ibhokisi	iː b o ɠ îː s i	25
ibhola	îː b óː l a	229
ibhomu	îː b ôː m u	7
ibhudla	îː b ûː ɮ a	0
ibhuku	îː b ûː ɠ u	15
ibhulakufesi	îː b u l a ɠ ú f eː s i	1
ibhulashi	îː b u l áː ʃ i	1
ibhuleki	îː b u l éː ɠ i	2
ibomvu	íː ɓ oː m v ú	1
ibululu	îː ɓ ú l uː l ú	0
ibumba	îː ɓ ûː m b a	1
ibunzi	îː ɓ úː n z i	0
icebo	îː ǀ éː ɓ o	40
ichibi	íː ǀʰ iː ɓ í	4
ichwane	îː ǀʰ w áː n e	1
icilongo	îː ǀ i l óː n ɡ o	7
icukazi	îː ǀ ú ɠ aː z i	0
iculo	íː ǀ uː l o	43
idada	íː d aː d a	1
idesiki	iː d e s îː ɠ i	1
idikazi	iː d i ɠ âː z i	0
idimoni	iː d i m ôː n i	3
idolo	íː d oː l o	26
idolobha	iː d o l ôː b a	84
idube	îː d úː ɓ e	1
ifa	îː f á	99
ifotho	îː f óː tʰ o	0
ifu	íː f u	9
ifulentshi	îː f u l éː ɲ t ʃ i	0
igalofu	iː ɡ a l ôː f u	3
igama	îː ɡ âː m a	695
iganu	íː ɡ aː n ú	0
igazi	íː ɡ aː z í	189
igceke	íːᶢ ǀʱ eː ɠ e	6
igciwane	íːᶢ ǀʱ i w áː n e	60
igcukumuva	íːᶢ ǀʱ u ɠ u m uː v á	0
igedlela	iː ɡ é ɮ eː l a	0
igeja	íː ɡ eː d ʒ a	6
igilavu	îː ɡ i l âː v u	0
igilebhisi	îː ɡ i l é b iː s i	0
igobongo	îː ɡ o ɓ óː n ɡ o	2
igola	îː ɡ óː l a	0
igoli	îː ɡ óː l i	134
igolide	îː ɡ o l íː d e	27
igoqo	îː ɡ óː ǃ o	0
igugu	íː ɡ uː ɡ u	8
igula	îː ɡ úː l a	3
igumbi	îː ɡ úː m b i	22
igundane	iː ɡ ú n d aː n e	1
igundwane	iː ɡ ú n d w aː n e	0
igwinya	íː ɡ w iː ɲ á	0
igxolo	îːᶢ ǁʱ ôː l o	2
ihawa	îː h áː w a	0
ihhala	îː ɦ áː l a	0
ihhashi	îː ɦ áː ʃ i	10
ihhofu	îː ɦ óː f u	0
ihholo	îː ɦ óː l o	19
ihhotela	îː ɦ o t éː l a	9
ihhovisi	iː ɦ ó v iː s i	134
ihlathi	îː ɬ âː tʰ i	9
ihlo	îː ɬ o	5
ihlobo	íː ɬ oː ɓ o	5
ihlombe	îː ɬ ôː m b e	53
iholide	iː h ó l iː d e	7
ihora	îː h óː r a	52
ihubo	íː h uː ɓ o	14
ijaji	îː d ʒ áː d ʒ i	127
ijazi	îː d ʒ áː z i	10
ijele	îː d ʒ êː l e	8
ijezi	íː d ʒ eː z í	69
ijokwe	îː d ʒ óː ɠ w e	1
ijuba	íː d ʒ uː ɓ a	1
ikalikuni	íː k a l i k úː n i	0
ikamela	iː k á m eː l a	3
ikati	îː k áː t i	17
ikatshana	îː k á t ʃ aː n a	0
ikesi	îː k éː s i	3
ikhabe	îː kʰ áː ɓ e	0
ikhabethe	iː kʰ á ɓ eː tʰ e	2
ikhala	íː kʰ aː l a	31
ikhalenda	iː kʰ á l eː n d a	8
ikhanda	îː kʰ âː n d a	125
ikhanjana	îː kʰ a ɲ d ʒ áː n a	1
ikhasi	íː kʰ aː s i	44
ikhasimende	îː kʰ a s i m éː n d e	35
ikhaya	îː kʰ âː j a	64
ikhehla	íː kʰ eː ɬ á	10
ikheji	îː kʰ éː d ʒ i	0
ikhekhe	îː kʰ éː kʰ e	8
ikheli	îː kʰ éː l i	45
ikhethini	iː kʰ é tʰ iː n i	0
ikhishi	íː kʰ iː ʃ i	7
ikholwase	îː kʰ o l w áː s e	0
ikhonsathi	iː kʰ ó n s aː tʰ i	20
ikhukhamba	îː kʰ u kʰ áː m b a	0
ikhukhu	íː kʰ uː kʰ u	0
ikhulu	îː kʰ ûː l u	1
ikilasi	îː k i l áː s i	6
ikilogo	îː k i l óː ɡ o	0
iklabishi	iː k x á ɓ iː ʃ i	3
iklwa	îː k x w á	0
ilahle	îː l âː ɬ e	4
ilanga	íː l aː n ɡ a	233
ilantshi	îː l áː ɲ t ʃ i	2
ilayisense	iː l a j í s eː n s e	30
ilayisi	iː l á j iː s i	2
ilembe	íː l eː m b é	8
ilobolo	îː l o ɓ óː l o	8
iloli	íː l oː l í	31
ilulwane	îː l u l w âː n e	0
ilungelo	iː l ú n ɡ eː l o	196
imadlana	í m a ɮ áː n a	6
imali	í m aː l í	2024
imamba	í m âː m b a	1
