অভ্যাস	ɔɪdbʱaˣ
আমি	ami
উইচিৰিঙা	uisiɹiŋa
উৰা	uɹa
ওলন্দাজ	ʊlɔndaz
কহ	kɔʱ
কাজাখস্তান	kazaxɔstan
কাজাখস্তান	kazakʰɔstan
কেন্দ্ৰ	kɛndɔ
ক্ৰিকেট	kɹikɛt
ক্ৰিকেট	kikɛt
চছমা	sɔsma
চহৰ	sɔɦɔɹ
চুলি	suli
চৰিত্ৰ	sɔɹittɔ
ছাঁ	saː
ছাঁ	sãʱ
জলপান	zɔlpan
জাঙীয়া	zaŋia
জোঙা	zʊŋa
জোঙালী	zʊŋali
জোঙোৱা	zʊŋʊa
ঢোল	dʱʊl
তথ্য	tɔɪttʱɔ
থাইলেণ্ড	tʰaɪlɛn
দ	dɔː
দৈ	dɔɪ
ধনু	dʱɔnu
ধৰ্ম	dʱɔrmɔ
নিগনি	niɡɔni
নোম	nʊm
পায়স	paeɔx
পেচাপ	pɛsap
পোন্ধৰ	pʊndʱɔɹɔ
বজা	bɔza
বহুত	bɔɦut
বাজা	baza
ব্যাকৰণ	bʲakɔɹɔn
ব্যাকৰণ	biakɔʴn
বৰ	bɔɹ
ভেকুলী	bʱekuli
মঙলবাৰ	mɔŋɔlbaɹ
মন	mɔn
মাখি	makʰi
মাখি	maxi
মৌ	mɔʊ
মৌমাখি	mɔʊmakʰi
মৌমাখি	mɔʊmaxi
ম’হ	moʱ
ম’হ	mɔʱ
লিখটেনষ্টাইন	lixtɛnstaɪn
লোম	lʊm
শাক	xak
শাক	xaɡ
শেষ	xɛx
শেষ	xɛʱ
ষোল্ল	xʊlːɔ
সাধু	xadʱu
সৌৰজগত	xɔʊɹɔzɔɡɔt
হাতী	hati
ৰোম	ɹʊm
