aaron	aːaron
abacaenum	abakae̯nʊ̃
abace	abakɛ
abacinaturus	abakɪnaːtuːrʊs
abacinatus	abakɪnaːtʊs
abacino	abakɪnoː
abacinus	abakiːnʊs
abacinus	abat͡ʃiːnus
abacis	abakɪs
abactius	abaːktiʊs
abactor	abaːktɔr
abactus	abaːktʊs
abaculus	abakʊɫʊs
abacum	abakʊ̃
abacus	abakʊs
abaesamis	abae̯samɪs
abaestuatum	abae̯stʊaːtʊ̃
abaestuo	abae̯stʊoː
abagmentum	abaɡmɛntʊ̃
abalienatio	abalienaːt͡sio
abalietas	abaliɛtaːs
abalietas	abaliːetas
abambulo	abambʊɫoː
abamita	abamɪta
abante	abantɛ
abanteus	abanteːʊs
abantius	abantiʊs
abascantus	abaskantʊs
abascus	abaskʊs
abavunculus	abawʊŋkʊɫʊs
abavus	abawʊs
abbacino	abbakɪnoː
abbatia	abbaːt͡sia
abbatialis	abbaːtiaːlɪs
abbatialis	abbat͡siaːlis
abbatissa	abbaːtɪssa
abbatizo	abbaːtɪzoː
abbreviandus	abbrɛwiandʊs
abbreviatio	abbrɛwiaːtioː
abbreviatulus	abbrɛwiaːtʊɫʊs
abbreviatum	abbrɛwiaːtʊ̃
abbreviaturus	abbrɛwiaːtuːrʊs
abbrevio	abbrɛwioː
abchasicus	abkʰasɪkʊs
abderitanus	abdeːriːtaːnʊs
abderitanus	abderitaːnus
abderum	abdeːrʊ̃
abderus	abdeːrʊs
abdicatio	abdɪkaːtioː
abdicative	abdɪkaːtiːweː
abdicativus	abdɪkaːtiːwʊs
abdicatorius	abdɪkaːtoːriʊs
abdico	abdɪkoː
abditivus	abdɪtiːwʊs
abditus	abdɪtʊs
abdomen	abdoːmɛn
abdominalis	abdoːmɪnaːlɪs
abdua	abdʊa
abductio	abdʊktioː
abductivus	abdʊktiːwʊs
abductoris	abdʊktoːrɪs
abecedarium	abɛkɛdaːriʊ̃
abecedarium	abet͡ʃedaːrium
abecedarius	abɛkɛdaːriʊs
abella	abɛlla
abellana	abɛllana
abellinum	abɛlliːnʊ̃
abellinum	abelliːnum
abelus	abɛɫʊs
abequito	abɛkᶣɪtoː
aberceo	abɛrkeoː
aberdeenensis	abɛrdeːnẽːsɪs
aberrant	abɛrrant
aberrante	abɛrrantɛ
aberrantes	abɛrranteːs
aberratio	abɛrraːtioː
aberro	abɛrroː
abhibeo	abhɪbeoː
abhinc	abɪŋk
abhorreo	abhɔrreoː
abhorresco	abhɔrreːskoː
abia	abiːa
abiathar	abjaːtar
abicio	abɪkioː
abicio	abjɪkioː
