a	a
aba	aba
abac	abak
abace	abat͡ʃe
abandonabil	abandonabil
abaxial	abaksjal
abătut	abətut
abdomen	abdomen
abdominal	abdominal
aberant	aberant
aberativ	aberativ
abilita	abilita
abominabil	abominabil
abordaj	abordaʒ
abreviere	abreviere
abrupt	abrupt
absent	absent
absent	apsent
absolut	absolut
absolut	apsolut
absorbit	absorbit
abstract	abstrakt
absurd	absurd
abundent	abundent
academic	akademik
academică	akademikə
acaju	akaʒu
acarinată	akarinatə
acătării	akətərij
accesibil	akt͡ʃesibil
accidental	akt͡ʃidental
acea	at͡ʃe̯a
aceasta	at͡ʃe̯asta
această	at͡ʃe̯astə
aceeași	at͡ʃee̯aʃʲ
aceeași	at͡ʃejaʃʲ
acei	at͡ʃej
acel	atʃel
acele	at͡ʃele
acele	at͡ʃele
aceleași	at͡ʃele̯aʃʲ
acelei	at͡ʃelej
acelor	at͡ʃelor
acelor	at͡ʃelor
acelui	at͡ʃeluj
aceră	at͡ʃerə
acest	at͡ʃest
acetilsalicilic	at͡ʃetilsalit͡ʃilik
achiziționare	akizit͡sionare
acolo	akolo
acoperit	akoperit
acre	akre
acri	akri
acri	akri
acrișor	akriʃor
acru	akru
activ	aktiv
activa	aktiva
actor	aktor
actuar	aktuar
acuzat	akuzat
acvatic	akvatik
acvilidă	akvilidə
adaptabil	adaptabil
adăpostit	adəpostit
adânc	adɨŋk
adânci	adɨnt͡ʃʲ
adânci	adɨnt͡ʃi
adevărat	adevərat
adictiv	adiktiv
adicție	adikt͜siʲe
administratoare	administrato̯are
administrator	administrator
admisibil	admisibil
adnota	adnota
adora	adora
adorabil	adorabil
adormit	adormit
aducătoare	adukəto̯are
adult	adult
adulte	adulte
adunător	adunətor
adverbial	adverbial
afemeiat	afemejat
aferim	aferim
afla	afla
afront	afront
afund	afund
afurisit	afurisit
agățat	aɡət͡sat
agente	ad͡ʒente
ager	ad͡ʒer
agita	ad͡ʒita
aglomerat	aɡlomerat
agrafă	aɡrafə
agresiv	aɡresiv
agricol	aɡrikol
agricultor	aɡrikultor
agrimensor	aɡrimensor
agronom	aɡronom
agronomă	aɡronomə
agust	aɡust
ai	aj
aia	aja
aiest	ajest
aievea	ajeve̯a
aisberg	ajsberɡ
aiurea	ajure̯a
aiurit	ajurit
ajutător	aʒutətor
al	al
alamă	alamə
alarma	alarma
alb	alb
alba	alba
albatros	albatros
albă	albə
albăstriu	albəstriw
albăstrui	albəstruj
albe	albe
albi	albʲ
albi	albi
albicios	albit͡ʃʲos
albinar	albinar
albină	albinə
albinărel	albinərel
albinos	albinos
alchimic	alcimik
ale	ale
alea	ale̯a
aleatoriu	aleatorju
alene	alene
alexandru	aleksandru
alfabet	alfabet
algebric	ald͡ʒebrik
algoritm	alɡoritm
alo	alo
alogic	alod͡ʒik
alotropic	alotropik
alpaca	alpaka
alt	alt
altă	altə
altcândva	altkɨndva
altceva	altt͡ʃeva
altcineva	altt͡ʃineva
altera	altera
altoi	altoi
altoi	altoj
altundeva	altundeva
aluminifer	aluminifer
aluminiu	aluminju
alunar	alunar
am	am
amabil	amabil
amabile	amabile
amabili	amabilʲ
amar	amar
amarilis	amarilis
amănunțit	amənunt͡sit
amărăcios	amərət͡ʃʲos
amărât	amərɨt
ambii	ambij
american	amerikan
americancă	amerikaŋkə
americani	amerikanʲ
amestecat	amestekat
amețit	amet͡sit
amfibian	amfibian
amfibian	amfibjan
amiază	amjazə
amical	amikal
amicale	amikale
analist	analist
analistă	analistə
analog	analoɡ
analogic	analod͡ʒik
anarhic	anarhik
anatide	anatide
anatomia	anatomia
anatomic	anatomik
anatomist	anatomist
andorran	andoran
andrea	andre̯a
anecdotic	anekdotik
angheluță	anɡelut͡sə
anglican	aŋɡlikan
anglofon	aŋɡlofon
animal	animal
animală	animalə
animatoare	animato̯are
animator	animator
anormal	anormal
anotimp	anotimp
anterior	anterior
antic	antik
antic	antik
antiguan	antiɡuan
antilopă	antilopə
antrenare	antrenare
antropolog	antropoloɡ
antropologă	antropoloɡə
anual	anual
anulat	anulat
anumit	anumit
apartament	apartament
apatrid	apatrid
apărătoare	apərəto̯are
apătos	apətos
apicultoare	apikulto̯are
apicultor	apikultor
apos	apos
aprig	apriɡ
aprilie	aprilije
aprins	aprins
apropo	apropo
apus	apus
ar	ar
ara	ara
ara	ara
arab	arab
arabic	arabik
arabil	arabil
arahnidă	arahnidə
aramă	aramə
aratru	aratru
arămiu	arəmiw
arător	arətor
arătos	arətos
arboricultoare	arborikulto̯are
arboricultor	arborikultor
are	are
argentina	ɑrdʒentina
argilos	ard͡ʒilos
argintie	ard͡ʒintie
argintii	ard͡ʒintij
argon	arɡon
arheolog	arheoloɡ
arheologă	arheoloɡə
arhicunoscut	arhikunoskut
arhitect	arhitekt
arhitectă	arhitektə
arhivar	arhivar
arhivist	arhivist
arinos	arinos
aritmetic	aritmetik
armat	armat
armean	arme̯an
armeană	arme̯anə
armeancă	arme̯aŋkə
armoniza	armoniza
armurier	armurier
arogant	aroɡant
ars	ars
arsen	arsen
artă	artə
artistic	artistik
ascunde	askunde
ascuțit	askut͡sit
asemenea	asemene̯a
asistat	asistat
aspirator	aspirator
aspru	aspru
astăzi	astəzʲ
astea	aste̯a
astrobiolog	astrobioloɡ
astrobiologă	astrobioloɡə
astrofizician	astrofizit͡ʃian
astrofiziciană	astrofizit͡ʃianə
astronaut	astronaut
astronaută	astronautə
astronom	astronom
astronomă	astronomə
aș	aʃ
atare	atare
atât	atɨt
atâta	atɨta
atent	atent
atinge	atind͡ʒe
atlantic	atlantik
atom	atom
atotputernic	atotputernik
atotștiutor	atotʃtiutor
au	aw
audiovizual	audiovizual
august	awɡust
august	awɡust
aur	awr
auriu	auriw
australian	australian
aușel	auʃel
autohton	autohton
autohton	autohton
automat	automat
automată	automatə
automate	automate
avantajos	avantaʒos
avaria	avaria
avânta	avɨnta
avea	ave̯a
aventura	aventura
aviatoare	aviato̯are
aviator	aviator
avion	avjon
aviva	aviva
avocat	avokat
avocată	avokatə
avut	avut
azi	azʲ
azot	azot
azotos	azotos
ă	ə
ă	ə
ăia	əja
ăl	əl
ăleia	əleja
ălora	əlora
ăluia	əluja
ăst	əst
ăstora	əstora
ăstuia	əstuja
b	be
b	b
b	b
b	be
baban	baban
babau	babaw
babaua	babawa
balcon	balkon
balenă	balenə
balerină	balerinə
baletistă	baletistə
bara	bara
barman	barman
barmaniță	barmanit͡sə
barză	barzə
bască	baskə
bă	bə
bădăran	bədəran
băgăreț	bəɡəret͡s
băi	bəj
băl	bəl
bălai	bəlaj
bălan	bəlan
bălțat	bəlt͡sat
bărbat	bərbat
bărbați	bərbatsʲ
bărbătos	bərbətos
bărbos	bərbos
bătrân	bətrɨn
băubil	bəubil
băut	bəut
băutor	bəutor
băutură	bəuturə
bâtlan	bɨtlan
bebe	bebe
bebe	bebe
beep	bip
bej	beʒ
bengal	beŋɡal
benzinărie	benzinərie
bere	bere
beriliu	berilju
berlin	bɛrlin̪
bete	bete
bețivan	bet͡sivan
