aalenian	aːlenian
abandona	abandona
abandonai	abandonaj
abandonam	abandonam
abandonară	abandonarə
abandonarăm	abandonarəm
abandonarăți	abandonarətsʲ
abandonase	abandonase
abandonasem	abandonasem
abandonaseră	abandonaserə
abandonaserăm	abandonaserəm
abandonaserăți	abandonaserətsʲ
abandonaseși	abandonaseʃʲ
abandonași	abandonaʃʲ
abandonat	abandonat
abandonați	abandonatsʲ
abandonau	abandonaw
abandonă	abandonə
abandonăm	abandonəm
abandonând	abandonɨnd
abandonează	abandonjazə
abandonez	abandonez
abandoneze	abandoneze
abandonezi	abandonezʲ
abia	abja
abil	abil
abilă	abilə
abile	abile
abili	abilʲ
absorbi	apsorbi
acasă	akasə
accelera	aktʃelera
accelerai	akt͡ʃeleraj
acceleram	akt͡ʃeleram
accelerară	akt͡ʃelerarə
accelerarăm	akt͡ʃelerarəm
accelerarăți	akt͡ʃelerarətsʲ
accelerase	akt͡ʃelerase
accelerasem	akt͡ʃelerasem
acceleraseră	akt͡ʃeleraserə
acceleraserăm	akt͡ʃeleraserəm
acceleraserăți	akt͡ʃeleraserətsʲ
acceleraseși	akt͡ʃeleraseʃʲ
accelerași	akt͡ʃeleraʃʲ
accelerat	akt͡ʃelerat
accelerați	akt͡ʃelerat͡sʲ
accelerație	akt͡ʃelerat͡sie
accelerau	akt͡ʃeleraw
acceleră	akt͡ʃelerə
accelerăm	akt͡ʃelerəm
accelerând	akt͡ʃelerɨnd
accelerează	akt͡ʃelerjazə
accelerez	akt͡ʃelerez
accelereze	akt͡ʃelereze
accelerezi	akt͡ʃelerezʲ
aceiași	at͡ʃejaʃʲ
acela	at͡ʃela
același	at͡ʃelaʃʲ
aceleiași	at͡ʃelejaʃʲ
acelorași	at͡ʃeloraʃʲ
aceluiași	at͡ʃelujaʃʲ
acesta	at͡ʃesta
aceste	at͡ʃeste
acestea	atʃeste̯a
acestei	at͡ʃestej
acesteia	at͡ʃesteja
acestor	at͡ʃestor
acestora	at͡ʃestora
acestui	at͡ʃestuj
acestuia	at͡ʃestuja
acești	at͡ʃeʃtʲ
aceștia	at͡ʃeʃtja
acid	at͡ʃid
acide	at͡ʃide
acioaie	atʃiwaje
acoperi	akoperi
acronim	akronim
active	aktive
activitate	aktivitate
acuma	akuma
adaptabilitate	adaptabilitate
adăpa	adəpa
adăuga	adəuɡa
adjectiv	adʒektiv
adjective	adʒektive
admire	admire
adorai	adoraj
adorase	adorase
aducător	adukətor
aduce	adutʃe
aerodrom	aerodrom
aeroport	aeɾopoɾt
afgan	afɡan
afinitate	afinitate
afix	afiks
africa	afrika
agăța	aɡət͡sa
agent	adʒent
agentă	ad͡ʒentə
agest	ad͡ʒest
aici	ait͡ʃʲ
ajunge	aʒund͡ʒe
ajuns	aʒuns
ajut	aʒut
ajuta	aʒuta
ajutor	aʒutor
albanez	albanez
albaneză	albanezə
albaneze	albaneze
albanezi	albanezʲ
albastru	albastɾu
albulescu	albulesku
alcool	alkool
alcoolic	alkoolik
alcoolica	alkoolika
alcoolică	alkoolikə
alcoolice	alkoolit͡ʃe
alcoolici	alkoolit͡ʃʲ
alege	aled͡ʒe
ales	ales
alfabete	alfabete
alfabetele	alfabetele
alfabetelor	alfabetelor
alfabetul	alfabetul
alfabetul	alfabetu
alfabetului	alfabetuluj
algerian	ald͡ʒerian
aligator	aliɡator
alte	alte
amaneta	amaneta
amarilisul	amarilisul
amarilisul	amarilisu
amarilisului	amarilisuluj
amariliși	amariliʃʲ
amarilișii	amariliʃiː
amarilișilor	amariliʃilor
america	amerika
americană	amerikanə
americance	ameɾikant͡ʃe
amintesc	amintesk
amintește	aminteʃte
aminti	aminti
amintire	amintire
amorțit	amortsit
amsterdam	amsterdam
amurg	amuɾɡ
an	an
anal	anal
analiza	analiza
analiza	analiza
analizai	analizaj
analizam	analizam
analizară	analizarə
analizarăm	analizarəm
analizarăți	analizarətsʲ
analizase	analizase
analizasem	analizasem
analizaseră	analizaserə
analizaserăm	analizaserəm
analizaserăți	analizaserətsʲ
analizaseși	analizaseʃʲ
analizași	analizaʃʲ
analizat	analizat
analizați	analizat͡sʲ
analizau	analizaw
analiză	analizə
analiză	analizə
analizăm	analizəm
analizând	analizɨnd
analizează	analizjazə
analizez	analizez
analizeze	analizeze
analizezi	analizezʲ
analogie	analod͡ʒie
anarhist	anarhist
anarhistă	anarhistə
anatema	anatema
anatemă	anatemə
anatemă	anatemə
anateme	anateme
anatemei	anatemej
anatemele	anatemele
anatemelor	anatemelor
anatomie	anatomie
andorra	andora
ani	anʲ
anihila	anihila
animali	animalʲ
animalitate	animalitate
anonim	anonim
anonima	anonima
anonimă	anonimə
anonime	anonime
anonimi	anonimʲ
anonimitate	anonimitate
anormalitate	anormalitate
antagonic	antaɡonik
antarctica	antarktika
antonescu	antonesku
antonim	antonim
anțărț	antsərts
anțărț	antsərts
anus	anus
anusul	anusul
anusul	anusu
anusului	anusuluj
anusuri	anusurʲ
anusurile	anusurile
anusurilor	anusurilor
apa	apa
apă	apə
ape	ape
apei	apej
apele	apele
apelor	apelor
apetisant	apetisant
apocalips	apokalips
apocalipse	apokalipse
apocalipsele	apokalipsele
apocalipselor	apokalipselor
apocalipsul	apokalipsul
apocalipsul	apokalipsu
apocalipsului	apokalipsuluj
apocaliptic	apokaliptik
apocaliptica	apokaliptika
apocaliptică	apokaliptikə
apocaliptice	apokaliptit͡ʃe
apocalipticei	apokaliptit͡ʃej
apocalipticele	apokaliptit͡ʃele
apocalipticelor	apokaliptit͡ʃelor
apocaliptici	apokaliptit͡ʃʲ
apocalipticii	apokaliptit͡ʃiː
apocalipticilor	apokaliptit͡ʃilor
apocalipticul	apokaliptikul
apocalipticul	apokaliptiku
apocalipticului	apokaliptikuluj
aproape	apro̯ape
arăta	arəta
arbore	arbore
arbust	arbust
argintiu	aɾd͡ʒintiw
armăsar	arməsar
armăsari	arməsarʲ
armăsarii	arməsariː
armăsarilor	arməsarilor
armăsarul	arməsarul
armăsarul	arməsaru
armăsarului	arməsaruluj
armenia	armenia
arșinic	arʃinik
arșița	arʃitsa
arșiță	arʃitsə
articol	artikol
ascuns	askuns
asexual	aseksual
asexualitate	aseksualitate
asia	asia
asta	asta
astruca	astruka
asturian	asturian
asupra	asupra
asurzea	asurzja
asurzeai	asurzjaj
asurzeam	asurzjam
asurzească	asurzjaskə
asurzeați	asurzjatsʲ
asurzeau	asurzjaw
asurzesc	asurzesk
asurzește	asurzeʃte
asurzești	asurzeʃtʲ
asurzi	asurzi
asurzii	asurziː
asurzim	asurzim
asurzind	asurzind
asurziră	asurzirə
asurzirăm	asurzirəm
asurzirăți	asurzirətsʲ
asurzise	asurzise
asurzisem	asurzisem
asurziseră	asurziserə
asurziserăm	asurziserəm
asurziserăți	asurziserətsʲ
asurziseși	asurziseʃʲ
asurziși	asurziʃʲ
asurzit	asurzit
asurzita	asurzita
asurzită	asurzitə
asurzite	asurzite
asurzitei	asurzitej
asurzitele	asurzitele
asurzitelor	asurzitelor
asurzitul	asurzitul
asurzitul	asurzitu
asurzitului	asurzituluj
asurziți	asurzit͡sʲ
asurziții	asurzit͡siː
asurziților	asurzit͡silor
așa	aʃa
așadar	aʃadar
aștepta	aʃtepta
așteptat	aʃteptat
ataca	ataka
ataraxia	ataraksia
ataraxic	ataraksik
ataraxie	ataraksie
ataraxio	ataraksio
atmosferă	atmosferə
