a	aː
â	a
abad	abad
abad	aːbad
abad	abad
abathocroalaidd	abaθɔkrɔalai̯ð
abathocroalaidd	abaθɔkrɔaːlai̯ð
abathocroalaidd	abaθɔkrɔalai̯ð
aber	abɛr
aber	aːbɛr
aber	abɛr
abertawe	abɛrtau̯ɛ
aberteifi	abɛrtei̯vɪ̞
aberteifi	abɛrtei̯vi
aberteifi	abɛrtiːvi
aberteifi	abɛrtiːvi
aberth	abɛrθ
aberth	aːbɛrθ
aberth	abɛrθ
aberystwyth	abɛrəstwɨ̞θ
aberystwyth	abɛrəstʊi̯θ
aberystwyth	abɛrəstʊɪθ
abl	abl
abl	abl
abl	aːbal
abl	aːbl
abl	aːbal
abl	aːbl
absenoldeb	absɛnɔldɛb
abwyd	abʊɨ̯d
abwyd	aːbʊi̯d
abwyd	abʊi̯d
ac	ak
academaidd	akadɛmai̯ð
academaidd	akadɛmɛð
academaidd	akadɛmɛð
academaidd	akadɛmai̯ð
academaidd	akadɛmɛð
academaidd	akadɛmɛð
acti	akti
actiaf	aktjav
actio	aktjɔ
acw	aku
ach	aːχ
achos	aχɔs
achos	aːχɔs
achos	aχɔs
achos	χɔs
achosaf	aχɔsav
achosaf	aχoːsav
achosi	aχɔsi
achub	aχɨ̞b
achub	aːχɪb
achub	aχɪb
achwyn	aχʊɨ̯n
achwyn	aːχʊi̯n
achwyn	aχʊi̯n
ad	aːd
adael	adaɨ̯l
adael	adɛl
adael	adal
adael	adɛl
adael	adal
adael	aːdai̯l
adael	adai̯l
adael	aːdɛl
adael	adɛl
adael	aːdɛl
adael	adɛl
adain	adai̯n
adain	adɛn
adain	adɛn
adain	aːdai̯n
adain	adai̯n
adain	aːdɛn
adain	adɛn
adain	aːdɛn
adain	adɛn
adanedd	adanɛð
adanedd	adaːnɛð
adanedd	adanɛð
adar	adar
adar	aːdar
adar	adar
adarydd	adarɨ̞ð
adarydd	adaːrɪð
adarydd	adarɪð
adarydda	adarəða
adawed	adau̯ɛd
adeilad	adei̯lad
adeiladu	adei̯ladɨ
adeiladu	adei̯laːdi
adeiladu	adei̯ladi
aden	adɛn
aden	aːdɛn
aden	adɛn
adenydd	adɛnɨ̞ð
adenydd	adeːnɪð
adenydd	adɛnɪð
aderyn	adɛrɨ̞n
aderyn	dɛrɨ̞n
aderyn	dɛrɨ̞n
aderyn	adeːrɪn
aderyn	adɛrɪn
aderyn	deːrɪn
aderyn	dɛrɪn
aderyn	deːrɪn
aderyn	dɛrɪn
adfer	advɛr
adfer	advar
adfer	advar
adfer	advɛr
adferaf	advɛrav
adferaf	advɛra
adferaf	advɛra
adferaf	adveːrav
adferaf	advɛrav
adferaf	adveːra
adferaf	advɛra
adferaf	adveːra
adferaf	advɛra
adferant	advɛrant
adferant	adveːrant
adferant	advɛrant
adferent	advɛrɛnt
adferent	adveːrɛnt
adferent	advɛrɛnt
adferf	advɛrv
adfero	advɛrɔ
adfero	adveːrɔ
adfero	advɛrɔ
adio	adjɔ
adlaw	adlau̯
adnabod	adnabɔd
adnabod	adnaːbɔd
adnabod	adnabɔd
adnabyddaf	adnabəðav
adnabyddaf	adnabəða
adnabyddaf	adnabəða
adnabyddant	adnabəðant
adnabyddi	adnabəðɪ
adnabyddi	adnabəði
adnabyddus	adnabəðɨ̞s
adnabyddus	adnabəðɪs
adnabyddwch	adnabəðʊχ
adnabyddwn	adnabəðʊn
adnebydd	adnɛbɨ̞ð
adnebydd	adneːbɪð
adnebydd	adnɛbɪð
adnodd	adnɔð
adolygaf	adɔləɡav
adolygaf	adɔləɡa
adolygaf	adɔləɡa
adolygu	adɔləɡɨ̞
adolygu	adɔləɡi
adra	adra
adran	adran
adre	adrɛ
adre	adra
adre	adra
adre	adrɛ
adref	adrɛv
adref	adrɛ
adref	adra
adref	adrɛ
adref	adra
adref	adrɛv
adref	adrɛ
adref	adrɛ
adrodd	adrɔð
adroddaf	adrɔðav
adroddaf	adrɔða
adroddaf	adrɔða
adroddaf	adroːðav
adroddaf	adrɔðav
adroddaf	adroːða
adroddaf	adrɔða
adroddaf	adroːða
adroddaf	adrɔða
adroddiad	adrɔðjad
adwaen	adwaɨ̯n
adwaen	adwai̯n
adwaenai	adweɨ̯nai̯
adwaenai	adwei̯nai̯
adwaenant	adweɨ̯nant
adwaenant	adwei̯nant
adwaenech	adweɨ̯nɛχ
adwaenech	adwei̯nɛχ
adwaenem	adweɨ̯nɛm
adwaenem	adwei̯nɛm
adwaenent	adweɨ̯nɛnt
adwaenent	adwei̯nɛnt
adwaenid	adweɨ̯nɪd
adwaenid	adwei̯nɪd
adwaenir	adweɨ̯nɪr
adwaenir	adwei̯nɪr
adwaenit	adweɨ̯nɪt
adwaenit	adwei̯nɪt
adwaenoch	adweɨ̯nɔχ
adwaenoch	adwei̯nɔχ
adwaenom	adweɨ̯nɔm
adwaenom	adwei̯nɔm
adwaenost	adweɨ̯nɔsd
adwaenost	adwei̯nɔsd
adwaenwch	adweɨ̯nʊχ
adwaenwch	adwei̯nʊχ
adwaenwn	adweɨ̯nʊn
adwaenwn	adwei̯nʊn
adwaenynt	adweɨ̯nɨ̞nt
adwaenynt	adwei̯nɪnt
adweinaf	adwei̯nav
adweini	adwei̯ni
adweinid	adwei̯nɪd
adweinir	adwei̯nɪr
adwen	adwɛn
adwthio	adʊθjɔ
addawa	aðau̯a
addawaf	aðau̯av
addawaf	aðau̯a
addawaf	aðau̯a
addo	aðɔ
addo	aːðɔ
addo	aðɔ
addoldy	aðɔldɨ̞
addoldy	aðɔldi
addolgar	aðɔlɡar
addoli	aðɔli
addoli	aðoːli
addoli	aðɔli
addoliad	aðɔljad
addolwr	aðɔlʊr
addolwr	aðoːlʊr
addolwr	aðɔlʊr
addurn	aðɨ̞rn
addurn	aːðɪrn
addurn	aðɪrn
addurno	aðɨ̞rnɔ
addurno	aðɪrnɔ
addysg	aðɨ̞sɡ
addysg	aːðɪsɡ
addysg	aðɪsɡ
addysgu	aðəsɡɨ̞
addysgu	aðəsɡi
aech	aːɨ̯χ
aech	ai̯χ
aed	aːɨ̯d
aed	ai̯d
aeled	eɨ̯lɛd
aeled	ei̯lɛd
aelod	eɨ̯lɔd
aelod	ei̯lɔd
aelwyd	eɨ̯lʊɨ̯d
aelwyd	ei̯lʊi̯d
aem	aːɨ̯m
aem	ai̯m
aen	aːɨ̯n
aen	ai̯n
aent	aːɨ̯nt
aent	ai̯nt
aer	aːɨ̯r
aer	ai̯r
aer	aːr
aer	aːr
aeron	eɨ̯rɔn
aeron	ei̯rɔn
aeronen	eɨ̯rɔnɛn
aeronen	eɨ̯rɔnan
aeronen	eɨ̯rɔnan
aeronen	ei̯roːnɛn
aeronen	ei̯rɔnɛn
aet	aːɨ̯t
aet	ai̯t
aeth	aːɨ̯θ
aeth	aːθ
aeth	aːθ
aeth	ai̯θ
aeth	aːθ
aeth	aːθ
aethai	eɨ̯θai̯
aethai	ei̯θai̯
aethant	eɨ̯θant
aethant	ei̯θant
aethech	eɨ̯θɛχ
aethech	ei̯θɛχ
aethem	eɨ̯θɛm
aethem	ei̯θɛm
aethent	eɨ̯θɛnt
aethent	ei̯θɛnt
aethid	eɨ̯θɪd
aethid	ei̯θɪd
aethit	eɨ̯θɪt
aethit	ei̯θɪt
aethoch	eɨ̯θɔχ
aethoch	ei̯θɔχ
aethoch	ɛθɔχ
aethoch	ɛθɔχ
aethom	eɨ̯θɔm
aethom	ei̯θɔm
aethon	eɨ̯θɔn
aethon	ei̯θɔn
aethon	ɛθɔn
aethon	ɛθɔn
aethont	eɨ̯θɔnt
aethont	ei̯θɔnt
aethost	eɨ̯θɔsd
aethost	ei̯θɔsd
aethpwyd	eɨ̯θpʊɨ̯d
aethpwyd	ei̯θpʊi̯d
aethwn	eɨ̯θʊn
aethwn	ei̯θʊn
af	aːv
af	aː
af	aː
af	aːv
af	aː
af	aː
afal	aval
afal	aːval
afal	aval
afalau	avalaɨ̯
afalau	avalɛ
afalau	avala
afalau	valɛ
afalau	vala
afalau	avalɛ
afalau	avala
afalau	valɛ
afalau	vala
afalau	avaːlai̯
afalau	avalai̯
afalau	avaːlɛ
afalau	avalɛ
afalau	vaːlɛ
afalau	valɛ
afalau	avaːlɛ
afalau	avalɛ
afalau	vaːlɛ
afalau	valɛ
afallen	avaɬɛn
afan	avan
afan	aːvan
afan	avan
afanc	avaŋk
afanc	aːvaŋk
afanc	avaŋk
afanen	avanɛn
afanen	avaːnɛn
afanen	avanɛn
aflwyddiannus	avlʊɨ̯ðjanɨ̞s
aflwyddiannus	avlʊi̯ðjanɪs
afocado	avɔkadɔ
afocado	avɔkaːdɔ
afocado	avɔkadɔ
afon	avɔn
afon	aːvɔn
afon	avɔn
afonfarch	avɔnvarχ
afonfeirch	avɔnvei̯rχ
afraid	avrai̯d
afu	avɨ̞
afu	aːvi
afu	avi
affrica	afrɪka
ag	aɡ
ager	aɡɛr
ager	aːɡɛr
ager	aɡɛr
agor	aɡɔr
agor	aːɡɔr
agor	aɡɔr
agora	aɡɔra
agora	aɡoːra
agora	aɡɔra
agoraf	aɡɔrav
agoraf	aɡɔra
agoraf	aɡɔra
agoraf	aɡoːrav
agoraf	aɡɔrav
agoraf	aɡoːra
agoraf	aɡɔra
agoraf	aɡoːra
agoraf	aɡɔra
agorai	aɡɔrai̯
agorai	aɡoːrai̯
agorai	aɡɔrai̯
agoret	aɡɔrɛt
agoret	aɡoːrɛt
agoret	aɡɔrɛt
agori	aɡɔri
agori	aɡoːri
agori	aɡɔri
agoriad	aɡɔrjad
agos	aɡɔs
agos	aːɡɔs
agos	aɡɔs
agweddi	aɡwɛðɪ
agweddi	aɡweːði
agweddi	aɡwɛði
angel	aŋɛl
angel	aŋal
angel	aŋal
angel	aŋɛl
angen	aŋɛn
angen	aŋan
angen	aŋan
angen	aŋɛn
angharad	aŋharad
angharad	aŋhaːrad
angharad	aŋharad
angheuol	aŋheɨ̯ɔl
angheuol	aŋhei̯ɔl
anghofiaf	aŋhɔvjav
anghofiaf	aŋhɔvja
anghofiaf	aŋhɔvja
anghofio	aŋhɔvjɔ
anghydfod	aŋhədvɔd
anghydradd	aŋhədrað
anghydraddoldeb	aŋhədraðɔldɛb
anghyfartal	aŋhəvartal
anghyfreithlon	aŋhəvrei̯θlɔn
angylaidd	aŋəlai̯ð
angylaidd	aŋəlɛð
angylaidd	aŋəlɛð
angylaidd	aŋəlai̯ð
angylaidd	aŋəlɛð
angylaidd	aŋəlɛð
angylaidd	aŋ
anghyflawn	aŋhəvlau̯n
anghymeradwyaeth	aŋhəmɛradʊɨ̯aɨ̯θ
anghymeradwyaeth	aŋhəmɛradʊɨ̯ɛθ
anghymeradwyaeth	aŋhəmɛradʊɨ̯ɛθ
anghymeradwyaeth	aŋhəmɛradʊi̯ai̯θ
anghymeradwyaeth	aŋhəmɛradʊi̯ɛθ
anghymeradwyaeth	aŋhəmɛradʊi̯ɛθ
anghymreig	aŋhəmrei̯ɡ
anghymreigio	aŋhəmrei̯ɡjɔ
anghywir	aŋhəu̯ɪr
angladd	aŋlað
angladdau	aŋlaðaɨ̯
angladdau	aŋlaðɛ
angladdau	aŋlaða
angladdau	aŋlaðɛ
angladdau	aŋlaða
angladdau	aŋlaːðai̯
angladdau	aŋlaðai̯
angladdau	aŋlaːðɛ
angladdau	aŋlaðɛ
angladdau	aŋlaːðɛ
angladdau	aŋlaðɛ
angyles	aŋəlɛs
âi	aːi̯
aidd	ai̯ð
aifft	ai̯ft
ail	ai̯l
ailosod	ai̯lɔsɔd
aillt	ai̯ɬd
air	ai̯r
ais	ai̯s
ait	ai̯t
âl	aːl
alarch	alarχ
alarch	aːlarχ
alarch	alarχ
alaw	alau̯
alaw	aːlau̯
alaw	alau̯
alban	alban
albwm	albʊm
almaen	almaɨ̯n
almaen	almai̯n
almaeneg	almeɨ̯nɛɡ
almaeneg	almei̯nɛɡ
almaenwr	almeɨ̯nʊr
almaenwr	almei̯nʊr
almanac	almanak
alwminiwm	alʊmɪnjʊm
all	aɬ
all	aːɬ
all	aɬ
alla	aɬa
allai	aɬai̯
allai	aɬɛ
allai	aɬɛ
allai	aɬai̯
allai	aɬɛ
allai	aɬɛ
allan	aɬan
allanfa	aɬanva
allant	aɬant
allen	aɬɛn
aller	aɬɛr
allgofnodi	aɬɡɔvnɔdi
allgofnodi	aɬɡɔvnoːdi
allgofnodi	aɬɡɔvnɔdi
alli	aɬi
allo	aɬɔ
allor	aɬɔr
allt	aːɬt
allt	aɬt
alltud	aɬdɨ̞d
alltud	aɬdɪd
allwedd	aɬwɛð
allwedd	aɬwɛð
